Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Accent Microcell,,ACCENTMIC,Pharmaceuticals & Biotechnology,Pharmaceuticals,327.30,785.16,277.91,47.08,16.94,15.84,22.65,3.15,0.29,15.26,0.00,18.44,124.13,6.04,52.77,13.87,52.08,6.58,0.41,-0.01,0.02,3.15
Accretion Pha.,,ACCPL,Pharmaceuticals & Biotechnology,Pharmaceuticals,101.05,112.33,82.55,14.61,17.70,20.72,12.37,2.41,,20.18,0.17,65.35,38.54,0.19,21.85,2.67,22.83,11.66,-0.09,-1.06,0.56,0.93
Acutaas Chemical,543349,ACUTAAS,Pharmaceuticals & Biotechnology,Pharmaceuticals,1837.50,15043.82,1096.91,299.85,27.34,23.05,67.17,10.64,2.23,12.13,0.01,16.00,570.72,33.23,291.48,149.20,190.98,2.05,0.21,-0.10,0.03,3.39
Adani Ports,532921,ADANIPORTS,Transport Infrastructure,Port & Port services,1516.90,327671.48,34745.59,20643.43,59.41,59.53,27.30,4.88,1.00,8.59,0.85,18.76,2609.64,1962.41,5576.58,2745.72,541.02,4.76,-0.12,0.08,3.19,1.13
Aditya Birla Cap,540691,ABCAPITAL,Finance,Investment Company,358.05,93620.52,41693.04,15151.78,36.34,35.13,28.69,2.91,1.17,1.32,4.86,11.49,-60389.17,530.84,389.61,1641.74,0.00,6.32,0.76,-0.37,10.16,0.58
AIA Engineering,532683,AIAENG,Industrial Products,Castings & Forgings,3862.60,36045.93,4309.96,1187.95,27.56,26.91,31.99,4.89,1.67,13.66,0.14,15.42,6091.93,382.15,793.50,204.05,1173.69,4.00,0.16,-0.34,0.70,0.59
Alkem Lab,539523,ALKEM,Pharmaceuticals & Biotechnology,Pharmaceuticals,5685.00,67972.70,13890.16,2810.50,20.23,19.38,28.92,5.09,3.11,13.30,0.18,19.39,7248.04,492.06,3091.52,1886.69,3007.36,4.23,0.13,0.36,0.81,3.12
Anlon Healthcare,544497,AHCL,Pharmaceuticals & Biotechnology,Pharmaceuticals,168.61,896.19,120.29,32.55,27.06,27.06,32.89,4.18,0.07,13.27,0.27,40.45,225.62,0.16,107.45,16.56,56.53,3.33,,,1.87,2.40
Apis India,506166,,Food Products,Other Food Products,1097.90,604.95,365.95,37.48,10.24,10.21,26.31,3.91,0.54,8.45,0.30,15.80,129.53,2.69,114.04,25.07,64.19,5.42,0.00,0.00,1.32,0.00
Aptus Pharma,544529,,Pharmaceuticals & Biotechnology,Pharmaceuticals,162.75,111.65,24.56,4.85,19.75,19.75,31.54,5.15,,19.41,0.37,70.94,21.69,0.08,10.07,5.93,10.35,4.42,,,1.74,3.33
Arham Tech,,ARHAM,Consumer Durables,Consumer Electronics,155.95,263.87,83.08,16.00,19.26,18.14,25.04,7.12,,12.33,0.96,26.43,26.36,0.78,23.31,11.15,42.38,5.29,0.00,0.00,2.25,3.14
Asahi India Glas,515030,ASAHIINDIA,Auto Components,Auto Components & Equipments,1020.70,26020.42,4684.11,752.02,16.05,16.67,90.72,7.03,378.00,5.50,0.77,13.61,1050.96,76.82,439.32,949.81,1169.23,2.01,3.38,1.13,5.07,4.96
Ashok Leyland,500477,ASHOKLEY,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,158.12,92877.39,50976.16,9941.54,19.50,18.97,27.78,7.38,0.10,4.47,4.33,28.82,8877.88,303.53,3406.86,6746.75,4611.09,6.50,-0.29,0.47,5.90,2.40
Asian Paints,500820,ASIANPAINT,Consumer Durables,Paints,2874.40,275711.81,34378.17,6201.28,18.04,17.71,68.61,14.08,8.17,13.18,0.18,20.59,9711.65,598.81,4423.82,3375.26,6010.83,2.09,0.52,-0.21,0.61,1.79
AU Small Finance,540611,AUBANK,Banks,Other Bank,955.25,71324.70,17273.80,8933.99,51.72,53.37,32.81,3.93,1.42,1.58,7.87,14.19,5735.08,2902.27,0.00,0.00,0.00,5.67,3.05,-3.18,12.07,0.77
Autoriders Intl.,512277,,Transport Services,Logistics Solution Provider,849.45,295.68,93.09,25.73,27.64,28.79,34.87,5.54,0.88,10.00,0.34,19.99,3.26,0.87,18.24,4.98,0.00,4.53,0.00,0.00,1.29,0.00
Avishkar Infra,508929,,Realty,"Residential, Commercial Projects",699.85,1567.89,2.40,1.85,77.08,77.08,486.92,116.75,,9.77,1.48,148.05,30.24,2.20,2.11,3.61,38.98,0.19,0.00,0.00,6.50,1.97
Axis Bank,532215,AXISBANK,Banks,Private Sector Bank,1279.70,397198.62,129272.60,77132.26,59.67,63.58,15.28,2.00,0.59,1.78,7.28,16.30,81517.79,29815.46,0.00,0.00,0.00,6.02,1.65,-1.92,13.49,1.86
Axis Solution,511144,,IT - Software,Computers - Software & Consulting,58.53,276.61,211.79,26.18,12.36,18.43,11.86,2.26,0.02,21.00,0.40,39.84,80.42,1.91,72.82,29.40,60.94,8.31,0.00,0.00,1.83,0.00
Bajaj Auto,532977,BAJAJ-AUTO,Automobiles,2/3 Wheelers,9073.50,253384.39,54683.29,10730.21,19.62,18.74,30.42,7.42,2.93,15.63,0.58,22.77,-1347.55,1824.54,3099.19,7666.69,2145.55,4.46,0.77,-0.64,1.63,4.39
Bajaj Finserv,532978,BAJAJFINSV,Finance,Holding Company,2094.00,334582.09,141479.18,53466.32,37.79,37.01,34.56,4.37,1.38,2.96,5.13,13.39,20015.70,29.28,7937.86,7873.72,0.00,7.31,0.40,-0.29,7.51,4.60
Bank of Baroda,532134,BANKBARODA,Banks,Public Sector Bank,289.80,149866.08,131574.32,83732.48,63.64,64.41,7.79,0.94,0.20,1.18,10.53,15.53,100587.07,22892.16,0.00,0.00,0.00,6.02,0.14,0.63,15.69,1.75
Bank of India,532149,BANKINDIA,Banks,Public Sector Bank,147.14,66987.95,73784.35,53001.26,71.83,71.03,6.69,0.80,0.16,0.94,11.67,12.35,76612.57,9145.57,0.00,0.00,0.00,6.24,-0.34,0.71,15.56,2.83
Bank of Maha,532525,MAHABANK,Banks,Public Sector Bank,58.56,45041.75,27237.84,17719.17,65.05,62.68,7.40,1.43,0.11,1.64,10.66,22.81,16792.12,3439.62,0.00,0.00,0.00,5.84,-0.34,0.46,15.82,4.87
Belrise Industri,544405,BELRISE,Auto Components,Auto Components & Equipments,167.59,14913.49,9056.86,1114.49,12.31,12.32,32.76,3.00,3.07,5.35,0.29,14.09,2326.48,95.10,1709.59,1307.61,960.03,5.44,-3.12,0.89,1.64,2.96
Bharat Forge,500493,BHARATFORG,Auto Components,Auto Components & Equipments,1433.80,68548.35,15268.83,2695.80,17.66,17.80,63.42,7.32,80.28,4.72,0.71,11.58,938.31,198.40,3092.39,2763.49,4010.72,2.68,0.85,-0.75,3.35,1.84
Bharti Airtel,532454,BHARTIARTL,Telecom - Services,Telecom - Cellular & Fixed line services,2101.60,1260794.88,194613.50,109005.50,56.01,49.17,39.15,10.17,0.47,5.35,1.77,23.18,-104864.50,11478.70,8908.90,45232.60,429.60,4.37,0.31,0.70,3.28,3.36
BSE,,BSE,Capital Markets,Exchange and Data Platform,2902.40,118214.48,3698.51,2082.97,56.32,58.41,65.75,22.65,0.93,14.03,0.00,36.04,3129.92,436.40,411.34,137.47,0.00,2.10,8.64,-1.89,0.00,4.21
Can Fin Homes,511196,CANFINHOME,Finance,Housing Finance Company,884.55,11778.15,4054.47,3728.00,91.95,92.25,12.78,2.16,0.58,2.20,6.61,18.22,213.97,1.18,0.75,3.26,0.00,7.81,-0.65,0.42,9.72,4.37
