Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,361.10,58.26,94517.47,41693.04,15151.78,36.34,35.13,28.97,2.93,1.19,1.32,4.86,11.49,-60389.17,530.84,389.61,1641.74,0.00,6.30,1.85,-0.95,10.16,2.22
Alkem Lab,539523,ALKEM,INE540L01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,5748.00,54.82,68725.96,13890.16,2810.50,20.23,19.38,29.24,5.15,3.14,13.30,0.18,19.39,7248.04,492.06,3091.52,1886.69,3007.36,4.19,-0.39,0.50,0.81,3.13
Aptus Pharma,544529,,INE15XJ01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,221.95,80.60,152.26,24.56,4.85,19.75,19.75,43.01,7.02,,19.41,0.37,70.94,21.69,0.08,10.07,5.93,10.35,3.19,-2.80,-10.03,1.74,3.04
Ascom Leasing &,,ASCOM,INE08KD01015,Finance,Non Banking Financial Company (NBFC),145.00,88.58,169.86,13.29,7.82,58.84,58.51,32.73,3.24,19.48,9.39,0.07,10.84,13.00,-0.04,4.15,0.00,0.00,4.54,0.00,0.00,0.49,2.03
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,187.98,68.25,110416.72,50976.16,9941.54,19.50,18.97,33.03,8.77,0.12,4.47,4.33,28.82,8877.88,303.53,3406.86,6746.75,4611.09,5.78,0.14,0.09,5.90,1.99
AU Small Finance,540611,AUBANK,INE949L01017,Banks,Other Bank,1020.95,61.77,76306.16,17273.80,8933.99,51.72,53.37,35.10,4.20,1.52,1.58,7.87,14.19,5735.08,2902.27,0.00,0.00,0.00,5.54,-0.64,1.95,12.07,0.87
Axis Bank,532215,AXISBANK,INE238A01034,Banks,Private Sector Bank,1307.50,63.11,406019.05,129272.60,77132.26,59.67,63.58,15.62,2.05,0.61,1.78,7.28,16.30,81517.79,29815.46,0.00,0.00,0.00,5.99,-0.22,0.69,13.49,1.47
Axis Solution,511144,,INE520G01024,IT - Software,Computers - Software & Consulting,105.04,99.70,496.42,211.79,26.18,12.36,18.43,21.29,4.05,0.04,21.00,0.40,39.84,80.42,1.91,72.82,29.40,60.94,4.94,0.00,0.00,1.83,0.00
Bajaj Auto,532977,BAJAJ-AUTO,INE917I01010,Automobiles,2/3 Wheelers,9429.50,53.29,263552.49,54683.29,10730.21,19.62,18.74,31.64,7.71,3.05,15.63,0.58,22.77,-1347.55,1824.54,3099.19,7666.69,2145.55,4.30,0.77,-0.64,1.63,4.64
Bank of Baroda,532134,BANKBARODA,INE028A01039,Banks,Public Sector Bank,307.15,62.81,158838.39,131574.32,83732.48,63.64,64.41,8.26,1.00,0.22,1.18,10.53,15.53,100587.07,22892.16,0.00,0.00,0.00,5.99,-0.21,1.13,15.69,1.98
Bank of India,532149,BANKINDIA,INE084A01016,Banks,Public Sector Bank,163.05,76.35,74231.25,73784.35,53001.26,71.83,71.03,7.41,0.89,0.17,0.94,11.67,12.35,76612.57,9145.57,0.00,0.00,0.00,6.19,-0.45,1.58,15.56,0.78
Bank of Maha,532525,MAHABANK,INE457A01014,Banks,Public Sector Bank,66.77,73.77,51356.51,28257.38,18659.70,66.03,62.68,7.93,1.54,0.12,1.64,10.54,22.81,9929.94,3584.64,0.00,0.00,0.00,5.66,3.44,2.57,15.82,1.48
Borana Weaves,544404,BORANA,INE16SF01016,Textiles & Apparels,Other Textile Products,323.95,64.23,863.17,333.78,74.02,22.18,21.77,16.88,3.51,0.09,27.85,0.18,60.33,77.69,5.72,23.19,10.09,25.91,7.36,-3.31,-0.97,0.65,2.53
Bright Outdoor,543831,,INE0OMI01019,Media,Advertising & Media Agencies,423.30,56.46,923.77,132.04,27.50,20.83,20.57,46.17,5.35,0.49,10.18,0.00,12.31,143.46,1.68,67.81,19.33,49.47,2.97,0.71,1.78,0.00,4.88
Can Fin Homes,511196,CANFINHOME,INE477A01020,Finance,Housing Finance Company,939.15,58.18,12505.17,4141.20,3807.55,91.94,92.25,12.84,2.29,0.58,2.20,6.61,18.22,213.97,1.48,0.75,3.26,0.00,7.85,0.82,0.72,9.52,3.33
Canara Bank,532483,CANBK,INE476A01022,Banks,Public Sector Bank,156.86,65.94,142282.24,125841.25,76573.02,60.85,62.10,7.43,1.24,0.18,1.08,14.05,17.75,149779.90,33467.06,0.00,0.00,0.00,6.61,-1.76,2.72,14.47,1.41
Choice Intl.,531358,CHOICEIN,INE102B01014,Finance,Holding Company,818.45,52.45,18233.14,971.39,328.59,33.83,32.07,100.55,13.75,2.24,7.36,0.40,19.61,854.99,17.18,280.83,13.67,26.40,1.82,0.03,-1.83,1.46,4.89
Coal India,533278,COALINDIA,INE522F01014,Consumable Fuels,Coal,430.15,67.34,265089.76,140712.05,43344.96,30.80,32.83,8.49,2.52,0.32,14.25,0.13,38.89,48598.10,10429.96,14420.39,9839.56,11532.25,17.67,-0.27,0.26,0.32,2.68
Corona Remedies,544644,CORONA,INE02ZQ01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,1506.20,64.97,9211.93,1196.42,240.68,20.12,20.12,58.03,,0.11,17.00,0.10,27.55,103.48,5.23,160.08,140.75,107.30,2.27,,,0.30,2.26
DCB Bank,532772,DCBBANK,INE503A01015,Banks,Private Sector Bank,191.29,72.28,6154.66,7049.26,4843.95,68.72,70.22,9.19,1.01,0.32,0.88,11.85,11.43,2314.01,825.08,0.00,0.00,0.00,7.60,0.21,1.43,12.47,0.99
Eicher Motors,505200,EICHERMOT,INE066A01021,Automobiles,2/3 Wheelers,7323.50,50.38,200883.05,21427.66,5173.56,24.14,25.03,39.33,9.09,0.95,18.85,0.02,24.10,2964.72,2169.67,411.39,2813.84,1834.71,3.27,-1.05,1.16,0.07,3.81
Emcure Pharma,544210,EMCURE,INE168P01015,Pharmaceuticals & Biotechnology,Pharmaceuticals,1549.50,63.44,29374.27,8449.24,1656.41,19.60,18.60,36.63,6.19,33.30,8.98,0.35,18.51,1919.49,-5.85,2299.86,1725.44,2304.58,4.15,1.52,0.43,1.31,2.28
Federal Bank,500469,FEDERALBNK,INE171A01029,Banks,Private Sector Bank,279.70,68.15,68871.21,28835.44,18950.02,65.72,69.68,16.82,1.90,0.59,1.25,8.71,12.86,26370.05,4459.80,0.00,0.00,0.00,6.34,1.39,-0.60,13.49,0.20
Force Motors,500033,FORCEMOT,INE451A01017,Automobiles,Passenger Cars & Utility Vehicles,21305.00,66.19,28072.03,8624.15,1246.78,14.46,13.61,34.23,8.01,0.34,11.53,0.00,20.82,1259.83,488.44,258.25,715.42,1237.56,3.83,0.32,0.19,0.00,3.16
Fujiyama Power,544613,UTLSOLAR,INE12UR01024,Electrical Equipment,Other Electrical Equipment,219.46,58.17,6724.49,1540.66,248.82,16.15,16.15,35.89,,0.47,19.26,1.38,49.14,94.20,9.42,109.77,165.80,621.71,3.23,,,3.04,5.00
Hindalco Inds.,500440,HINDALCO,INE038A01020,Non - Ferrous Metals,Aluminium,939.95,64.75,211228.06,253570.00,33291.00,13.13,13.34,11.79,1.57,1.84,6.51,0.56,14.02,37401.00,2311.00,20649.00,46404.00,60379.00,10.05,-0.82,0.53,2.72,3.18
Hindustan Copper,513599,HINDCOPPER,INE531E01026,Non - Ferrous Metals,Copper,547.80,65.54,52973.58,2293.58,868.42,37.86,35.66,92.33,17.73,12.31,12.88,0.05,18.72,260.04,83.93,166.67,242.53,369.35,1.47,-0.43,1.51,0.18,4.90
Hindustan Zinc,500188,HINDZINC,INE267A01025,Non - Ferrous Metals,Zinc,660.40,65.89,279040.07,36211.00,19030.00,52.55,51.04,23.91,20.50,9.34,30.23,0.82,72.42,-1822.00,1068.00,188.00,2244.00,2242.00,5.63,-0.24,0.22,0.68,1.57
HRS Aluglaze,544656,,INE1E1V01017,,,165.05,63.94,318.25,42.11,10.70,25.41,25.41,61.80,,,8.37,1.92,34.25,-2.87,0.04,13.19,11.82,15.54,2.63,,,4.12,4.26
Indian Bank,532814,INDIANB,INE562A01011,Banks,Public Sector Bank,858.70,60.15,115663.80,64543.17,44355.43,68.72,68.06,9.81,1.50,0.25,1.35,10.65,17.09,43625.03,9828.83,0.00,0.00,0.00,6.09,-0.80,0.96,14.91,4.44
J B Chemicals &,506943,JBCHEPHARM,INE572A01036,Pharmaceuticals & Biotechnology,Pharmaceuticals,1926.70,67.67,30181.94,4193.04,1132.73,27.01,26.34,40.04,7.93,1.87,15.50,0.01,20.12,1880.96,62.65,937.73,409.74,576.58,3.38,0.52,-0.43,0.02,0.65
JK Tyre & Indust,530007,JKTYRE,INE573A01042,Auto Components,Tyres & Rubber Products,506.65,60.36,14606.19,15312.53,1600.82,10.45,10.88,26.77,2.65,0.76,3.74,0.92,11.07,1181.60,62.66,3122.13,2108.99,2356.49,6.44,0.18,0.70,3.96,3.46
Karur Vysya Bank,590003,KARURVYSYA,INE036D01028,Banks,Private Sector Bank,266.70,56.43,25776.13,10381.07,6707.93,64.62,65.02,12.25,2.01,0.29,1.73,8.83,17.65,5284.51,1933.72,0.00,0.00,0.00,6.50,0.23,1.06,13.08,4.92
Kesar India,543542,,INE0L1C01019,Realty,"Residential, Commercial Projects",1257.95,78.32,3119.67,59.98,7.74,12.90,30.40,808.20,26.02,11.56,18.33,0.24,46.19,120.84,0.96,0.81,40.39,98.03,0.23,0.00,-1.53,4.03,2.29
Knowledge Realty,544481,KRT,INE1JAR25012,Realty,Real Estate Investment Trusts (REITs),126.83,58.23,56241.49,3930.10,3100.08,78.88,78.88,176.87,1.24,,1.29,0.07,13.98,264.49,-157.27,0.00,7.00,0.00,4.92,,,1.03,2.05
L. T. Elevator,544518,,INE0TJ801010,Industrial Manufacturing,Industrial Products,228.55,63.69,437.97,83.86,22.07,26.32,26.56,30.61,4.75,0.17,13.78,0.07,31.83,72.32,0.28,33.24,7.59,35.15,5.06,,,0.30,3.16
LTIMindtree,540005,LTIM,INE214T01019,IT - Software,Computers - Software & Consulting,6407.00,66.13,189960.66,40787.60,7178.40,17.60,17.09,36.68,8.12,7.04,15.83,0.10,21.53,16335.80,580.60,6510.00,1433.00,3.10,3.86,0.47,-0.22,0.33,0.36
Lupin,500257,LUPIN,INE326A01037,Pharmaceuticals & Biotechnology,Pharmaceuticals,2177.10,60.00,99449.67,24750.69,6745.64,27.25,23.24,23.00,5.07,0.38,12.41,0.32,20.62,9445.32,279.70,6290.15,3407.15,5954.96,5.60,1.01,-0.75,1.08,2.30
M & M,500520,M&M,INE101A01026,Automobiles,Passenger Cars & Utility Vehicles,3657.40,46.45,454808.23,175704.22,33298.56,18.95,19.17,31.96,5.49,1.18,5.51,1.53,18.05,34754.07,4399.51,9541.57,34621.91,24588.45,5.54,0.38,-0.49,4.09,4.76
Manappuram Fin.,531213,MANAPPURAM,INE522D01027,Finance,Non Banking Financial Company (NBFC),314.45,58.76,26616.14,9432.22,4342.27,46.04,54.36,59.26,2.09,-20.43,2.51,3.02,10.14,2814.48,9.89,0.00,121.22,0.00,6.50,0.56,0.45,9.45,2.22
Marico,531642,MARICO,INE196A01026,Agricultural Food & other Products,Edible Oil,760.60,56.42,98732.55,12265.00,2206.00,17.99,19.75,59.26,24.36,6.16,21.01,0.14,41.34,2556.00,194.00,1666.00,1892.00,1598.00,2.24,-0.73,0.59,0.26,2.49
Maruti Interior,543464,,INE0JSJ01014,Consumer Durables,Houseware,212.15,76.43,320.35,57.62,9.90,17.18,19.02,54.57,8.32,3.16,10.64,0.18,14.45,13.50,0.26,11.43,4.20,9.53,2.65,0.00,0.00,0.81,1.78
Mother Nutri,544623,,INE0UH001016,Food Products,Other Food Products,184.80,64.73,231.65,90.04,10.23,11.36,11.36,35.80,,,10.91,0.92,36.63,20.88,0.24,30.69,20.93,31.80,3.90,,,2.30,0.65
Multi Comm. Exc.,534091,MCX,INE745G01043,Capital Markets,Exchange and Data Platform,2429.00,70.89,61937.52,1340.15,836.59,62.43,59.79,88.97,29.68,1.72,14.48,0.00,34.33,468.75,112.62,36.71,136.49,0.00,1.45,1.41,-2.69,0.00,2.80
Muthoot Finance,533398,MUTHOOTFIN,INE414G01012,Finance,Non Banking Financial Company (NBFC),3946.90,62.38,158455.59,24544.40,18643.48,75.96,72.88,21.70,4.83,2.19,4.67,3.76,19.58,5131.04,147.83,9.71,159.62,0.00,6.82,-0.84,0.74,6.61,1.20
Natl. Aluminium,532234,NATIONALUM,INE139A01034,Non - Ferrous Metals,Aluminium,368.65,72.86,67707.43,18029.33,8454.10,46.89,44.72,11.08,3.41,0.52,25.01,0.00,32.72,7167.52,499.68,27.54,782.74,2021.79,13.67,-0.31,1.16,0.01,1.51
Navin Fluo.Intl.,532504,NAVINFLUOR,INE048G01026,Chemicals & Petrochemicals,Specialty Chemicals,6112.50,58.23,31325.10,2790.96,778.98,27.91,22.72,70.54,8.70,23.05,6.27,0.33,11.52,1341.83,54.43,699.46,391.83,357.95,2.15,0.87,0.60,1.69,2.57
Nephrocare Health Services,544647,NEPHROPLUS,INE428V01029,Healthcare Services,Healthcare Service Provider,514.50,66.08,5162.53,755.81,166.64,22.05,22.05,77.61,,1.07,7.39,0.36,13.43,284.24,14.10,328.67,128.96,34.04,2.02,,,2.43,0.65
Nestle India,500790,NESTLEIND,INE239A01024,Food Products,Packaged Foods,1315.60,62.33,253689.03,21023.38,4828.55,22.97,23.62,84.73,55.58,8.02,27.10,0.10,83.02,-594.11,18.56,321.25,2300.78,2489.81,1.66,0.57,-0.46,0.11,1.32
Osiajee Texfab,540198,,INE186R01013,Textiles & Apparels,Other Textile Products,439.60,67.42,237.38,8.41,6.19,73.60,74.61,36.08,13.91,0.39,28.97,0.29,40.11,1.24,0.43,1.42,0.88,2.52,2.72,0.00,9.11,0.76,1.66
Parin Enterpris.,,PARIN,INE00U801010,Consumer Durables,"Furniture, Home Furnishing",607.00,56.39,674.86,239.23,24.40,10.20,11.45,80.45,10.17,4.27,4.86,1.47,11.37,62.28,-0.72,37.18,13.97,93.42,2.56,0.00,0.40,4.96,1.78
Persistent Systems,533179,PERSISTENT,INE262H01021,IT - Software,Computers - Software & Consulting,6438.00,55.72,101559.45,13218.70,2416.92,18.28,17.24,60.99,14.09,2.26,16.84,0.06,24.08,3488.12,167.43,2067.57,909.42,0.00,2.21,-0.80,1.55,0.18,2.44
Pramara Promotio,,PRAMARA,INE0O7A01017,Media,Advertising & Media Agencies,346.35,49.88,482.96,108.84,15.78,14.50,14.45,49.18,4.11,0.77,6.65,0.25,12.10,118.84,2.06,33.72,4.36,31.88,3.32,-0.11,-0.07,1.77,4.82
PropshareTitania,544462,,INE19RO25021,Realty,Real Estate Investment Trusts (REITs),1066000.00,54.96,475.65,39.51,32.87,83.19,83.19,53.03,10.51,0.33,3.20,0.00,10.27,0.33,0.56,0.00,0.29,0.00,5.98,,,0.00,2.11
R M Drip & Sprin,544456,RMDRIP,INE219Y01026,Industrial Products,Plastic Products - Industrial,95.54,90.63,2386.59,157.87,46.91,29.71,27.40,75.93,27.55,0.38,21.80,0.41,39.70,99.89,2.22,101.54,17.76,22.09,1.90,0.00,-0.51,0.77,2.10
RDB Rasayans,533608,,INE123M01017,Industrial Products,Packaging,184.00,60.87,325.95,118.66,22.04,18.57,10.24,9.95,1.40,1.60,12.65,0.00,13.08,219.15,23.35,17.91,2.64,4.29,14.00,0.00,0.00,0.00,4.17
Renol Polychem,,RNPL,INE0VZX01015,Chemicals & Petrochemicals,Specialty Chemicals,150.05,60.04,119.20,73.50,7.43,10.11,11.48,23.01,3.10,,25.71,0.01,45.41,36.43,0.24,17.71,4.46,14.98,6.45,,,0.03,3.81
Sawaliya Food,,SAWALIYA,INE10VS01016,Agricultural Food & other Products,Other Agricultural Products,321.00,67.38,318.37,34.18,12.24,35.81,35.81,45.74,7.04,,19.43,0.38,75.86,42.04,0.13,14.82,1.50,16.33,3.60,,,1.46,1.14
