Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Onix Solar,513119,,INE173M01012,Non - Ferrous Metals,Copper,700.75,94.37,1436.11,127.96,15.50,12.11,3.78,94.61,231.26,2.02,6.68,0.00,30.92,4.65,0.44,23.63,36.04,0.00,1.11,0.00,0.00,0.00,0.00
Osiajee Texfab,540198,,INE186R01013,Textiles & Apparels,Other Textile Products,457.00,72.13,246.78,8.41,6.19,73.60,74.61,37.50,14.46,0.41,28.97,0.29,40.11,1.24,0.43,1.42,0.88,2.52,2.62,0.00,9.11,0.76,1.72
Park Medi World,544645,PARKHOSPS,INE119201023,Healthcare Services,Hospital,157.61,61.77,6807.66,1393.57,375.13,26.92,26.92,30.17,,6.70,10.61,0.61,21.15,406.73,30.46,768.68,100.72,2.89,4.73,,,2.10,4.98
Persistent Systems,533179,PERSISTENT,INE262H01021,IT - Software,Computers - Software & Consulting,6320.50,50.11,99705.89,13934.63,2612.14,18.75,17.24,55.44,13.95,2.05,16.84,0.06,24.08,3488.12,76.27,2067.57,909.42,0.00,2.43,-0.80,1.55,0.17,4.22
Pramara Promotio,,PRAMARA,INE0O7A01017,Media,Advertising & Media Agencies,353.10,59.37,492.37,108.84,15.78,14.50,14.45,50.14,4.19,0.79,6.65,0.25,12.10,118.84,2.06,33.72,4.36,31.88,3.26,-0.11,-0.07,1.77,3.79
PropshareTitania,544462,,INE19RO25021,Realty,Real Estate Investment Trusts (REITs),1066000.00,54.96,475.65,39.51,32.87,83.19,83.19,53.03,10.51,0.33,3.20,0.00,10.27,0.33,0.56,0.00,0.29,0.00,5.98,,,0.00,2.11
R M Drip & Sprin,544456,RMDRIP,INE219Y01026,Industrial Products,Plastic Products - Industrial,98.73,92.82,2466.28,157.87,46.91,29.71,27.40,78.47,28.47,0.39,21.80,0.41,39.70,99.89,2.22,101.54,17.76,22.09,1.84,0.00,-0.51,0.77,0.14
Renol Polychem,,RNPL,INE0VZX01015,Chemicals & Petrochemicals,Specialty Chemicals,152.05,62.62,120.79,73.50,7.43,10.11,11.48,23.32,3.14,,25.71,0.01,45.41,36.43,0.24,17.71,4.46,14.98,6.36,,,0.03,2.53
SBI,500112,SBIN,INE062A01020,Banks,Public Sector Bank,1048.35,70.87,967691.80,505419.84,234329.37,46.36,48.66,12.31,1.70,0.41,1.15,11.08,17.20,106052.01,187912.23,0.00,0.00,0.00,5.99,-0.61,0.77,15.04,0.68
Senores Pharma.,544319,SENORES,INE0RB801010,Pharmaceuticals & Biotechnology,Pharmaceuticals,838.15,56.03,3859.98,588.52,157.12,26.70,22.52,37.99,4.74,0.13,6.31,0.30,11.82,386.07,24.32,199.52,123.80,62.61,3.96,0.70,-0.93,1.56,4.38
