Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Accretion Pha.,,ACCPL,INE0T8T01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,108.65,79.28,120.76,82.55,14.61,17.7,20.72,13.31,2.57,,20.18,0.17,65.35,38.54,0.19,21.85,2.67,22.83,11.4,0.0,0.0,0.56,0.0
Adani Green,541450.0,ADANIGREEN,INE364U01010,Power,Power Generation,1225.9,81.17,201927.38,12928.0,10768.0,83.29,83.29,111.34,10.09,6.57,1.71,5.19,11.29,-8689.0,672.0,2129.0,407.0,136.0,2.71,0.25,-0.32,12.49,3.62
Adani Ports,532921.0,ADANIPORTS,INE742F01042,Transport Infrastructure,Port & Port services,1677.0,72.67,386373.94,36486.63,21627.4,59.27,59.53,30.54,5.74,1.12,8.59,0.85,18.76,2609.64,1904.28,5576.58,2745.72,541.02,4.33,-0.03,0.15,3.05,0.0
Adani Power,533096.0,ADANIPOWER,INE814H01029,Power,Integrated Power Utilities,222.05,81.79,428216.68,54240.52,19806.11,36.52,36.52,33.36,6.55,5.52,10.17,0.84,21.16,8359.87,3624.76,11791.37,2840.53,3623.48,4.01,0.28,0.09,2.9,1.86
Aditya Infotech,544466.0,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,2336.0,75.68,27517.56,3776.23,407.41,10.79,7.96,108.45,17.3,5.84,6.24,0.08,20.87,787.3,11.68,1053.91,1424.28,948.22,1.36,4.56,1.35,0.34,2.26
AGI Infra,539042.0,AGIIL,INE976R01033,Realty,"Residential, Commercial Projects",395.9,69.24,4948.65,347.69,117.58,33.82,28.72,58.97,14.32,2.64,5.86,0.42,25.66,141.76,11.34,2.77,17.75,878.39,2.16,-0.01,3.15,1.3,2.0
Aimtron,,AIMTRON,INE0RUV01018,Industrial Manufacturing,Industrial Products,1182.85,73.75,2437.74,301.16,65.77,21.84,21.84,53.02,10.41,,14.15,0.24,23.6,224.96,2.36,135.47,50.38,103.18,2.71,-0.22,-0.25,0.9,0.79
Alufluoride,524634.0,,INE058F01019,Chemicals & Petrochemicals,Commodity Chemicals,593.2,73.77,463.88,211.19,42.79,20.26,19.31,19.55,4.12,0.27,14.17,0.29,20.79,64.89,-0.15,17.53,7.31,16.23,7.37,0.0,0.0,0.9,2.89
Ameenji Rubber,544555.0,,INE14QA01016,Industrial Products,Rubber,157.0,80.06,177.1,94.05,19.0,20.2,20.2,17.87,,0.2,10.08,1.85,54.28,18.5,0.38,15.25,29.2,50.54,7.02,-3.6,-2.37,3.05,3.59
Anand Rathi Wea.,543415.0,ANANDRATHI,INE463V01026,Capital Markets,Financial Products Distributor,3575.0,67.38,29679.89,1207.77,572.13,47.37,47.37,75.85,28.97,2.33,34.03,0.08,45.3,627.41,0.05,41.39,0.13,0.0,1.83,-0.35,-0.88,0.15,4.28
Anlon Tech,,ANLON,INE0LR101013,Commercial Services & Supplies,Diversified Commercial Services,539.15,81.69,337.27,72.55,13.38,18.44,19.19,36.03,5.24,0.81,10.37,0.16,14.65,36.09,1.25,20.63,4.83,13.43,4.29,-1.01,0.0,0.74,0.49
Aptus Pharma,544529.0,,INE15XJ01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,405.0,73.44,277.83,46.57,7.45,16.0,16.0,60.14,11.91,0.32,14.12,0.31,30.47,15.93,0.13,18.76,8.15,13.57,2.58,0.0,0.0,1.0,0.49
Avana Electrosystems,,AVANA,INE1KU201016,Electrical Equipment,Heavy Electrical Equipment,138.5,79.06,313.64,61.49,11.76,19.13,19.13,37.74,,0.22,18.99,0.26,47.11,19.4,1.45,21.19,9.27,14.71,4.01,,,0.46,1.42
AXISCADES Tech.,532395.0,AXISCADES,INE555B01013,Aerospace & Defense,Aerospace & Defense,2014.65,69.27,8565.78,1153.92,181.35,15.72,14.0,78.06,12.4,1.58,6.96,0.37,12.67,338.79,12.56,345.91,77.93,65.14,1.91,0.69,-0.29,1.59,1.57
Bajaj Auto,532977.0,BAJAJ-AUTO,INE917I01010,Automobiles,2/3 Wheelers,10030.0,51.64,280336.28,57718.86,11709.13,20.29,18.74,31.4,8.27,3.03,15.63,0.58,22.77,-1347.55,1836.32,3099.19,7666.69,2145.55,4.62,0.28,-0.02,1.5,1.54
Bank of Maha,532525.0,MAHABANK,INE457A01014,Banks,Public Sector Bank,78.45,65.67,60340.32,29281.74,19933.36,68.07,68.07,8.6,1.8,0.22,1.76,11.61,22.66,26342.47,3541.98,0.0,0.0,0.0,5.58,0.43,0.63,16.43,4.5
Bharat Forge,500493.0,BHARATFORG,INE465A01025,Auto Components,Auto Components & Equipments,1881.6,62.98,89957.11,16136.21,2818.9,17.47,17.8,77.04,9.62,97.52,4.72,0.71,11.58,938.31,146.79,3092.39,2763.49,4010.72,2.15,-1.46,1.75,3.19,3.5
Biopol Chemicals,,BIOPOL,INE0XW001014,Chemicals & Petrochemicals,Specialty Chemicals,116.95,61.72,126.37,49.13,6.54,13.31,13.31,29.1,,,17.7,0.57,38.17,13.96,0.02,16.66,8.58,11.81,4.93,,,1.18,2.54
BSE,,BSE,INE118H01025,Capital Markets,Exchange and Data Platform,3640.5,72.54,148277.26,4117.08,2522.1,61.26,58.41,67.96,28.45,0.96,14.03,0.0,36.04,3129.92,519.28,411.34,137.47,0.0,2.02,1.35,1.97,0.0,0.95
Captain Polyplas,536974.0,,INE536P01021,Industrial Products,Plastic Products - Industrial,85.99,71.43,517.49,354.25,39.43,11.13,11.36,22.43,3.03,0.25,6.92,0.48,15.41,146.54,2.89,211.68,43.29,48.51,6.76,0.0,0.0,2.06,2.21
Ceigall India,544223.0,CEIGALL,INE0AG901020,Construction,Civil Construction,338.3,75.79,5893.39,3647.5,489.79,13.43,15.08,22.71,3.02,0.71,8.08,0.69,20.87,800.75,65.16,487.93,951.5,89.84,7.11,0.29,0.24,2.72,2.0
CESC,500084.0,CESC,INE486A01021,Power,Integrated Power Utilities,188.4,75.48,24973.72,18351.0,3516.0,19.16,16.76,16.9,1.99,-23.8,3.55,1.48,11.34,707.0,1017.0,3003.0,1839.0,612.0,8.47,0.63,-0.27,5.69,3.38
CFF Fluid,543920.0,,INE0NJ001013,Aerospace & Defense,Aerospace & Defense,831.0,76.22,1742.96,169.66,47.2,27.82,28.04,60.23,7.05,1.33,13.24,0.02,17.42,214.35,0.44,103.38,12.03,56.1,2.35,0.14,0.0,0.14,2.68
CG Power & Ind,500093.0,CGPOWER,INE067A01029,Electrical Equipment,Heavy Electrical Equipment,813.0,69.28,128042.47,11728.96,1466.5,12.5,13.31,115.08,17.09,10.47,14.53,0.02,27.66,2586.56,242.18,2209.98,2141.31,1423.72,1.18,0.49,0.01,0.08,4.0
Coal India,533278.0,COALINDIA,INE522F01014,Consumable Fuels,Coal,481.35,68.11,296642.96,168400.29,41241.99,24.49,24.49,9.58,2.47,-13.88,11.41,0.12,28.5,57876.5,12034.03,14120.59,12554.39,15654.3,16.77,0.23,0.16,0.33,1.79
Corona Remedies,544644.0,CORONA,INE02ZQ01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,1730.0,61.94,10580.75,1196.42,240.68,20.12,20.12,66.46,16.0,0.12,17.0,0.1,27.55,103.48,5.23,160.08,140.75,107.3,2.02,0.25,0.41,0.3,0.79
Cospower Engine.,543172.0,,INE0CQB01010,Industrial Manufacturing,Industrial Products,1089.95,75.43,200.17,53.2,9.59,18.03,21.7,51.72,8.94,1.99,3.4,1.08,11.82,15.7,-0.18,18.3,8.87,17.5,3.67,0.0,0.0,2.68,2.68
Cummins India,500480.0,CUMMINSIND,INE298A01020,Industrial Products,"Compressors, Pumps & Diesel Engines",5284.0,66.26,146472.49,11602.39,2477.99,21.36,20.02,62.91,18.56,1.8,20.85,0.0,28.15,5023.17,655.77,2565.36,1524.44,1162.01,2.11,-1.17,1.35,0.01,0.77
Cupid,530843.0,CUPID,INE509F01029,Personal Products,Personal Care,119.54,79.8,16074.05,320.46,118.9,37.1,23.22,192.33,42.17,5.34,11.99,0.07,12.89,301.97,0.0,89.65,15.97,42.64,0.74,-0.13,-0.47,0.24,0.36
Data Pattern,543428.0,DATAPATTNS,INE0IX101010,Aerospace & Defense,Aerospace & Defense,4097.95,72.51,22942.05,976.13,330.64,33.87,38.82,91.99,14.99,2.89,12.18,0.0,15.18,1180.86,29.91,667.81,66.66,268.15,1.49,1.41,0.93,0.02,4.59
Dharni Capital,543753.0,,INE0M9Q01011,Capital Markets,Financial Products Distributor,63.7,70.74,129.76,9.55,3.22,33.72,33.72,27.79,5.02,0.48,17.13,0.15,19.88,-3.14,2.97,0.48,0.01,0.0,4.43,0.0,0.0,0.64,3.19
Dr Reddy's Labs,500124.0,DRREDDY,INE089A01031,Pharmaceuticals & Biotechnology,Pharmaceuticals,1324.2,61.06,110525.25,34682.2,8068.9,23.27,26.18,19.83,3.11,0.52,12.95,0.16,17.96,12851.7,1419.4,9775.4,3532.3,7582.2,6.56,0.28,-1.2,0.78,4.02
EPW India,,EPWINDIA,INE1KEC01023,IT - Hardware,Computers Hardware & Equipments,151.0,77.19,173.34,51.88,5.85,11.28,11.28,42.91,,,23.78,1.98,135.57,11.61,0.03,13.16,10.26,21.43,3.07,-4.65,0.0,2.91,4.73
Esab India,500133.0,ESABINDIA,INE284A01012,Industrial Products,Other Industrial Products,6266.9,71.71,9646.63,1480.12,272.83,18.43,17.83,49.29,23.18,1.77,29.15,0.01,52.34,268.01,23.6,259.44,169.09,126.29,2.76,-0.05,0.05,0.01,2.46
Finolex Cables,500144.0,FINCABLES,INE235A01022,Industrial Products,Cables - Electricals,995.0,72.53,15217.48,5964.51,609.89,10.23,10.2,22.22,2.69,4.11,11.78,0.0,13.44,3425.83,333.67,228.66,268.3,794.03,5.8,0.67,0.2,0.02,3.25
Fredun Pharma,539730.0,,INE194R01017,Pharmaceuticals & Biotechnology,Pharmaceuticals,2240.1,71.39,1234.89,593.49,83.1,14.0,12.08,36.3,7.63,0.75,5.24,1.08,15.83,117.83,0.0,66.85,99.42,225.31,5.84,-0.67,0.6,2.22,1.7
G M D C,532181.0,GMDCLTD,INE131A01031,Minerals & Mining,Industrial Minerals,736.0,70.4,23404.8,2625.61,532.68,20.29,22.36,36.63,3.43,2.42,9.0,0.04,10.87,2443.25,879.93,92.6,151.41,95.77,3.64,0.08,1.46,0.33,4.65
GE Shipping Co,500620.0,GESHIP,INE017A01032,Transport Services,Shipping,1585.0,67.19,22628.55,5120.73,2708.09,52.88,50.3,10.03,1.42,0.21,10.9,0.08,14.09,8111.23,707.7,429.16,297.08,267.73,14.12,-0.95,2.74,0.49,0.36
GE Vernova T&D,522275.0,GVT&D,INE200A01026,Electrical Equipment,Heavy Electrical Equipment,4465.55,68.04,114340.42,5721.77,1490.83,26.06,19.36,102.33,54.81,1.26,14.76,0.01,40.35,1105.5,5.49,1929.43,1380.54,934.66,1.34,-1.88,1.93,0.02,4.87
Glenmark Pharma.,532296.0,GLENMARK,INE935A01035,Pharmaceuticals & Biotechnology,Pharmaceuticals,2399.0,71.8,67700.06,16468.13,4370.84,26.54,17.65,25.02,7.08,4.0,8.69,0.13,15.79,4493.72,-1982.28,3773.12,2951.33,3280.72,6.16,-0.81,1.15,0.3,3.03
GSP Crop Science,544733.0,GSPCROP,INE713R01022,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,421.1,64.73,1958.89,1287.38,150.36,11.68,11.68,22.98,,9.58,7.35,0.66,19.79,207.16,14.39,387.45,343.63,369.53,6.33,,,2.11,4.07
Gujarat Kidney,544666.0,GKSL,INE0V0W01025,Healthcare Services,Hospital,125.25,70.12,987.48,40.24,16.56,41.15,41.15,100.26,29.54,,25.05,0.58,51.22,10.1,0.15,22.9,14.87,0.84,1.41,-1.11,-5.58,1.46,0.99
