Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,350.85,48.39,91831.56,41693.04,15151.78,36.34,35.13,28.14,2.85,1.15,1.32,4.86,11.49,-60389.17,530.84,389.61,1641.74,0.00,6.37,1.85,-0.95,10.16,5.00
Alkem Lab,539523,ALKEM,INE540L01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,5863.50,66.27,70106.94,13890.16,2810.50,20.23,19.38,29.83,5.25,3.21,13.30,0.18,19.39,7248.04,492.06,3091.52,1886.69,3007.36,4.10,-0.39,0.50,0.81,1.18
Ascom Leasing &,,ASCOM,INE08KD01015,Finance,Non Banking Financial Company (NBFC),141.50,86.83,165.76,13.29,7.82,58.84,58.51,31.94,3.16,19.01,9.39,0.07,10.84,13.00,-0.04,4.15,0.00,0.00,4.65,0.00,0.00,0.49,0.00
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,185.70,68.98,109077.48,50976.16,9941.54,19.50,18.97,32.63,8.67,0.11,4.47,4.33,28.82,8877.88,303.53,3406.86,6746.75,4611.09,5.83,-0.29,0.47,5.90,3.18
Ashwini Contain.,,ASHWINI,INE1A6Q01010,Transport Services,Road Transport,156.75,65.57,235.13,93.78,24.88,26.53,26.53,15.33,,0.12,12.12,2.46,72.05,17.02,1.94,34.52,6.19,0.00,5.90,,,4.11,3.83
Asian Paints,500820,ASIANPAINT,INE021A01026,Consumer Durables,Paints,2886.30,60.85,276853.26,34378.17,6201.28,18.04,17.71,68.89,14.14,8.20,13.18,0.18,20.59,9711.65,598.81,4423.82,3375.26,6010.83,2.08,0.52,-0.21,0.61,3.33
Authum Invest,539177,AIIL,INE206F01022,Finance,Non Banking Financial Company (NBFC),667.90,70.31,56719.77,3865.32,3616.75,93.57,89.63,14.12,3.50,0.17,31.30,0.17,34.14,369.48,24.48,17.59,53.94,0.00,6.17,0.09,6.17,0.77,2.28
Axis Bank,532215,AXISBANK,INE238A01034,Banks,Private Sector Bank,1262.00,49.73,391878.76,129272.60,77132.26,59.67,63.58,15.08,1.98,0.59,1.78,7.28,16.30,81517.79,29815.46,0.00,0.00,0.00,6.04,-0.22,0.69,13.49,3.27
Axis Solution,511144,,INE520G01024,IT - Software,Computers - Software & Consulting,100.04,99.66,472.79,211.79,26.18,12.36,18.43,20.27,3.86,0.03,21.00,0.40,39.84,80.42,1.91,72.82,29.40,60.94,5.16,0.00,0.00,1.83,0.00
Bai-Kakaji Poly.,544670,,INE1IJQ01026,Consumer Durables,Plastic Products - Consumer,195.90,,419.31,325.47,33.79,10.38,10.38,22.83,,0.35,12.18,2.03,41.23,-41.47,6.19,30.52,12.96,40.75,5.97,,,3.47,0.00
