Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Acutaas Chemical,543349,ACUTAAS,Pharmaceuticals & Biotechnology,1413.60,11572.99,1037.44,253.46,24.43,23.05,61.22,8.84,2.03,12.13,0.01,16.00,589.39,31.83,290.49,156.05,179.94,2.26,4.07,0.46,0.05,2.17
Aditya Birla Cap,540691,ABCAPITAL,Finance,281.00,73400.83,41420.09,14867.97,35.90,35.13,21.57,2.41,0.88,1.32,4.61,11.49,-95387.25,563.65,688.25,1318.24,0.00,7.31,2.27,-1.36,9.23,3.90
ANB Metal,,AMCL,Industrial Products,171.90,203.44,162.57,17.52,10.78,10.78,19.85,,0.10,12.68,1.01,45.92,27.16,0.07,35.97,23.81,32.63,7.45,,,2.05,4.71
Anthem Bioscienc,544449,ANTHEM,Pharmaceuticals & Biotechnology,835.85,46942.18,1844.55,671.50,36.40,36.40,103.97,,28.64,17.35,0.05,20.83,994.34,85.27,450.40,110.08,340.43,1.43,,,0.17,3.37
Apis India,506166,,Food Products,456.45,251.51,350.13,35.23,10.06,10.16,11.13,1.45,0.24,9.17,0.38,15.79,121.58,2.47,114.78,33.19,78.65,10.49,0.00,0.00,1.99,0.00
Apollo Hospitals,508869,APOLLOHOSP,Healthcare Services,7793.50,112058.57,22550.50,3198.60,14.18,13.92,71.22,13.65,3.92,7.77,0.96,18.42,1017.70,238.40,3016.10,2240.50,480.80,2.23,-0.95,0.75,2.98,2.35
Apollo Micro Sys,540879,APOLLO,Aerospace & Defense,243.30,8114.84,604.45,147.83,24.46,23.10,119.23,12.25,2.06,5.20,0.49,10.23,419.96,4.56,238.33,279.88,600.59,1.62,1.24,6.23,2.17,4.59
Aryaman Capital,538716,,Finance,656.05,785.76,77.33,30.69,39.69,39.69,34.27,10.15,0.11,22.15,0.36,38.69,62.23,0.00,0.22,1.27,15.74,4.00,0.00,0.00,0.92,0.00
Asahi India Glas,515030,ASAHIINDIA,Auto Components,873.45,21233.57,4690.57,776.49,16.55,16.67,65.18,7.96,271.58,5.50,1.01,13.61,148.58,73.00,441.77,1005.36,1119.40,2.55,0.15,-0.41,4.46,3.06
Ashok Leyland,500477,ASHOKLEY,"Agricultural, Commercial & Construction Vehicles",131.37,77154.32,49546.88,9540.11,19.25,7.10,24.16,6.31,0.09,4.47,4.08,28.82,3021.86,445.22,3346.87,8019.48,3986.08,7.38,-0.45,0.52,5.65,2.29
ASM Technologies,526433,,IT - Software,3853.45,5020.92,359.11,69.62,19.39,16.34,127.43,27.71,5.80,9.62,0.52,17.22,78.00,6.47,129.15,17.26,18.84,1.30,0.02,0.37,1.30,3.20
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,176.20,185.20,97.52,15.12,15.50,15.50,34.62,,0.19,6.61,3.54,44.66,6.36,0.19,25.43,23.00,24.84,4.72,,,3.95,4.76
Authum Invest,539177,AIIL,Finance,3125.70,53088.48,4361.23,3991.81,91.53,89.63,12.96,3.63,0.15,31.27,0.04,34.12,-62.92,44.57,16.31,0.00,0.00,7.55,0.06,0.53,0.13,2.02
Axis Solution,511144,,IT - Software,24.38,115.22,205.91,27.39,13.30,17.61,4.58,0.99,,20.20,0.33,38.25,76.17,1.90,94.52,23.06,37.76,18.91,1.74,0.00,1.36,0.00
Bosch,500530,BOSCHLTD,Auto Components,39510.00,116529.37,18559.20,2429.30,13.09,12.77,52.55,8.43,2.87,10.70,0.01,15.55,4385.10,1480.40,2365.00,2958.20,1942.30,2.56,-0.02,0.09,0.04,4.33
Cash UR Drive,,CUDML,Media,153.95,271.66,138.65,20.67,14.91,14.91,16.33,,0.23,17.73,0.00,41.82,19.86,2.86,37.06,28.18,0.00,8.33,,,0.01,4.08
Choice Intl.,531358,CHOICEIN,Finance,802.75,16509.00,943.61,314.39,33.32,31.26,95.94,15.60,2.23,7.36,0.45,18.87,686.96,10.06,274.63,26.92,19.49,1.91,0.03,0.34,1.47,2.67
Connplex Cinemas,,CONNPLEX,Entertainment,190.20,363.28,95.61,26.28,27.49,27.49,19.63,,0.11,37.97,0.03,123.94,15.98,1.17,13.14,6.20,7.38,6.96,,,0.03,3.94
Cummins India,500480,CUMMINSIND,Industrial Products,3836.50,106347.78,10981.95,2230.24,20.31,20.02,49.89,14.06,1.43,20.85,0.00,28.15,3817.92,754.37,2277.75,1567.10,1004.07,2.68,-0.31,0.29,0.01,2.47
Cupid,530843,CUPID,Personal Products,169.96,4562.87,223.89,71.27,31.83,30.23,95.76,13.33,2.71,11.83,0.06,12.72,260.49,0.00,67.03,1.25,41.67,1.47,0.00,-0.68,0.29,2.39
