Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,36000.00,62.14,40572.00,4750.64,878.41,18.49,17.31,73.21,25.18,3.39,15.20,0.06,23.85,1166.65,57.65,769.23,623.42,645.65,2.19,0.02,-0.41,0.12,2.70
Adani Energy Sol,539254,ADANIENSOL,INE931S01010,Power,Power Distribution,1046.40,64.51,125702.22,25619.95,7466.81,29.14,29.73,55.73,5.38,2.21,3.37,1.95,13.64,4156.33,769.47,6160.26,4390.34,710.62,3.81,3.08,-2.79,7.19,1.44
Adani Ports,532921,ADANIPORTS,INE742F01042,Transport Infrastructure,Port & Port services,1481.10,48.01,341239.38,34745.59,20643.43,59.41,59.53,28.43,4.77,1.04,8.59,0.85,18.76,2609.64,1962.41,5576.58,2745.72,541.02,4.60,-1.05,-0.77,3.19,4.38
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,361.95,64.05,94731.91,41693.04,15151.78,36.34,35.13,29.03,2.94,1.19,1.32,4.86,11.49,-60389.17,530.84,389.61,1641.74,0.00,6.29,0.76,-0.37,10.16,1.90
Admach Systems,544669,,INE0XLO01010,Industrial Manufacturing,Industrial Products,210.75,,142.74,53.36,10.31,19.32,19.32,23.40,,0.11,13.31,0.41,43.95,20.68,0.16,25.23,15.72,25.24,6.50,,,1.03,0.00
AIA Engineering,532683,AIAENG,INE212H01026,Industrial Products,Castings & Forgings,4030.10,62.89,37609.04,4309.96,1187.95,27.56,26.91,33.37,5.11,1.74,13.66,0.14,15.42,6091.93,382.15,793.50,204.05,1173.69,3.84,0.16,-0.34,0.70,1.70
Aptus Pharma,544529,,INE15XJ01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,171.10,67.37,117.37,24.56,4.85,19.75,19.75,33.16,5.41,,19.41,0.37,70.94,21.69,0.08,10.07,5.93,10.35,4.19,,,1.74,1.10
Ascom Leasing &,,ASCOM,INE08KD01015,Finance,Non Banking Financial Company (NBFC),126.50,75.31,148.18,13.29,7.82,58.84,58.51,28.55,2.83,16.99,9.39,0.07,10.84,13.00,-0.04,4.15,0.00,0.00,5.21,0.00,0.00,0.49,0.39
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,184.88,79.86,108595.82,50976.16,9941.54,19.50,18.97,32.48,8.63,0.11,4.47,4.33,28.82,8877.88,303.53,3406.86,6746.75,4611.09,5.85,-0.29,0.47,5.90,0.37
AU Small Finance,540611,AUBANK,INE949L01017,Banks,Other Bank,999.45,68.18,74676.98,17273.80,8933.99,51.72,53.37,34.35,4.11,1.49,1.58,7.87,14.19,5735.08,2902.27,0.00,0.00,0.00,5.58,3.05,-3.18,12.07,0.81
Axis Bank,532215,AXISBANK,INE238A01034,Banks,Private Sector Bank,1274.40,60.17,395711.58,129272.60,77132.26,59.67,63.58,15.23,1.99,0.59,1.78,7.28,16.30,81517.79,29815.46,0.00,0.00,0.00,6.03,1.65,-1.92,13.49,2.27
Axis Solution,511144,,INE520G01024,IT - Software,Computers - Software & Consulting,90.75,99.56,428.89,211.79,26.18,12.36,18.43,18.39,3.50,0.03,21.00,0.40,39.84,80.42,1.91,72.82,29.40,60.94,5.64,0.00,0.00,1.83,0.00
Bai-Kakaji Poly.,544670,,INE1IJQ01026,Consumer Durables,Plastic Products - Consumer,188.85,,404.22,325.47,33.79,10.38,10.38,22.00,,0.34,12.18,2.03,41.23,-41.47,6.19,30.52,12.96,40.75,6.15,,,3.47,1.64
Bajaj Auto,532977,BAJAJ-AUTO,INE917I01010,Automobiles,2/3 Wheelers,9558.00,69.33,267144.03,54683.29,10730.21,19.62,18.74,32.07,7.81,3.09,15.63,0.58,22.77,-1347.55,1824.54,3099.19,7666.69,2145.55,4.25,0.77,-0.64,1.63,0.28
Bank of Baroda,532134,BANKBARODA,INE028A01039,Banks,Public Sector Bank,300.75,65.01,155528.72,131574.32,83732.48,63.64,64.41,8.09,0.98,0.21,1.18,10.53,15.53,100587.07,22892.16,0.00,0.00,0.00,6.00,0.14,0.63,15.69,1.05
Bank of India,532149,BANKINDIA,INE084A01016,Banks,Public Sector Bank,146.99,61.64,66919.66,73784.35,53001.26,71.83,71.03,6.68,0.80,0.16,0.94,11.67,12.35,76612.57,9145.57,0.00,0.00,0.00,6.24,-0.34,0.71,15.56,2.93
Bank of Maha,532525,MAHABANK,INE457A01014,Banks,Public Sector Bank,63.63,73.47,48941.36,27237.84,17719.17,65.05,62.68,8.04,1.56,0.12,1.64,10.66,22.81,16792.12,3439.62,0.00,0.00,0.00,5.78,2.34,2.79,15.82,0.33
