Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
Usha Martin,517146.0,USHAMART,INE228A01035,Industrial Products,Iron & Steel Products,472.85,66.22,14409.79,3691.06,705.08,19.1,19.1,28.65,4.35,2.2,12.69,0.07,16.64,1584.42,45.63,643.42,310.95,957.82,4.73,0.7,0.15,0.34,0.62,4.95
V-Marc India,,VMARCIND,INE0GXK01018,Industrial Products,Cables - Electricals,1019.0,69.65,2488.47,1251.2,141.07,11.27,10.9,40.68,11.01,0.44,6.6,1.07,24.34,128.29,1.56,310.69,259.73,196.57,4.49,0.0,-0.14,2.02,0.0,1.07
Varun Beverages,540180.0,VBL,INE200M01039,Beverages,Other Beverages,509.05,66.77,172175.8,22692.63,5304.92,23.38,23.38,54.08,8.86,2.26,12.16,0.13,16.21,3815.46,367.83,1249.03,1401.3,2951.79,2.52,0.79,-0.8,0.57,0.29,4.8
Vijaya Diagnost.,543350.0,VIJAYA,INE043W01024,Healthcare Services,Healthcare Service Provider,1278.9,86.91,13159.41,814.2,336.93,41.38,41.38,76.04,13.76,2.79,12.44,0.44,19.74,198.04,20.8,20.86,37.56,4.89,2.08,1.33,-1.72,1.59,0.16,0.58
Viram Suvarn,540252.0,,INE607V01028,Consumer Durables,"Gems, Jewellery And Watches",12.61,70.77,143.04,25.83,7.44,28.8,17.03,19.99,4.85,-3.92,13.61,0.0,14.4,18.56,1.72,2.85,1.59,7.6,6.49,2.01,0.0,0.0,0.4,2.93
Vision Infra,,VIESL,INE0TR001017,Commercial Services & Supplies,Diversified Commercial Services,360.85,71.46,889.2,531.27,137.93,25.96,26.46,21.71,4.8,,7.18,1.61,33.12,49.13,11.57,161.83,40.45,54.12,7.82,0.41,0.0,3.5,0.15,0.87
Vivid Electromech,,VIVIDEL,INE24H301028,Electrical Equipment,Other Electrical Equipment,754.3,64.58,670.4,155.26,28.53,18.38,18.38,33.09,,0.12,22.79,0.28,63.94,16.71,0.47,48.01,43.05,20.41,4.19,,,0.51,0.0,4.52
Welspun Corp,532144.0,WELCORP,INE191B01025,Industrial Products,Iron & Steel Products,1285.0,85.2,33897.01,16382.55,2192.02,13.38,12.05,21.84,4.12,0.55,8.93,0.19,18.59,2174.29,904.98,1629.25,2650.1,5152.72,6.49,0.94,-0.22,0.68,0.39,2.26
Yaap Digital,,YAAP,INE0U0J01015,Media,Advertising & Media Agencies,209.65,75.14,438.86,152.54,16.01,10.5,10.5,41.16,,2.05,10.36,1.02,66.21,24.61,1.73,40.65,48.53,0.0,3.77,,,1.45,0.0,2.22
Yatharth Hospit.,543950.0,YATHARTH,INE0JO301016,Healthcare Services,Hospital,862.0,68.57,8305.77,1089.44,260.29,23.89,26.19,49.67,4.94,1.15,9.4,0.02,10.43,574.15,31.97,338.94,50.37,29.06,2.88,0.98,-0.93,0.12,0.0,0.31
