Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Nestle India,500790,NESTLEIND,Food Products,Packaged Foods,1276.80,246207.17,21023.38,4828.55,22.97,23.62,82.23,53.95,7.78,27.10,0.10,83.02,-594.11,18.56,321.25,2300.78,2489.81,1.71,0.57,-0.46,0.11,2.65
One Global Serv,514330,,Healthcare Services,Healthcare Service Provider,619.65,1210.98,311.64,58.78,18.86,16.90,27.60,11.95,0.17,26.38,0.00,42.31,80.39,0.77,190.49,117.59,0.00,4.88,0.00,-9.54,0.00,0.00
Parin Enterpris.,,PARIN,Consumer Durables,"Furniture, Home Furnishing",594.00,660.41,239.23,24.40,10.20,11.45,78.72,9.95,4.17,4.86,1.47,11.37,62.28,-0.72,37.18,13.97,93.42,2.61,0.00,0.40,4.96,0.67
Polycab India,542652,POLYCAB,Industrial Products,Cables - Electricals,7539.00,113490.84,24595.05,3623.66,14.73,13.23,46.10,10.71,1.57,15.15,0.02,21.44,5723.79,198.46,2814.59,1574.86,5418.19,3.09,0.09,2.51,0.06,4.61
Powergrid Infra.,543290,PGINVIT,Power,Power - Transmission,94.44,8594.03,1260.86,1961.87,155.60,133.12,6.36,1.12,0.20,11.62,0.14,15.41,897.44,40.24,208.58,2.96,30.93,18.72,,,0.63,4.12
Pramara Promotio,,PRAMARA,Media,Advertising & Media Agencies,356.55,322.14,108.84,15.78,14.50,14.45,32.80,2.74,0.52,6.65,0.25,12.10,118.84,2.06,33.72,4.36,31.88,4.88,-0.11,-0.07,1.77,1.76
PropshareTitania,544462,,Realty,Real Estate Investment Trusts (REITs),1060000.00,472.97,39.51,32.87,83.19,83.19,52.73,10.45,0.33,3.20,0.00,10.27,0.33,0.56,0.00,0.29,0.00,6.01,,,0.00,0.93
Pune e,544141,,Capital Markets,Stockbroking & Allied,223.25,349.41,49.21,19.44,39.50,37.75,22.37,2.13,1.06,6.27,0.36,12.07,169.24,8.50,92.12,71.42,0.00,10.04,0.00,0.35,2.22,0.73
Punjab Natl.Bank,532461,PNB,Banks,Public Sector Bank,124.99,143650.30,129502.98,95371.61,73.64,72.67,8.43,1.01,0.12,1.07,12.22,15.17,189158.58,17765.09,0.00,0.00,0.00,6.23,0.48,0.15,15.36,1.00
Raghav Product.,539837,RPEL,Industrial Products,Electrodes & Refractories,1022.05,4692.43,227.72,63.37,27.83,26.97,103.22,21.83,3.73,17.29,0.03,20.51,127.49,2.15,65.17,23.24,39.02,1.25,0.00,0.01,0.11,4.07
Renol Polychem,,RNPL,Chemicals & Petrochemicals,Specialty Chemicals,145.00,115.19,62.30,7.15,11.48,11.48,22.24,3.00,,25.71,0.01,45.41,36.43,0.26,17.71,4.46,14.98,6.48,,,0.03,1.36
RRP Defense,530929,,Commercial Services & Supplies,Trading & Distributors,955.30,1310.56,14.12,2.91,20.61,15.02,524.22,86.33,1.84,14.46,0.00,87.02,8.91,0.01,16.46,9.67,0.00,0.22,0.00,0.00,0.00,2.96
Sansera Enginee.,543358,SANSERA,Auto Components,Auto Components & Equipments,1711.40,10649.06,3100.96,527.28,17.00,17.13,42.78,3.69,2.35,6.65,0.15,10.50,792.16,40.51,465.98,416.12,614.01,3.53,0.11,0.05,1.16,0.51
Savy Infra,,SAVY,Construction,Civil Construction,169.00,351.66,401.17,51.25,12.78,12.54,10.74,2.49,0.02,20.99,0.31,76.10,137.30,0.44,86.35,21.52,79.23,13.17,,,0.84,4.33
SBI,500112,SBIN,Banks,Public Sector Bank,983.90,908200.46,505419.84,234329.37,46.36,48.66,11.56,1.60,0.39,1.15,11.08,17.20,106052.01,187912.23,0.00,0.00,0.00,6.04,2.11,0.24,15.04,1.52
Sheetal Univer.,,SHEETAL,Agricultural Food & other Products,Other Agricultural Products,146.00,167.26,94.73,16.97,17.91,13.14,17.57,3.69,0.08,15.16,0.56,23.79,26.58,0.99,35.09,10.78,19.38,8.13,0.00,0.00,1.62,2.76
Shreeji Ship. Gl,544490,SHREEJISPG,Transport Services,Shipping,308.10,5019.51,607.61,199.49,32.83,32.83,37.09,7.03,2.57,18.25,0.30,37.95,292.95,24.65,153.84,49.59,26.70,3.71,,,1.19,4.58
Shriram Finance,511218,SHRIRAMFIN,Finance,Non Banking Financial Company (NBFC),856.60,161150.46,45601.30,33103.56,72.59,72.05,18.40,2.66,0.41,3.04,3.87,15.57,12046.73,1594.94,26.68,333.98,0.00,8.42,2.33,-3.00,7.22,0.26
Sirca Paints,543686,SIRCA,Consumer Durables,Paints,523.45,2972.82,435.04,84.39,19.40,18.14,51.32,6.71,2.49,12.27,0.10,14.94,305.76,4.15,137.73,43.60,107.54,2.69,0.32,1.29,0.57,2.88
SMS Pharma.,532815,SMSPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals,322.30,3018.40,860.03,161.90,18.82,17.88,37.20,3.97,232.50,6.07,0.43,11.00,286.40,5.57,221.42,137.43,317.39,4.02,-0.15,0.25,2.49,2.04
