Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,172.38,1095.75,208.17,33.03,15.87,15.87,66.01,9.98,1.66,8.18,0.58,17.30,140.20,1.11,0.36
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals & Biotechnology,916.35,8304.38,2115.07,464.37,21.96,21.96,30.49,4.17,,9.93,0.21,14.54,963.01,10.12,3.49
ACE Alpha Tech,544431,,IT - Software,98.44,172.85,14.87,13.79,92.74,92.74,16.23,,,75.42,0.00,82.33,14.59,0.48,0.00
Aimtron,,AIMTRON,Industrial Manufacturing,742.75,1516.24,158.31,34.09,21.53,21.53,58.91,9.78,,15.95,0.00,24.89,116.18,2.92,0.70
Algoquant Fin,505725,,Finance,1227.15,1916.38,234.70,48.24,20.55,20.55,60.09,18.98,,12.27,0.34,37.55,74.85,0.04,0.05
Allied Blenders,544203,ABDL,Beverages,442.70,12381.35,3519.88,431.08,12.25,12.25,63.63,8.03,0.61,6.29,0.59,19.96,1581.25,20.87,2.66
Arkade,544261,ARKADE,Realty,202.91,3762.71,683.10,206.09,30.17,30.17,23.98,4.26,,17.19,0.13,26.00,955.74,11.98,3.10
Aryaman Capital,538716,,Finance,332.70,398.48,74.59,27.89,37.39,37.39,17.38,5.15,0.09,22.15,0.36,38.69,62.22,2.75,0.36
Aryaman Fin.Serv,530245,,Finance,716.35,836.85,112.87,52.67,46.66,46.66,26.52,6.50,0.26,23.47,0.22,31.30,116.80,5.23,1.74
Asahi India Glas,515030,ASAHIINDIA,Auto Components,813.70,19787.11,4594.48,766.13,16.68,16.68,57.44,7.41,3.11,5.61,1.01,13.72,722.98,66.46,4.83
Asarfi Hospital,543943,,Healthcare Services,142.00,279.42,120.57,23.84,19.77,19.77,25.45,3.43,0.77,6.90,0.60,14.46,32.10,7.57,2.61
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,146.05,153.51,80.16,11.95,14.91,14.91,40.29,,,5.25,3.54,37.84,28.86,0.10,3.28
Avishkar Infra,508929,,Realty,103.75,232.44,2.40,1.87,77.92,77.92,68.77,16.11,1.61,21.07,0.15,150.22,15.61,2.20,0.00
AXISCADES Tech.,532395,AXISCADES,Aerospace & Defense,1448.40,6159.14,1030.72,142.42,13.82,13.82,79.16,9.48,3.74,6.91,0.39,12.61,449.36,16.99,3.86
Balaji Phos.,,BALAJIPHOS,Fertilizers & Agrochemicals,141.55,336.56,126.52,13.26,10.48,10.48,42.50,4.20,,7.44,0.39,13.77,87.77,2.05,4.23
Belrise Industri,544405,BELRISE,Auto Components,112.40,10004.19,8290.82,1021.14,12.32,12.32,28.15,,,5.36,1.10,14.11,2208.13,61.63,1.32
Bemco Hydraulics,522650,,Industrial Manufacturing,2928.05,640.28,100.12,20.31,20.29,20.29,51.43,9.13,0.32,9.71,0.27,19.89,29.96,1.00,0.00
Bio Green Papers,534535,,"Paper, Forest & Jute Products",253.15,2947.48,407.36,41.24,10.12,10.12,83.62,30.37,0.68,25.16,0.00,25.97,22.08,0.86,0.00
CCL Products,519600,CCL,Agricultural Food & other Products,893.40,11934.07,3105.75,555.09,17.87,17.87,38.45,6.06,2.88,7.98,0.92,17.05,1707.71,8.45,2.38
Cedaar Textile,,CEDAAR,,118.70,164.74,188.71,29.89,15.84,15.84,14.91,,,5.91,5.79,56.05,94.70,1.33,0.25
Choice Intl.,531358,CHOICEIN,Finance,704.90,14078.68,910.38,284.59,31.26,31.26,89.94,13.70,1.36,7.36,0.45,18.87,856.03,11.29,4.74
CLN Energy,544347,,Auto Components,606.95,640.53,219.18,23.91,10.91,10.91,49.58,6.78,,8.26,0.17,23.95,81.29,1.21,0.80
CSB Bank,542867,CSBBANK,Banks,412.90,7169.32,3597.14,1948.44,54.17,54.17,12.07,1.59,0.11,1.42,9.43,14.31,0.00,972.06,3.08
Cupid,530843,CUPID,Personal Products,108.12,2905.90,203.18,61.43,30.23,30.23,71.00,8.48,114.52,11.83,0.06,12.72,274.46,0.00,4.78
Ellen.Indl.Gas,544421,ELLEN,Chemicals & Petrochemicals,604.70,8511.11,312.48,109.83,35.15,35.15,106.10,16.05,-51.76,10.57,0.50,17.76,73.22,35.95,3.15
Exhicon Events,543895,,Other Consumer Services,466.00,604.05,143.51,35.12,24.47,24.47,23.23,5.39,,24.62,0.00,26.63,65.77,2.99,4.15
Fabtech Techn.,544332,,Industrial Manufacturing,389.85,480.27,150.03,16.04,10.69,10.69,36.11,5.09,1.33,12.51,0.01,18.21,81.83,0.87,1.30
Faze Three,530079,FAZE3Q,Textiles & Apparels,643.05,1565.44,658.91,75.70,11.49,11.49,39.30,3.75,2.51,6.35,0.43,10.02,265.23,14.02,3.59
Fiem Industries,532768,FIEMIND,Auto Components,1925.30,5070.66,2422.61,322.19,13.30,13.30,25.08,4.88,1.14,15.30,0.02,21.00,492.25,19.87,3.73
Foce India,,FOCE,Consumer Durables,1950.00,954.12,104.25,18.35,17.60,17.60,66.26,12.11,,11.08,0.38,20.11,36.19,0.39,0.66
GHV Infra,505504,,Construction,1085.10,1564.17,184.88,24.93,13.48,13.48,91.21,36.73,,15.49,0.73,82.12,15.11,0.00,0.00
Grand Continent,,GCHOTELS,Leisure Services,168.65,420.27,72.62,19.18,26.41,26.41,39.50,3.94,,10.02,0.10,15.56,41.13,0.62,3.77
GSM Foils,,GSMFOILS,Industrial Products,177.75,227.73,133.80,15.20,11.36,11.36,23.60,7.29,,23.72,0.57,45.66,43.74,0.02,0.00
Hawkins Cookers,508486,,Consumer Durables,9230.40,4882.88,1115.76,154.53,13.85,13.85,42.57,12.74,4.43,20.66,0.06,32.00,287.98,13.53,1.33
Hoac Foods,,HOACFOODS,Food Products,277.65,106.71,26.48,4.11,15.52,15.52,42.68,9.37,,17.72,0.39,33.90,11.97,0.16,0.00
Iconik Sports,511260,,Finance,46.70,158.04,12.71,3.48,27.38,27.38,60.78,2.48,0.30,9.49,0.00,15.03,6.37,0.00,0.00
Indosolar,533257,WAAREEINDO,Electrical Equipment,243.84,1014.46,323.91,95.05,29.34,29.34,18.52,25.10,0.35,28.03,1.24,420.74,-14.88,0.84,0.00
Influx Health.,,INFLUX,,144.75,335.10,104.85,20.58,19.63,19.63,25.06,,,24.01,0.01,45.38,15.32,0.13,0.00
J.G.Chemicals,544138,JGCHEM,Chemicals & Petrochemicals,521.50,2041.98,847.94,86.12,10.16,10.16,31.90,4.40,0.85,14.10,0.00,14.83,421.88,10.01,3.78
Jenburkt Pharma,524731,,Pharmaceuticals & Biotechnology,1364.55,602.22,151.69,40.39,26.63,26.63,19.14,3.51,1.18,17.51,0.02,19.87,40.11,6.72,3.22
Karur Vysya Bank,590003,KARURVYSYA,Banks,271.55,21864.89,9678.04,6179.30,63.85,63.85,11.26,1.83,0.22,1.73,8.66,17.68,0.00,1829.55,2.16
Kolte Patil Dev.,532924,KOLTEPATIL,Realty,484.15,3677.45,1717.38,175.88,10.24,10.24,34.51,4.43,4.28,2.13,1.37,13.63,1233.68,51.47,2.74
Kovai Medical,523323,KOVAI,Healthcare Services,6180.35,6761.31,1371.12,385.72,28.13,28.13,32.36,6.23,1.89,12.90,0.38,21.16,97.12,22.10,3.43
Laxmi Goldorna,,LGHL,Consumer Durables,794.60,1658.49,87.82,22.45,25.56,25.56,157.80,25.51,,7.28,1.57,19.03,146.35,0.27,4.31
Laxmipati Engg,537669,,Industrial Manufacturing,365.90,210.40,50.07,10.07,20.11,20.11,32.37,24.56,1.05,12.29,5.26,122.18,19.32,0.05,0.00
Loyal Equipments,539227,,Industrial Manufacturing,346.80,374.20,75.30,16.39,21.77,21.77,35.10,7.36,1.17,16.48,0.19,26.50,41.84,0.42,4.70
M.V.K. Agro,,MVKAGRO,Agricultural Food & other Products,173.65,268.99,149.73,18.00,12.02,12.02,28.83,2.99,,3.37,1.18,10.95,102.19,6.07,0.00
Magna Electrocas,517449,,Industrial Products,1288.30,545.22,176.45,34.21,19.39,19.39,23.58,4.22,0.84,14.86,0.09,19.45,48.01,1.73,4.46
Manorama Indust.,541974,MANORAMA,Food Products,1466.20,8722.86,770.84,191.05,24.78,24.78,77.85,18.92,2.08,13.02,1.04,28.05,756.72,18.56,4.67
Marathon Nextgen,503101,MARATHON,Realty,715.90,4840.59,580.14,173.05,29.83,29.83,25.95,3.09,0.51,8.79,0.47,17.09,767.03,96.27,2.85
MAS FINANC SER,540749,MASFIN,Finance,311.60,5654.09,1595.97,1185.23,74.26,74.26,18.22,2.17,1.42,2.89,3.51,14.14,927.58,4.18,1.05
Meghna Infracon,538668,,Realty,578.70,1257.14,39.88,11.34,28.44,28.44,136.05,57.18,,34.74,0.15,52.56,11.51,0.35,3.46
Monolithisch Ind,,MONOLITH,,402.35,874.55,97.26,21.04,21.63,21.63,60.90,,0.53,34.47,0.21,53.30,30.00,0.00,1.20
Neetu Yoshi,544434,,Industrial Products,121.54,471.72,47.33,17.12,36.17,36.17,37.53,,,47.35,0.88,99.33,13.60,0.12,0.00
NESCO,505355,NESCO,Commercial Services & Supplies,1190.40,8384.01,732.01,437.76,59.80,59.80,22.34,3.19,2.25,13.24,0.00,15.23,219.87,113.66,2.77
Nitta Gelatin,506532,,Chemicals & Petrochemicals,921.95,837.13,532.72,103.32,19.39,19.39,11.17,1.98,0.24,16.00,0.07,19.58,293.14,23.87,0.33
