Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,184.20,1176.65,208.17,33.03,15.87,15.87,70.88,10.66,0.32,8.18,0.58,17.30,75.96,1.11,50.23,33.95,81.11,2.43,0.00,0.01,2.19,0.97
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals & Biotechnology,937.30,8495.18,2115.07,464.37,21.96,21.96,31.19,4.27,1.02,9.93,0.21,14.54,665.12,10.12,575.40,277.83,587.58,4.36,0.27,-0.02,1.07,3.52
Accent Microcell,,ACCENTMIC,Pharmaceuticals & Biotechnology,283.95,681.17,264.58,41.91,15.84,15.84,20.60,3.50,0.27,15.26,0.01,18.44,123.97,6.41,64.88,18.48,33.63,6.98,0.71,0.00,0.03,2.76
ACE Alpha Tech,544431,,IT - Software,131.47,230.84,15.53,13.70,88.22,88.22,20.61,,0.06,39.72,0.00,40.72,20.39,1.68,1.47,0.00,0.00,6.44,,,0.00,4.73
Aditya AMC,543374,ABSLAMC,Capital Markets,874.20,25231.72,1745.55,1034.68,59.28,64.91,25.96,6.77,2.27,24.44,0.02,26.99,75.86,324.11,57.87,68.11,0.00,5.23,-0.12,0.20,0.05,4.14
Affle 3i,542752,AFFLE,IT - Services,1985.40,27915.36,2367.54,518.40,21.90,21.32,69.65,9.47,3.27,11.08,0.03,14.03,1547.48,85.81,298.56,407.60,0.00,1.88,-1.49,2.33,0.16,4.55
AGI Infra,539042,AGIIL,Realty,1075.30,2627.33,324.87,92.54,28.49,28.49,39.41,8.91,1.76,5.86,0.47,25.66,104.27,12.58,2.16,16.53,818.43,3.17,0.01,-0.44,1.58,0.89
Algoquant Fin,505725,,Finance,1223.95,1911.37,234.70,48.24,20.55,20.55,59.94,18.93,,12.27,0.34,37.55,74.85,0.04,1.72,0.00,0.00,2.39,0.00,0.00,0.78,2.19
Allied Blenders,544203,ABDL,Beverages,487.70,13641.46,3685.12,467.60,12.69,12.25,56.96,8.84,0.14,6.29,0.59,19.96,774.44,26.64,1746.84,606.91,578.51,3.01,0.70,0.09,2.08,3.60
Alpex Solar,,ALPEXSOLAR,Electrical Equipment,1256.70,3075.57,780.15,125.28,16.06,16.06,36.84,14.21,0.03,24.19,0.36,48.07,121.57,2.86,123.75,109.93,102.39,3.85,0.01,0.19,0.66,4.63
Anand Rathi Wea.,543415,ANANDRATHI,Capital Markets,2688.30,22318.44,975.50,429.79,44.06,45.01,69.70,33.11,2.08,32.68,0.12,45.33,342.77,43.99,35.45,0.07,0.00,2.00,1.19,0.05,0.18,0.43
Anthem Bioscienc,544449,ANTHEM,Pharmaceuticals & Biotechnology,782.45,43943.18,1840.65,689.67,37.47,37.47,86.77,,11.36,19.63,0.05,22.99,956.75,108.98,447.91,110.10,338.60,1.65,,,0.16,0.83
Apis India,506166,,Food Products,340.75,187.76,350.35,35.60,10.16,10.16,7.41,1.08,0.16,9.17,0.38,15.79,121.58,1.86,114.78,33.19,78.65,13.20,0.00,0.00,1.98,0.00
Apollo Hospitals,508869,APOLLOHOSP,Healthcare Services,7456.00,107205.84,21794.00,3021.80,13.87,13.87,74.14,13.05,3.79,8.05,0.96,19.09,2450.00,233.30,3016.10,2240.50,480.80,2.20,-0.95,0.75,3.15,2.34
Aryaman Fin.Serv,530245,,Finance,721.95,843.38,112.87,52.67,46.66,46.66,26.72,6.55,0.30,23.47,0.22,31.30,116.80,5.23,0.43,1.35,15.74,7.48,0.00,0.00,0.49,3.84
Authum Invest,539177,AIIL,Finance,2825.60,47991.43,4361.23,3991.81,91.53,89.63,11.71,3.28,0.14,31.27,0.04,34.12,-62.92,44.57,16.31,0.00,0.00,8.35,0.06,0.53,0.13,2.50
Avishkar Infra,508929,,Realty,175.97,394.23,2.40,1.87,77.92,77.92,116.64,27.32,1.27,21.07,0.15,150.22,13.49,2.20,2.47,0.04,5.08,0.78,0.00,0.00,0.69,0.00
Balaji Phos.,,BALAJIPHOS,Fertilizers & Agrochemicals,141.00,335.26,126.52,13.26,10.48,10.48,42.33,4.19,1.20,7.44,0.39,13.77,61.94,2.05,44.69,7.17,39.75,3.93,,,2.18,4.60
Belrise Industri,544405,BELRISE,Auto Components,131.79,11727.72,8290.82,1021.14,12.32,12.32,32.99,,3.13,5.36,1.10,14.11,929.45,61.63,1591.13,1065.71,769.73,5.18,,,3.94,1.28
Bosch,500530,BOSCHLTD,Auto Components,39915.00,117723.86,18087.40,2309.70,12.77,12.77,58.50,8.52,3.19,10.70,0.01,15.55,4385.10,815.60,2365.00,2958.20,1942.30,2.34,-0.02,0.09,0.04,0.51
Chandan Healthca,,CHANDAN,Healthcare Services,259.85,635.39,230.12,41.34,17.96,17.96,28.66,5.18,0.16,13.84,0.39,27.09,53.43,2.05,46.70,25.78,31.37,5.41,,,1.31,4.96
Chembond Chemic.,544450,CHEMBONDCH,Chemicals & Petrochemicals,216.95,583.52,292.27,42.01,14.37,14.37,19.18,,0.64,15.42,0.00,19.16,109.39,5.83,100.36,27.05,18.26,7.57,,,0.00,0.00
CSB Bank,542867,CSBBANK,Banks,421.70,7315.90,3597.14,1948.44,54.17,54.17,12.32,1.63,1.36,1.42,9.43,14.31,0.00,972.06,0.00,0.00,0.00,6.28,-2.26,2.30,14.52,2.85
Cupid,530843,CUPID,Personal Products,150.92,4051.71,203.18,61.43,30.23,30.23,98.99,11.84,2.80,11.83,0.06,12.72,260.49,0.00,67.03,1.25,41.67,1.42,0.00,-0.68,0.33,2.50
Datamatics Glob.,532528,DATAMATICS,IT - Services,938.30,5552.57,1723.36,229.26,13.30,13.30,30.99,4.07,4.13,10.21,0.14,13.82,601.14,78.01,301.82,138.44,0.00,4.13,-0.08,-0.12,0.83,2.06
Dhanuka Agritech,507717,DHANUKA,Fertilizers & Agrochemicals,1844.80,8408.29,2035.15,416.61,20.47,20.47,28.81,5.99,2.31,17.27,0.05,21.95,676.40,36.10,459.15,140.03,398.74,4.60,-0.43,0.48,0.19,4.24
Dharni Capital,543753,,Capital Markets,54.85,111.73,6.52,2.60,39.88,39.88,29.02,5.28,,17.92,0.10,20.02,3.12,2.61,0.26,0.00,0.00,4.45,0.00,0.00,0.41,4.77
Flair Writing,544030,FLAIR,Household Products,341.90,3603.47,969.72,155.09,15.99,16.05,31.73,3.60,1.15,10.06,0.04,11.86,500.16,34.74,215.60,45.66,220.91,4.42,0.68,-0.01,0.25,2.17
Foce India,,FOCE,Consumer Durables,1980.00,968.80,104.25,18.35,17.60,17.60,67.28,12.29,4.12,11.08,0.38,20.11,6.11,0.39,57.66,17.89,3.14,1.85,0.00,0.00,1.63,0.00
Fortis Health.,532843,FORTIS,Healthcare Services,850.60,64216.74,7782.75,1587.95,20.40,20.40,76.45,7.20,2.49,6.67,0.28,10.13,-135.95,-10.88,784.49,807.61,115.29,1.93,0.33,-0.22,1.94,0.46
Fredun Pharma,539730,,Pharmaceuticals & Biotechnology,958.60,452.62,456.27,55.10,12.08,12.08,21.75,3.20,0.45,5.24,1.18,15.83,100.21,0.00,177.12,144.76,239.89,8.25,0.00,0.00,3.29,2.58
Freshara Agro,,FRESHARA,Food Products,204.25,479.97,250.64,36.19,14.44,14.44,16.67,3.76,0.08,13.85,0.74,37.23,85.25,10.05,83.73,20.67,52.66,8.25,-4.00,-7.07,2.13,1.33
G G Automotive,531399,,Auto Components,292.20,291.91,117.01,19.37,16.55,15.13,32.04,5.91,0.20,8.78,0.53,19.70,13.44,0.40,24.60,14.85,15.00,4.82,0.00,0.00,1.65,0.95
Gallantt Ispat L,532726,GALLANTT,Industrial Products,681.00,16431.23,4260.82,726.69,17.06,16.18,36.30,5.78,1.15,11.99,0.13,15.14,966.32,21.28,90.18,91.15,436.26,3.78,0.00,0.01,0.60,0.79
Ganesh Infra.,,GANESHIN,Construction,205.40,877.50,583.52,60.09,10.30,9.73,19.66,4.89,,21.63,0.21,36.18,121.61,3.81,116.92,40.82,39.93,6.85,-0.72,0.22,0.61,4.42
Garuda Cons,544271,GARUDA,Construction,187.15,1741.28,315.07,91.21,28.95,29.53,25.17,5.25,0.66,15.70,0.00,22.09,294.39,3.25,180.48,30.90,11.04,5.55,-0.28,-0.05,0.00,2.14
GE Vernova T&D,522275,GVT&D,Electrical Equipment,2473.40,63331.41,4664.09,1024.09,21.96,19.07,82.79,35.72,1.02,14.76,0.02,40.34,882.74,67.09,1468.92,1025.89,703.52,1.66,-1.43,1.45,0.03,3.77
GHV Infra,505504,,Construction,1459.95,2104.52,184.88,24.93,13.48,13.48,122.71,49.43,0.36,15.49,0.73,82.12,15.11,0.00,133.56,128.97,13.24,1.17,0.00,0.00,1.24,0.00
Global Health,543654,MEDANTA,Healthcare Services,1331.40,35769.44,3692.32,877.07,23.75,23.75,69.00,10.56,1.80,11.46,0.21,16.48,914.30,29.20,291.86,194.81,67.14,2.16,0.27,-0.22,0.94,4.44
GSM Foils,,GSMFOILS,Industrial Products,208.00,266.48,164.81,18.87,11.45,11.36,22.04,8.53,,23.72,0.57,45.66,25.92,0.08,33.77,7.36,18.86,6.56,0.00,0.00,0.96,0.76
GTV Engineering,539479,,Industrial Manufacturing,92.90,435.31,102.77,16.17,15.73,15.73,39.39,9.24,0.24,15.02,0.24,26.42,25.02,0.18,14.05,5.37,7.74,3.55,0.00,0.16,0.74,3.45
Guj. Themis Bio.,506879,GUJTHEM,Pharmaceuticals & Biotechnology,389.75,4246.92,150.80,68.84,45.65,45.65,87.08,17.10,22.98,18.67,0.12,21.69,31.41,2.43,31.24,14.65,5.05,1.55,0.00,0.60,0.46,0.93
Harshdeep Horti.,544105,,Agricultural Food & other Products,100.10,161.10,56.27,14.81,26.32,26.32,16.61,3.40,,19.46,0.00,22.95,33.55,0.15,13.16,3.77,23.56,7.18,0.00,0.00,0.00,0.15
HDFC AMC,541729,HDFCAMC,Capital Markets,5627.50,120393.98,3690.55,2972.78,80.55,82.62,46.22,14.79,2.21,30.18,0.00,32.35,-141.31,619.81,133.18,39.56,0.00,2.93,-1.35,1.46,0.00,0.80
HDFC Bank,500180,HDFCBANK,Banks,2021.60,1551200.00,342193.10,136606.41,39.92,44.41,21.98,2.96,0.96,1.74,6.41,14.45,270754.86,144781.31,0.00,13653.91,0.00,5.91,0.09,0.54,11.89,0.79
Hind Rectifiers,504036,HIRECT,Industrial Manufacturing,1712.20,2938.59,734.60,80.27,10.93,10.83,68.09,18.36,1.01,9.78,1.03,25.72,45.18,1.20,109.55,59.92,120.73,2.33,0.05,0.27,2.27,0.00
ICICI Bank,532174,ICICIBANK,Banks,1486.20,1060736.45,190829.78,55519.60,29.09,28.78,20.06,3.39,0.75,2.18,5.97,17.97,0.00,111063.13,0.00,0.00,0.00,5.95,-0.86,0.94,11.17,0.92
Iconik Sports,511260,,Finance,60.37,204.30,12.71,3.48,27.38,27.38,78.58,3.21,0.44,9.49,0.00,15.03,6.37,0.00,11.40,4.75,0.00,1.70,-0.05,5.35,0.00,0.00
Indian Bank,532814,INDIANB,Banks,630.50,84926.08,63283.90,43060.82,68.04,68.06,7.40,1.19,0.19,1.35,10.89,17.09,36744.95,9788.23,0.00,1995.02,0.00,6.39,0.27,-0.20,14.52,4.27
Indosolar,533257,WAAREEINDO,Electrical Equipment,282.27,1174.35,518.03,159.03,30.70,29.34,6.65,29.06,0.08,28.03,1.24,420.74,-27.02,2.60,4.66,82.93,74.43,10.43,0.05,0.01,0.40,0.00
InfoBeans Tech.,543644,INFOBEAN,IT - Software,623.20,1524.06,409.67,75.96,18.54,17.32,28.02,4.57,-2.60,9.84,0.06,12.37,115.98,22.74,86.43,3.42,0.00,4.93,0.00,-0.11,0.27,0.38
Insecticid.India,532851,INSECTICID,Fertilizers & Agrochemicals,1061.25,3141.07,1999.95,221.21,11.06,11.06,22.14,2.90,2.36,7.84,0.10,13.53,638.00,7.57,385.32,507.75,886.25,6.25,0.13,0.15,0.52,2.16
