Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
A B B,500002.0,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,7658.0,59.31,162279.41,13476.81,1883.21,13.97,15.49,105.28,17.38,3.54,12.83,0.02,22.39,7488.57,1799.18,3275.59,4062.14,2548.27,1.34,0.61,-0.52,0.07,0.51,3.36
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,587.6,73.05,1409.59,349.03,56.69,16.24,16.24,32.13,5.12,0.61,15.95,0.0,18.65,111.4,6.77,91.3,19.71,32.41,4.26,-0.05,0.33,0.01,0.17,0.58
Accretion Pha.,,ACCPL,INE0T8T01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,195.0,65.01,216.76,89.63,14.95,16.68,16.68,22.41,3.96,,16.6,0.23,27.63,39.78,0.19,22.4,5.77,28.37,6.33,2.76,0.0,0.88,0.0,1.02
Ador Welding,517041.0,ADOR,INE045A01017,Industrial Products,Other Industrial Products,1528.55,63.73,2660.08,1193.54,161.16,13.5,10.82,22.19,4.71,1.58,11.54,0.01,16.42,257.13,12.98,231.85,193.06,151.62,6.29,-2.16,0.68,0.02,1.5,4.45
Aegeus Technolog,544858.0,,INE0WR901013,Commercial Services & Supplies,Diversified Commercial Services,157.65,,132.03,40.92,6.84,16.72,16.72,32.84,,,13.06,0.77,29.98,5.11,0.28,15.77,4.31,4.53,4.92,,,1.76,0.0,0.0
Afcom Holdings,544224.0,,INE0OXY01013,Transport Services,Logistics Solution Provider,1537.5,60.64,4412.46,640.4,247.18,38.6,40.05,30.06,6.45,0.27,20.15,0.54,36.01,373.34,7.12,131.25,14.18,29.43,4.52,7.11,0.63,1.83,0.0,3.05
Ajanta Pharma,532331.0,AJANTPHARM,INE031B01049,Pharmaceuticals & Biotechnology,Pharmaceuticals,3725.0,69.78,46547.2,5776.17,1467.06,25.4,27.5,41.07,10.24,1.72,20.63,0.06,27.14,1759.83,216.64,1853.88,544.3,938.54,3.27,3.44,-0.58,0.17,0.86,0.28
Akiko,,AKIKO,INE0PMR01017,Finance,Other Financial Services,361.85,57.86,389.68,211.32,31.05,14.69,14.51,20.14,6.5,,20.25,0.25,29.43,55.96,0.64,63.24,13.92,0.0,7.91,1.18,0.04,0.5,0.0,1.67
Alivus Life,543322.0,ALIVUS,INE03Q201024,Pharmaceuticals & Biotechnology,Pharmaceuticals,1394.4,73.49,17119.27,2590.4,836.69,32.3,31.27,27.56,5.08,4.96,14.87,0.02,17.88,1360.94,48.17,1072.96,372.37,691.93,4.87,-0.09,0.24,0.07,0.36,1.66
Ameenji Rubber,544555.0,,INE14QA01016,Industrial Products,Rubber,185.0,81.75,208.68,123.25,19.28,15.64,15.64,32.91,3.82,,5.12,0.55,16.5,20.32,0.69,22.63,30.71,51.25,6.43,-3.6,-2.37,2.01,0.0,2.58
