Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,190.16,1214.72,254.58,39.43,15.49,15.87,57.19,11.00,0.26,8.18,0.58,17.30,75.96,1.71,50.23,33.95,81.11,2.93,0.00,0.01,1.76,3.62
Acutaas Chemical,543349,ACUTAAS,Pharmaceuticals & Biotechnology,1316.80,10780.50,1037.44,253.46,24.43,23.05,57.11,8.23,1.89,12.13,0.01,16.00,589.39,31.83,290.49,156.05,179.94,2.43,4.07,0.46,0.05,4.51
Adcounty Media.,544435,,Media,191.10,430.00,68.90,18.25,26.49,26.49,31.27,,0.35,35.51,0.02,47.28,33.19,0.69,30.43,5.55,0.00,4.40,,,0.05,0.00
Affle 3i,542752,AFFLE,IT - Services,1983.50,27895.99,2367.54,518.40,21.90,21.32,69.60,9.46,3.26,11.08,0.03,14.03,1547.48,85.81,298.56,407.60,0.00,1.88,-1.49,2.33,0.16,4.64
AGI Infra,539042,AGIIL,Realty,1100.40,2688.66,324.87,92.54,28.49,28.49,40.33,9.12,1.81,5.86,0.47,25.66,104.27,12.58,2.16,16.53,818.43,3.10,0.01,-0.44,1.58,4.35
Ajax Engineering,544356,AJAXENGG,"Agricultural, Commercial & Construction Vehicles",722.20,8262.46,2071.43,299.36,14.45,15.34,33.59,7.14,0.58,19.13,0.00,25.07,922.89,42.63,164.72,222.60,257.59,4.03,1.02,0.52,0.01,4.57
Algoquant Fin,505725,,Finance,1398.95,2184.66,234.70,48.24,20.55,20.55,68.51,21.64,,12.27,0.34,37.55,74.85,0.04,1.72,0.00,0.00,2.08,0.00,0.00,0.78,0.71
Apis India,506166,,Food Products,434.75,239.55,350.35,35.60,10.16,10.16,9.45,1.38,0.20,9.17,0.38,15.79,121.58,1.86,114.78,33.19,78.65,10.96,0.00,0.00,1.98,0.00
Apollo Hospitals,508869,APOLLOHOSP,Healthcare Services,7808.50,112274.25,22550.50,3198.60,14.18,13.92,71.35,13.67,3.93,7.77,0.96,18.42,1017.70,238.40,3016.10,2240.50,480.80,2.22,-0.95,0.75,2.98,0.40
Aryaman Capital,538716,,Finance,444.20,532.02,74.59,27.89,37.39,37.39,23.20,6.87,0.07,22.15,0.36,38.69,62.22,2.75,0.22,1.27,15.74,5.99,0.00,0.00,0.92,0.00
Authum Invest,539177,AIIL,Finance,2987.60,50742.92,4361.23,3991.81,91.53,89.63,12.39,3.47,0.15,31.27,0.04,34.12,-62.92,44.57,16.31,0.00,0.00,7.90,0.06,0.53,0.13,0.41
Axis Solution,511144,,IT - Software,22.12,104.54,205.91,27.39,13.30,17.61,4.15,0.89,,20.20,0.33,38.25,76.17,1.90,94.52,23.06,37.76,20.38,1.74,0.00,1.36,0.00
B. D. Industries,544468,,Industrial Products,108.55,154.25,82.38,14.26,17.31,17.31,20.27,,0.14,15.09,1.05,43.89,18.09,1.75,21.81,17.77,29.64,8.08,,,1.57,0.87
Balaji Phos.,,BALAJIPHOS,Fertilizers & Agrochemicals,143.20,340.49,126.52,13.26,10.48,10.48,42.99,4.25,1.22,7.44,0.39,13.77,61.94,2.05,44.69,7.17,39.75,3.88,,,2.18,3.11
Bhadora Indust.,,BHADORA,Industrial Products,109.45,203.58,109.99,17.07,15.52,15.52,18.87,,0.09,28.92,0.94,69.41,17.15,0.58,21.77,4.16,9.81,7.98,,,1.14,0.00
Choice Intl.,531358,CHOICEIN,Finance,802.50,16022.35,943.61,314.39,33.32,31.26,93.11,15.59,2.17,7.36,0.45,18.87,686.96,10.06,274.63,26.92,19.49,1.97,0.03,0.34,1.47,0.43
Cummins India,500480,CUMMINSIND,Industrial Products,3792.10,105117.01,10981.95,2230.24,20.31,20.02,49.32,13.90,1.41,20.85,0.00,28.15,3817.92,754.37,2277.75,1567.10,1004.07,2.71,-0.31,0.29,0.01,3.48
Cupid,530843,CUPID,Personal Products,167.78,4504.34,223.89,71.27,31.83,30.23,94.53,13.16,2.67,11.83,0.06,12.72,260.49,0.00,67.03,1.25,41.67,1.49,0.00,-0.68,0.29,3.24
