Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
A B B,500002.0,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,7247.0,75.69,153570.0,13202.73,2044.9,15.49,15.49,91.95,19.63,3.09,12.83,0.01,22.39,6016.25,349.32,3176.33,3455.65,2052.98,1.54,0.13,0.55,0.04,0.99
Accord Transformer,544710.0,,INE132201018,Electrical Equipment,Heavy Electrical Equipment,63.99,63.03,131.62,79.02,9.16,11.59,11.59,21.52,,0.16,14.17,0.55,44.38,15.4,0.09,28.51,15.11,18.08,6.47,,,1.32,2.6
Adani Energy Sol,539254.0,ADANIENSOL,INE931S01010,Power,Power Distribution,1265.3,76.37,151998.24,26519.34,7801.47,29.42,29.73,67.69,6.49,2.68,3.37,1.95,13.64,4156.33,814.13,6160.26,4390.34,710.62,3.48,0.1,-1.24,6.81,2.03
Adani Green,541450.0,ADANIGREEN,INE364U01010,Power,Power Generation,1150.4,78.4,189491.24,12499.0,10279.0,82.24,79.28,115.02,9.8,2.04,2.32,4.52,14.61,-6165.0,603.0,1898.0,405.0,105.0,2.92,0.25,-0.32,11.01,3.73
Adani Ports,532921.0,ADANIPORTS,INE742F01042,Transport Infrastructure,Port & Port services,1594.1,67.65,367274.06,36486.63,21627.4,59.27,59.53,29.06,5.5,1.06,8.59,0.85,18.76,2609.64,1904.28,5576.58,2745.72,541.02,4.53,-0.03,0.15,3.05,1.08
Adani Power,533096.0,ADANIPOWER,INE814H01029,Power,Integrated Power Utilities,203.05,86.89,391575.81,54254.83,19886.27,36.65,38.11,34.24,6.65,0.91,12.46,0.83,26.1,9774.09,2156.96,9437.92,2976.65,3140.31,4.12,0.28,0.09,2.76,2.14
Aditya AMC,543374.0,ABSLAMC,INE404A01024,Capital Markets,Asset Management Company,1037.85,67.95,29973.71,1815.63,1082.18,59.6,64.91,29.4,8.36,2.57,24.44,0.02,26.99,-5.35,316.49,59.36,84.22,0.0,4.42,0.76,-0.3,0.05,4.1
Aditya Infotech,544466.0,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,2255.9,84.76,26574.14,3776.23,407.41,10.79,7.96,104.83,16.73,5.65,6.24,0.08,20.87,787.3,11.68,1053.91,1424.28,948.22,1.4,4.56,1.35,0.34,4.45
AIA Engineering,532683.0,AIAENG,INE212H01026,Industrial Products,Castings & Forgings,4007.2,66.56,37395.39,4310.63,1195.12,27.72,26.91,32.11,5.05,1.67,13.66,0.14,15.42,6091.93,442.71,793.5,204.05,1173.69,4.05,-0.23,0.22,0.67,4.73
Aimtron,,AIMTRON,INE0RUV01018,Industrial Manufacturing,Industrial Products,1013.1,70.71,2087.91,224.08,49.39,22.04,20.36,60.1,10.4,,15.88,0.0,24.8,167.99,2.87,47.5,23.66,83.17,2.27,-0.22,-0.25,0.01,2.59
