Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,168.00,1073.16,208.17,33.03,15.87,15.87,64.66,9.72,1.62,8.18,0.58,17.30,140.20,1.11,3.03
Aakaar Medical,,AAKAAR,,71.75,101.69,61.58,9.74,15.82,15.82,16.84,,,13.71,0.98,33.80,44.63,0.18,4.33
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals & Biotechnology,914.00,8283.99,2115.07,464.37,21.96,21.96,30.40,4.14,,9.93,0.21,14.54,963.01,10.12,3.74
ACE Alpha Tech,544431,,IT - Software,108.52,190.54,14.87,13.79,92.74,92.74,17.89,,,75.42,0.00,82.33,14.59,0.48,0.00
AGI Infra,539042,AGIIL,Realty,1019.00,2489.77,324.87,92.54,28.49,28.49,37.35,8.47,1.08,5.86,0.47,25.66,144.14,12.58,1.59
Aimtron,,AIMTRON,Industrial Manufacturing,780.00,1592.28,158.31,34.09,21.53,21.53,61.86,10.27,,15.95,0.00,24.89,116.18,2.92,0.00
Algoquant Fin,505725,,Finance,1236.95,1931.68,234.70,48.24,20.55,20.55,60.56,19.14,,12.27,0.34,37.55,74.85,0.04,2.60
Allied Blenders,544203,ABDL,Beverages,443.90,12416.35,3519.88,431.08,12.25,12.25,63.82,8.05,0.61,6.29,0.59,19.96,1581.25,20.87,4.74
Alpex Solar,,ALPEXSOLAR,Electrical Equipment,1133.00,2772.83,780.15,125.28,16.06,16.06,33.21,12.81,0.35,24.19,0.36,48.07,180.11,2.86,2.58
Amal,506597,,Chemicals & Petrochemicals,816.05,1008.84,135.32,43.31,32.01,32.01,34.43,10.16,1.26,25.69,0.00,34.65,18.56,0.53,1.70
Apis India,506166,,Food Products,309.10,170.32,350.35,35.60,10.16,10.16,6.72,0.98,0.13,9.17,0.38,15.79,181.06,1.86,0.00
Arkade,544261,ARKADE,Realty,203.60,3780.11,683.10,206.09,30.17,30.17,24.09,4.28,,17.19,0.13,26.00,955.74,11.98,2.77
