Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Sobhagya Mercant,512014,,Commercial Services & Supplies,Diversified Commercial Services,882.90,36.96,741.64,208.45,32.36,15.52,14.25,34.41,8.21,2.79,11.97,0.07,24.43,85.68,0.00,131.84,89.82,2.60,4.28,0.00,0.00,0.21,4.10
South Ind.Bank,532218,SOUTHBANK,Banks,Private Sector Bank,39.82,55.52,10421.08,9513.67,5842.67,61.41,63.45,7.68,0.98,0.04,1.08,11.50,13.78,11002.83,2119.21,0.00,0.00,0.00,6.23,0.82,0.33,15.36,4.39
Stellant Secu.,526071,,Finance,Other Financial Services,368.20,95.74,136.32,43.85,41.64,94.96,89.36,4.37,4.11,0.02,79.38,0.00,81.90,39.88,0.11,1.49,0.00,9.07,40.95,-0.19,0.00,0.00,0.00
Tata Capital,544574,TATACAP,Finance,Non Banking Financial Company (NBFC),330.00,59.00,140080.68,28323.85,20292.20,71.64,71.64,38.07,,1.24,1.72,5.88,12.92,1922.56,46.02,130.76,1624.34,0.00,5.70,,,10.70,1.98
Titan Company,500114,TITAN,Consumer Durables,"Gems, Jewellery And Watches",3933.80,62.01,349237.32,67904.00,6916.00,10.18,9.42,84.58,27.28,5.78,9.24,0.97,31.75,9184.00,462.00,1437.00,2544.00,37657.00,1.84,1.40,-1.43,1.88,0.71
Torrent Pharma.,500420,TORNTPHARM,Pharmaceuticals & Biotechnology,Pharmaceuticals,3816.00,61.46,129144.98,12248.00,3993.00,32.60,32.31,59.61,15.29,2.81,13.26,0.33,26.52,1757.00,-86.00,2185.00,1675.00,2467.00,2.39,0.63,-0.17,0.90,1.71
TVS Motor Co.,532343,TVSMOTOR,Automobiles,2/3 Wheelers,3709.60,63.76,176238.32,48838.15,7449.63,15.25,14.91,67.64,21.72,1.67,5.15,2.08,28.39,2152.36,37.92,2176.76,9122.71,2544.80,3.34,-0.46,0.48,2.68,0.68
Ujjivan Small,542904,UJJIVANSFB,Banks,Other Bank,54.22,54.97,10510.35,6465.58,2517.15,38.93,46.40,25.21,1.69,0.45,1.65,6.77,12.42,2594.80,947.20,0.00,0.00,0.00,6.89,3.31,-2.50,12.17,3.69
Union Bank (I),532477,UNIONBANK,Banks,Public Sector Bank,152.80,52.56,116641.49,109143.51,73474.88,67.32,67.96,6.31,0.93,0.12,1.24,10.38,17.05,112599.00,21257.19,0.00,0.00,0.00,6.95,-0.23,0.16,13.79,4.59
Vedanta,500295,VEDL,Diversified Metals,Diversified Metals,585.65,76.66,229011.88,157262.00,43884.00,27.91,27.68,17.94,5.70,-1.74,9.77,2.12,38.48,-21699.00,956.00,3714.00,11857.00,17237.00,11.74,-0.22,0.48,2.39,1.49
Viceroy Hotels,523796,VHLTD,Leisure Services,Hotels & Resorts,139.59,68.56,943.33,129.25,32.44,25.10,25.68,57.56,3.84,0.51,27.49,0.20,41.68,42.23,3.81,4.24,6.36,0.45,2.35,-0.53,0.00,2.14,3.26
ZF Commercial,533023,ZFCVINDIA,Auto Components,Auto Components & Equipments,15329.00,65.94,29063.78,3824.11,607.85,15.90,16.46,60.96,8.54,1.18,12.69,0.02,15.09,2582.66,156.16,885.74,354.23,257.25,2.30,-0.11,0.06,0.10,3.27
