Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,201.71,1288.50,254.58,39.43,15.49,15.87,60.66,11.67,0.28,8.18,0.58,17.30,75.96,1.71,50.23,33.95,81.11,2.77,0.00,0.01,1.76,1.38
Aaradhya Dis.,,AARADHYA,"Paper, Forest & Jute Products",117.00,165.41,113.69,18.02,15.85,15.85,16.12,,0.14,13.30,1.35,44.46,15.66,2.26,22.84,7.88,22.87,8.69,,,2.23,4.37
Acutaas Chemical,543349,ACUTAAS,Pharmaceuticals & Biotechnology,1406.10,11511.59,1037.44,253.46,24.43,23.05,60.89,8.79,2.02,12.13,0.01,16.00,589.39,31.83,290.49,156.05,179.94,2.28,4.07,0.46,0.05,2.69
Anand Rathi Wea.,543415,ANANDRATHI,Capital Markets,2936.70,24380.67,975.50,429.79,44.06,45.01,76.14,36.17,2.28,32.68,0.12,45.33,342.77,43.99,35.45,0.07,0.00,1.83,1.19,0.05,0.18,2.10
Apis India,506166,,Food Products,456.45,251.51,350.13,35.23,10.06,10.16,11.13,1.45,0.24,9.17,0.38,15.79,121.58,2.47,114.78,33.19,78.65,10.49,0.00,0.00,1.99,0.00
Apollo Hospitals,508869,APOLLOHOSP,Healthcare Services,7682.00,110455.37,22550.50,3198.60,14.18,13.92,70.20,13.45,3.87,7.77,0.96,18.42,1017.70,238.40,3016.10,2240.50,480.80,2.26,-0.95,0.75,2.98,3.75
Apollo Micro Sys,540879,APOLLO,Aerospace & Defense,292.70,9762.49,604.45,147.83,24.46,23.10,143.44,14.74,2.48,5.20,0.49,10.23,419.96,4.56,238.33,279.88,600.59,1.36,1.24,6.23,2.17,2.01
Aprameya Enginee,,APRAMEYA,Healthcare Equipment & Supplies,204.70,389.75,135.71,24.40,17.98,17.98,24.18,6.07,0.83,14.68,0.47,36.78,63.03,0.59,119.12,40.27,7.18,5.95,-4.66,-2.06,1.22,3.99
Ashok Leyland,500477,ASHOKLEY,"Agricultural, Commercial & Construction Vehicles",130.39,76578.76,49546.88,9540.11,19.25,7.10,23.98,6.26,0.08,4.47,4.08,28.82,3021.86,445.22,3346.87,8019.48,3986.08,7.42,-0.45,0.52,5.65,3.02
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,176.60,185.62,97.52,15.12,15.50,15.50,34.70,,0.20,6.61,3.54,44.66,6.36,0.19,25.43,23.00,24.84,4.71,,,3.95,4.54
Authum Invest,539177,AIIL,Finance,3179.70,54005.65,4361.23,3991.81,91.53,89.63,13.18,3.69,0.15,31.27,0.04,34.12,-62.92,44.57,16.31,0.00,0.00,7.43,0.06,0.53,0.13,2.34
