Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
360 ONE,542772.0,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,1198.0,62.82,48745.32,4621.1,2858.24,61.85,62.98,38.65,4.96,1.7,5.18,1.62,14.39,2024.11,149.24,503.56,250.63,0.0,4.48,5.95,-4.78,5.61,1.0,3.09
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,605.05,75.89,1451.46,349.03,56.69,16.24,16.24,33.08,5.29,0.62,15.95,0.0,18.65,111.4,6.77,91.3,19.71,32.41,4.15,-0.05,0.33,0.01,0.17,0.64
ACME Solar Hold.,544283.0,ACMESOLAR,INE622W01025,Power,Power Generation,401.6,65.38,28388.07,2369.9,2057.79,86.83,88.04,47.7,4.82,0.32,2.12,3.93,10.38,3765.58,525.56,332.95,15.27,17.37,4.9,12.05,0.79,9.71,0.05,2.26
Action Const.Eq.,532762.0,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,1184.0,63.51,14099.46,3414.04,529.01,15.5,15.36,32.32,7.04,0.84,13.93,0.0,22.9,406.24,113.53,284.3,916.5,605.4,4.39,0.75,-1.76,0.01,0.17,1.0
Aditya Birla Cap,540691.0,ABCAPITAL,INE674K01013,Finance,Investment Company,412.0,53.9,112766.29,48185.84,17802.62,36.95,36.69,28.06,3.12,-4.23,1.27,5.22,12.04,-106247.85,405.45,843.34,1842.17,0.0,6.26,-0.35,0.93,10.0,0.0,4.34
Aeroflex,543972.0,AEROFLEX,INE024001021,Industrial Products,Iron & Steel Products,503.0,60.02,6656.26,502.98,117.74,23.41,22.7,99.14,14.89,5.05,11.2,0.02,14.07,212.0,1.63,129.82,80.71,83.72,1.47,-2.32,2.12,0.1,0.08,3.62
Afcom Holdings,544224.0,,INE0OXY01013,Transport Services,Logistics Solution Provider,1544.0,62.69,4433.36,640.4,247.18,38.6,40.05,30.22,6.43,0.28,20.15,0.54,36.01,373.34,7.12,131.25,14.18,29.43,4.39,7.11,0.63,1.83,0.0,2.71
Airfloa Rail,544516.0,,INE0XBS01012,Industrial Manufacturing,Industrial Products,425.25,74.88,1019.3,319.6,64.26,20.11,20.11,25.97,4.32,0.13,11.92,0.29,22.68,176.37,0.47,214.02,60.92,72.4,6.19,-0.25,-2.68,1.12,0.0,1.55
Ajanta Pharma,532331.0,AJANTPHARM,INE031B01049,Pharmaceuticals & Biotechnology,Pharmaceuticals,3652.55,64.39,45641.98,5776.17,1467.06,25.4,27.5,40.26,10.08,1.69,20.63,0.06,27.14,1759.83,216.64,1853.88,544.3,938.54,3.29,3.44,-0.58,0.17,0.87,3.8
Akiko,,AKIKO,INE0PMR01017,Finance,Other Financial Services,392.25,70.68,422.44,211.32,31.05,14.69,14.51,21.85,7.03,,20.25,0.25,29.43,55.96,0.64,63.24,13.92,0.0,7.1,1.18,0.04,0.5,0.0,0.63
Amanta Healthcar,544502.0,AMANTA,INE084K01015,Pharmaceuticals & Biotechnology,Pharmaceuticals,195.35,68.26,758.53,291.17,59.51,20.44,20.81,49.44,3.44,0.43,3.5,1.11,10.39,97.47,0.42,43.02,35.89,82.71,5.0,0.04,-0.42,5.58,0.0,0.25
Ameenji Rubber,544555.0,,INE14QA01016,Industrial Products,Rubber,214.9,86.86,242.4,123.25,19.28,15.64,15.64,38.23,4.43,,5.12,0.55,16.5,20.32,0.69,22.63,30.71,51.25,5.85,-3.6,-2.37,2.01,0.0,0.0
Anand Rathi Wea.,543415.0,ANANDRATHI,INE463V01026,Capital Markets,Financial Products Distributor,2192.5,63.98,36404.53,1155.7,454.72,39.35,47.37,78.7,35.5,2.42,34.03,0.08,45.3,627.41,200.14,41.39,0.13,0.0,1.74,1.3,0.59,0.13,0.3,1.68
Anawil Wire,,ANAWIL,INE1J5V01013,Electrical Equipment,Heavy Electrical Equipment,465.15,,1162.86,143.23,61.45,42.9,42.9,31.73,,0.34,18.06,1.43,56.59,41.48,0.31,38.95,46.67,50.69,4.09,,,2.54,0.0,0.0
Anthem Bioscienc,544449.0,ANTHEM,INE0CZ201020,Pharmaceuticals & Biotechnology,Biotechnology,873.0,63.75,49168.96,2002.34,792.89,39.6,39.26,82.85,16.02,3.98,19.48,0.02,22.28,811.85,133.47,590.59,75.21,124.52,1.66,1.93,1.29,0.07,0.23,3.43
Apsis Aerocom,,APSISAERO,INE1OOJ01011,Aerospace & Defense,Aerospace & Defense,540.85,85.76,651.82,30.65,11.46,37.39,37.39,86.79,13.33,0.92,18.37,0.09,25.26,34.63,0.11,4.03,4.75,4.14,1.74,,,0.4,0.0,0.0
Archit Organosys,524640.0,,INE078I01011,Chemicals & Petrochemicals,Commodity Chemicals,62.9,66.55,129.05,144.84,15.64,10.8,11.65,17.33,1.72,-2.67,6.43,0.33,11.04,17.7,2.49,24.55,17.49,2.95,7.86,0.0,0.0,2.08,0.79,3.63
Arham Tech,,ARHAM,INE0L2Y01011,Consumer Durables,Consumer Electronics,197.2,70.2,430.15,118.57,19.03,16.05,16.05,35.25,4.36,,10.46,0.26,18.8,61.8,0.03,57.59,34.59,36.0,4.06,0.0,0.2,1.42,0.0,1.89
Aries Agro,532935.0,ARIES,INE298I01015,Fertilizers & Agrochemicals,Fertilizers,445.0,77.95,578.69,779.21,94.16,12.08,11.8,12.13,1.72,0.34,6.94,0.17,13.74,170.74,0.0,92.3,69.16,143.89,14.04,0.02,-0.12,0.67,0.35,3.24
Artemis Medicare,542919.0,ARTEMISMED,INE025R01021,Healthcare Services,Hospital,325.55,67.86,5153.72,1092.7,199.72,18.28,17.46,44.7,5.5,1.13,7.64,0.28,11.88,151.43,25.28,111.45,95.61,13.01,3.5,-0.49,0.09,1.45,0.14,2.21
Arvind SmartSp.,539301.0,ARVSMART,INE034S01021,Realty,"Residential, Commercial Projects",668.8,61.12,3069.58,779.92,286.85,36.78,26.98,16.67,4.73,0.32,3.03,0.9,14.16,333.97,20.23,15.46,201.89,2222.16,8.67,0.39,0.02,1.96,0.35,3.6
