Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
India Glycols,500201,INDIAGLYCO,Beverages,2035.50,6302.21,3768.26,510.94,13.56,13.56,27.29,2.79,2.25,3.92,0.84,10.72,279.64,60.95,4.85
INDIA SHELTE FIN,544044,INDIASHLTR,Finance,942.90,10177.14,1164.51,845.18,72.58,72.58,26.98,3.76,0.52,5.57,1.84,15.07,453.51,10.15,2.68
Indogulf Cropsci,544432,IGCL,Fertilizers & Agrochemicals,107.48,679.53,552.73,59.53,10.77,10.77,21.63,,,5.96,0.67,14.41,311.60,-1.65,4.88
Indosolar,533257,WAAREEINDO,Electrical Equipment,256.03,1065.18,323.91,95.05,29.34,29.34,19.44,26.36,0.36,28.03,1.24,420.74,-14.88,0.84,0.00
Karur Vysya Bank,590003,KARURVYSYA,Banks,270.00,21740.09,9678.04,6179.30,63.85,63.85,11.20,1.82,0.22,1.73,8.66,17.68,0.00,1829.55,2.72
Kilburn Engg.,522101,,Industrial Manufacturing,489.90,2372.97,424.46,101.00,23.79,23.79,38.03,4.92,,10.26,0.19,17.17,252.79,3.16,4.15
Kilitch Drugs,524500,KILITCH,Pharmaceuticals & Biotechnology,477.06,784.01,198.32,31.46,15.86,15.86,31.44,4.13,0.20,9.02,0.24,13.17,111.26,11.16,2.51
Kovai Medical,523323,KOVAI,Healthcare Services,6196.85,6779.35,1371.12,385.72,28.13,28.13,32.44,6.24,1.90,12.90,0.38,21.16,97.12,22.10,4.88
Kwality Pharma,539997,,Pharmaceuticals & Biotechnology,1175.95,1220.19,370.20,80.39,21.72,21.72,30.65,4.62,0.82,9.46,0.43,16.31,211.60,1.92,4.78
Laxmi Goldorna,,LGHL,Consumer Durables,828.00,1728.19,87.82,22.45,25.56,25.56,164.43,26.58,,7.28,1.57,19.03,146.35,0.27,2.13
Laxmipati Engg,537669,,Industrial Manufacturing,444.65,255.67,50.07,10.07,20.11,20.11,39.33,29.84,1.27,12.29,5.26,122.18,19.32,0.05,0.00
Lumax Auto Tech.,532796,LUMAXTECH,Auto Components,1148.80,7829.96,3636.67,464.76,12.78,12.78,44.05,8.38,1.75,7.85,0.97,20.62,626.58,51.03,4.98
M.V.K. Agro,,MVKAGRO,Agricultural Food & other Products,187.85,290.98,149.73,18.00,12.02,12.02,31.19,3.24,,3.37,1.18,10.95,102.19,6.07,0.00
Manorama Indust.,541974,MANORAMA,Food Products,1525.50,9094.12,770.84,191.05,24.78,24.78,81.16,19.68,2.17,13.02,1.04,28.05,756.72,18.56,2.83
Marathon Nextgen,503101,MARATHON,Realty,740.05,4989.46,580.14,173.05,29.83,29.83,26.75,3.19,0.53,8.79,0.47,17.09,767.03,96.27,0.66
MAS FINANC SER,540749,MASFIN,Finance,307.30,5576.06,1595.97,1185.23,74.26,74.26,17.96,2.14,1.40,2.89,3.51,14.14,927.58,4.18,3.64
Meta Infotech,544441,,IT - Services,248.05,468.35,218.82,25.11,11.48,11.48,29.47,,0.46,23.82,0.39,42.60,25.76,-1.11,0.00
Moving Media,,MMEL,Commercial Services & Supplies,76.00,142.93,37.06,28.63,77.25,77.25,13.74,,,16.34,1.05,40.74,23.38,0.00,2.88
Navin Fluo.Intl.,532504,NAVINFLUOR,Chemicals & Petrochemicals,4979.00,24693.73,2349.38,533.72,22.72,22.72,85.57,9.40,-12.98,6.27,0.56,11.52,602.14,43.73,3.03
Neetu Yoshi,544434,,Industrial Products,146.85,569.96,47.33,17.12,36.17,36.17,45.34,,,47.35,0.88,99.33,13.60,0.12,0.58
NESCO,505355,NESCO,Commercial Services & Supplies,1200.30,8457.31,732.01,437.76,59.80,59.80,21.70,3.22,2.02,13.76,0.00,15.82,-27.57,113.66,2.41
OCCL,544278,OCCLLTD,Chemicals & Petrochemicals,136.56,682.12,306.73,53.01,17.28,17.28,31.77,1.72,,8.03,0.16,10.84,93.99,2.00,2.32
OSEL Devices,,OSELDEVICE,Healthcare Equipment & Supplies,355.25,572.99,186.47,33.40,17.91,17.91,28.58,5.31,,13.53,0.46,30.08,140.09,0.13,3.46
Osiajee Texfab,540198,,Textiles & Apparels,280.25,151.34,7.09,5.01,70.66,70.66,30.27,10.11,,28.96,0.13,40.11,5.00,0.03,2.69
Pradeep Metals,513532,,Auto Components,352.25,608.34,311.86,47.14,15.12,15.12,22.39,4.43,1.02,10.71,0.52,21.64,103.53,5.20,1.47
Pramara Promotio,,PRAMARA,Media,201.75,182.28,86.42,12.49,14.45,14.45,30.89,2.93,1.09,6.65,0.55,12.39,87.73,1.17,1.10
