Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adani Energy Sol,539254,ADANIENSOL,Power,Power Distribution,999.60,120080.21,25619.95,7466.81,29.14,29.73,53.24,5.14,2.11,3.37,1.95,13.64,4156.33,769.47,6160.26,4390.34,710.62,3.94,3.08,-2.79,7.19,4.80
Adani Ports,532921,ADANIPORTS,Transport Infrastructure,Port & Port services,1504.00,324884.90,34745.59,20643.43,59.41,59.53,27.07,4.84,0.99,8.59,0.85,18.76,2609.64,1962.41,5576.58,2745.72,541.02,4.80,-0.12,0.08,3.19,2.91
Aditya Birla Cap,540691,ABCAPITAL,Finance,Investment Company,354.45,92715.94,41693.04,15151.78,36.34,35.13,28.42,2.88,1.16,1.32,4.86,11.49,-60389.17,530.84,389.61,1641.74,0.00,6.34,0.76,-0.37,10.16,3.93
Alkem Lab,539523,ALKEM,Pharmaceuticals & Biotechnology,Pharmaceuticals,5626.00,67267.27,13890.16,2810.50,20.23,19.38,28.62,5.04,3.08,13.30,0.18,19.39,7248.04,492.06,3091.52,1886.69,3007.36,4.28,0.13,0.36,0.81,4.12
Apis India,506166,,Food Products,Other Food Products,50.80,699.78,365.95,37.48,10.24,10.21,30.44,4.53,0.62,8.45,0.30,15.80,129.53,2.69,114.04,25.07,64.19,4.73,0.00,0.00,1.32,0.00
Aptus Pharma,544529,,Pharmaceuticals & Biotechnology,Pharmaceuticals,165.00,113.19,24.56,4.85,19.75,19.75,31.97,5.22,,19.41,0.37,70.94,21.69,0.08,10.07,5.93,10.35,4.35,,,1.74,1.99
Ashok Leyland,500477,ASHOKLEY,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,160.33,94175.51,50976.16,9941.54,19.50,18.97,28.17,7.48,0.10,4.47,4.33,28.82,8877.88,303.53,3406.86,6746.75,4611.09,6.44,-0.29,0.47,5.90,2.53
AU Small Finance,540611,AUBANK,Banks,Other Bank,973.00,72650.03,17273.80,8933.99,51.72,53.37,33.42,4.00,1.45,1.58,7.87,14.19,5735.08,2902.27,0.00,0.00,0.00,5.64,3.05,-3.18,12.07,3.44
Avishkar Infra,508929,,Realty,"Residential, Commercial Projects",686.00,1536.87,2.40,1.85,77.08,77.08,477.29,114.44,,9.77,1.48,148.05,30.24,2.20,2.11,3.61,38.98,0.20,0.00,0.00,6.50,3.91
Axis Bank,532215,AXISBANK,Banks,Private Sector Bank,1272.70,395076.96,129272.60,77132.26,59.67,63.58,15.20,1.99,0.59,1.78,7.28,16.30,81517.79,29815.46,0.00,0.00,0.00,6.03,1.65,-1.92,13.49,2.40
Axis Solution,511144,,IT - Software,Computers - Software & Consulting,78.40,370.52,211.79,26.18,12.36,18.43,15.89,3.02,0.03,21.00,0.40,39.84,80.42,1.91,72.82,29.40,60.94,6.43,0.00,0.00,1.83,0.00
Bajaj Auto,532977,BAJAJ-AUTO,Automobiles,2/3 Wheelers,9053.50,252825.88,54683.29,10730.21,19.62,18.74,30.35,7.40,2.92,15.63,0.58,22.77,-1347.55,1824.54,3099.19,7666.69,2145.55,4.47,0.77,-0.64,1.63,4.60
Bharat Forge,500493,BHARATFORG,Auto Components,Auto Components & Equipments,1407.40,67286.19,15268.83,2695.80,17.66,17.80,62.25,7.19,78.80,4.72,0.71,11.58,938.31,198.40,3092.39,2763.49,4010.72,2.72,0.85,-0.75,3.35,3.65
BharatRohan Air.,544535,,Agricultural Food & other Products,Other Agricultural Products,158.35,315.48,46.97,11.16,23.76,28.40,29.18,3.85,0.19,30.04,0.05,36.10,79.03,0.05,23.47,1.88,13.71,3.74,,,0.36,3.45
Can Fin Homes,511196,CANFINHOME,Finance,Housing Finance Company,905.10,12051.78,4054.47,3728.00,91.95,92.25,13.08,2.21,0.59,2.20,6.61,18.22,213.97,1.18,0.75,3.26,0.00,7.76,-0.65,0.42,9.72,2.94
Canara Bank,532483,CANBK,Banks,Public Sector Bank,146.80,133157.16,125841.25,76573.02,60.85,62.10,6.96,1.16,0.17,1.08,14.05,17.75,149779.90,33467.06,0.00,0.00,0.00,6.65,0.82,0.51,14.47,4.81
Cholaman.Inv.&Fn,511243,CHOLAFIN,Finance,Non Banking Financial Company (NBFC),1719.40,145076.94,28536.73,19741.86,69.18,70.32,31.23,5.58,1.22,2.38,7.23,19.71,9140.07,406.94,211.86,128.16,0.00,6.17,1.22,-1.11,9.44,3.51
Cummins India,500480,CUMMINSIND,Industrial Products,"Compressors, Pumps & Diesel Engines",4531.90,125624.27,11643.62,2441.09,20.97,20.02,54.51,15.91,1.56,20.85,0.00,28.15,5023.17,777.90,2565.36,1524.44,1162.01,2.43,-0.80,0.85,0.01,1.23
Cupid,530843,CUPID,Personal Products,Personal Care,394.40,10588.34,266.82,89.44,33.52,23.22,171.53,27.77,4.76,11.99,0.07,12.89,301.97,0.00,89.65,15.97,42.64,0.81,0.24,1.63,0.32,0.15
E Factor Experie,,EFACTOR,Other Consumer Services,Other Consumer Services,335.00,438.45,206.01,33.90,16.46,15.70,17.55,5.76,0.18,15.61,0.28,31.98,65.55,2.13,93.53,25.77,0.00,7.78,-0.31,0.08,0.61,3.74
Eicher Motors,505200,EICHERMOT,Automobiles,2/3 Wheelers,7256.00,199031.53,21427.66,5173.56,24.14,25.03,38.97,9.01,0.94,18.85,0.02,24.10,2964.72,2169.67,411.39,2813.84,1834.71,3.30,-1.05,1.16,0.07,0.99
Esab India,500133,ESABINDIA,Industrial Products,Other Industrial Products,6361.50,9792.27,1438.78,252.37,17.54,17.83,53.30,23.50,1.92,29.15,0.01,52.34,268.01,39.44,259.44,169.09,126.29,2.51,-0.05,-0.03,0.01,0.99
Exato Technologies,544626,,IT - Services,IT Enabled Services,339.40,341.62,124.23,14.21,11.44,11.44,35.00,,,13.04,0.75,28.16,30.41,1.93,33.70,13.51,3.75,4.56,,,2.04,0.00
Federal Bank,500469,FEDERALBNK,Banks,Private Sector Bank,260.90,64227.27,28739.84,19099.94,66.46,69.68,16.28,1.77,0.57,1.25,8.71,12.86,26370.05,4248.26,0.00,0.00,0.00,6.40,1.54,-1.32,13.53,0.87
Fiem Industries,532768,FIEMIND,Auto Components,Auto Components & Equipments,2272.70,5981.67,2606.80,351.42,13.48,13.30,26.68,5.54,0.92,15.29,0.06,20.99,546.09,24.32,330.82,284.54,248.38,5.24,1.54,2.51,0.20,4.43
Game Changers,544594,,Textiles & Apparels,Other Textile Products,146.70,262.49,117.69,23.40,19.88,16.18,17.27,,0.05,26.05,0.47,80.63,25.95,0.09,34.32,7.91,14.80,8.01,,,0.62,1.21
Guj Pipavav Port,533248,GPPL,Transport Infrastructure,Port & Port services,189.28,9150.55,1064.46,621.46,58.38,58.50,21.29,4.21,0.80,14.85,0.02,18.96,811.43,125.38,79.87,63.56,9.46,7.09,-0.52,0.34,0.09,4.79
Happy Forgings,544057,HAPPYFORGE,Industrial Products,Castings & Forgings,1071.40,10106.29,1437.48,420.69,29.27,28.88,37.23,5.16,1.59,13.05,0.10,15.46,647.93,33.36,379.72,42.32,225.08,3.65,0.04,-0.14,0.52,2.90
HDFC Bank,500180,HDFCBANK,Banks,Private Sector Bank,1000.30,1538712.54,346185.22,147511.76,42.61,44.41,21.26,2.85,0.93,1.74,6.30,14.45,185784.94,137893.08,0.00,0.00,0.00,5.94,0.30,-0.46,11.90,1.98
Hindalco Inds.,500440,HINDALCO,Non - Ferrous Metals,Aluminium,824.35,185250.12,253570.00,33291.00,13.13,13.34,10.34,1.37,1.62,6.51,0.56,14.02,37401.00,2311.00,20649.00,46404.00,60379.00,11.11,-0.82,0.53,2.72,4.59
Hindustan Zinc,500188,HINDZINC,Non - Ferrous Metals,Zinc,522.65,220836.30,33845.00,17483.00,51.66,51.04,21.11,16.22,8.25,30.23,0.82,72.42,-1822.00,970.00,188.00,2244.00,2242.00,6.36,0.11,-0.04,0.76,4.44
Indian Metals,533047,IMFA,Ferrous Metals,Ferro & Silica Manganese,1351.20,7290.28,2570.56,462.50,17.99,20.69,22.06,2.90,-2.49,12.46,0.17,17.01,1162.71,72.04,130.43,220.00,636.58,6.20,0.02,0.29,0.91,4.51
Indus Towers,534816,INDUSTOWER,Telecom - Services,Telecom - Infrastructure,410.35,108257.01,31520.30,20315.50,64.45,68.55,11.57,3.00,0.71,16.26,0.58,32.50,4427.10,343.50,4851.50,2546.20,20.20,10.88,0.08,-1.30,1.51,4.57
Jamna Auto Inds.,520051,JAMNAAUTO,Auto Components,Auto Components & Equipments,125.53,5008.39,2304.40,305.83,13.27,13.45,27.88,4.84,3.07,12.70,0.01,19.25,135.32,7.72,29.96,8.22,316.00,5.33,0.76,0.33,0.05,1.16
Kesar India,543542,,Realty,"Residential, Commercial Projects",920.00,2281.57,59.98,7.74,12.90,30.40,591.08,19.03,8.46,18.33,0.24,46.19,120.84,0.96,0.81,40.39,98.03,0.32,0.00,0.52,4.03,0.54
Knowledge Marine,543273,KMEW,Engineering Services,Dredging,3178.40,3884.66,203.73,81.27,39.89,38.98,78.78,14.32,2.28,15.07,0.61,25.77,51.91,5.41,76.79,17.39,0.40,1.84,-0.01,10.40,1.98,4.78
