Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,187.42,1197.22,208.17,33.03,15.87,15.87,72.12,10.85,0.33,8.18,0.58,17.30,75.96,1.11,50.23,33.95,81.11,2.39,0.00,0.01,2.19,0.84
Aaron Industries,,AARON,Industrial Manufacturing,466.80,488.89,77.93,14.84,19.04,19.04,59.19,11.36,1.94,10.49,0.74,20.95,5.48,0.19,5.22,3.04,15.99,2.56,-0.09,0.00,2.40,2.34
Acutaas Chemical,543349,ACUTAAS,Pharmaceuticals & Biotechnology,1315.60,10770.68,1037.44,253.46,24.43,23.05,57.06,8.23,1.89,12.13,0.01,16.00,589.39,31.83,290.49,156.05,179.94,2.44,4.07,0.46,0.05,4.60
Aditya Birla Cap,540691,ABCAPITAL,Finance,277.15,72364.44,41420.09,14867.97,35.90,35.13,21.26,2.38,0.83,1.32,4.61,11.49,-95387.25,563.65,688.25,1318.24,0.00,7.35,2.27,-1.36,9.23,2.45
AGI Infra,539042,AGIIL,Realty,1071.60,2618.29,324.87,92.54,28.49,28.49,39.27,8.88,1.76,5.86,0.47,25.66,104.27,12.58,2.16,16.53,818.43,3.18,0.01,-0.44,1.58,2.05
Algoquant Fin,505725,,Finance,1277.10,1994.38,234.70,48.24,20.55,20.55,62.54,19.76,,12.27,0.34,37.55,74.85,0.04,1.72,0.00,0.00,2.28,0.00,0.00,0.78,1.59
Apis India,506166,,Food Products,375.60,206.96,350.35,35.60,10.16,10.16,8.17,1.20,0.17,9.17,0.38,15.79,121.58,1.86,114.78,33.19,78.65,12.27,0.00,0.00,1.98,0.00
Arihant Academy,,ARIHANTACA,Other Consumer Services,345.00,208.90,40.56,5.59,13.78,13.78,46.94,8.34,1.55,11.28,0.00,19.24,0.04,2.02,0.77,0.32,0.00,2.86,0.00,0.00,0.00,1.43
Aryaman Capital,538716,,Finance,348.15,416.98,74.59,27.89,37.39,37.39,18.18,5.39,0.06,22.15,0.36,38.69,62.22,2.75,0.22,1.27,15.74,7.73,0.00,0.00,0.92,0.24
Aryaman Fin.Serv,530245,,Finance,792.00,969.96,112.87,52.67,46.66,46.66,30.73,7.53,0.34,23.47,0.22,31.30,116.80,5.23,0.43,1.35,15.74,6.43,0.00,0.00,0.49,0.38
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,176.50,185.52,97.52,15.12,15.50,15.50,34.68,,0.20,6.61,3.54,44.66,6.36,0.19,25.43,23.00,24.84,4.72,,,3.95,4.59
Authum Invest,539177,AIIL,Finance,2900.10,49256.78,4361.23,3991.81,91.53,89.63,12.02,3.37,0.14,31.27,0.04,34.12,-62.92,44.57,16.31,0.00,0.00,8.14,0.06,0.53,0.13,0.17
Avishkar Infra,508929,,Realty,198.05,443.70,2.40,1.87,77.92,77.92,131.27,30.75,1.43,21.07,0.15,150.22,13.49,2.20,2.47,0.04,5.08,0.69,0.00,0.00,0.69,0.00
B. D. Industries,544468,,Industrial Products,108.15,153.68,82.38,14.26,17.31,17.31,20.19,,0.14,15.09,1.05,43.89,18.09,1.75,21.81,17.77,29.64,8.10,,,1.57,0.78
Bisil Plast,531671,,Industrial Products,1.91,103.20,0.93,0.26,27.96,27.96,688.00,87.46,7.19,5.68,0.00,13.45,0.95,0.00,0.72,0.12,0.00,0.22,0.00,0.00,0.00,1.55
CSB Bank,542867,CSBBANK,Banks,435.20,7550.10,3597.14,2024.83,56.29,56.29,12.71,1.68,1.41,1.42,9.43,14.31,3313.52,972.05,0.00,95.25,0.00,6.23,-2.26,2.30,14.52,2.33
Cupid,530843,CUPID,Personal Products,167.25,4490.11,203.18,61.43,30.23,30.23,109.70,13.12,3.10,11.83,0.06,12.72,260.49,0.00,67.03,1.25,41.67,1.28,0.00,-0.68,0.33,1.44
Datamatics Glob.,532528,DATAMATICS,IT - Services,1050.40,6215.94,1796.93,253.79,14.12,13.30,34.01,4.56,4.53,10.21,0.14,13.82,601.14,79.63,301.82,138.44,0.00,3.88,-0.08,-0.12,0.79,0.91
Dharni Capital,543753,,Capital Markets,55.10,112.24,6.52,2.60,39.88,39.88,29.15,5.30,,17.92,0.10,20.02,3.12,2.61,0.26,0.00,0.00,4.43,0.00,0.00,0.41,4.34
Eicher Motors,505200,EICHERMOT,Automobiles,5668.00,155460.76,19519.14,4749.38,24.33,25.03,32.13,7.30,0.78,18.85,0.02,24.10,1840.83,2151.37,549.64,2529.75,1563.75,3.95,-0.88,0.80,0.07,4.06
Foce India,,FOCE,Consumer Durables,1980.00,968.80,104.25,18.35,17.60,17.60,67.28,12.29,4.12,11.08,0.38,20.11,6.11,0.39,57.66,17.89,3.14,1.85,0.00,0.00,1.63,0.00
Fortis Health.,532843,FORTIS,Healthcare Services,858.15,64786.73,8090.57,1736.09,21.46,20.40,70.41,7.27,2.29,6.67,0.28,10.13,-135.95,6.27,784.49,807.61,115.29,2.13,0.33,-0.22,1.74,1.36
Fredun Pharma,539730,,Pharmaceuticals & Biotechnology,1118.95,528.33,497.31,61.60,12.39,12.08,22.54,3.74,0.46,5.24,1.18,15.83,100.21,0.00,177.12,144.76,239.89,8.23,0.00,0.00,2.93,2.10
Gallantt Ispat L,532726,GALLANTT,Industrial Products,784.10,18918.84,4260.82,726.69,17.06,16.18,41.79,6.66,1.32,11.99,0.13,15.14,966.32,21.28,90.18,91.15,436.26,3.29,0.00,0.01,0.60,2.26
Ganesh Infra.,,GANESHIN,Construction,224.90,960.80,583.52,60.09,10.30,9.73,21.53,5.35,,21.63,0.21,36.18,121.61,3.81,116.92,40.82,39.93,6.27,-0.72,0.22,0.61,0.49
GE Vernova T&D,522275,GVT&D,Electrical Equipment,2799.50,71681.20,4664.09,1024.09,21.96,19.07,93.70,40.43,1.16,14.76,0.02,40.34,882.74,67.09,1468.92,1025.89,703.52,1.47,-1.43,1.45,0.03,3.96
GHV Infra,505504,,Construction,1643.95,2369.75,184.88,24.93,13.48,13.48,138.18,55.65,0.40,15.49,0.73,82.12,15.11,0.00,133.56,128.97,13.24,1.04,0.00,0.00,1.24,0.00
Global Health,543654,MEDANTA,Healthcare Services,1338.50,35960.19,3692.32,877.07,23.75,23.75,69.36,10.62,1.81,11.46,0.21,16.48,914.30,29.20,291.86,194.81,67.14,2.14,0.27,-0.22,0.94,3.93
Godfrey Phillips,500163,GODFRYPHLP,Cigarettes & Tobacco Products,10854.50,56436.80,6032.39,1239.61,20.55,20.98,46.43,10.76,1.02,18.00,0.03,24.32,1570.53,459.44,516.35,499.62,1997.08,2.80,0.56,-0.40,0.11,0.19
Grand Continent,,GCHOTELS,Leisure Services,172.10,428.86,72.62,19.18,26.41,26.41,40.31,4.02,0.27,10.02,0.10,15.56,38.83,0.62,5.29,3.88,1.13,4.50,,,0.61,1.94
HDFC AMC,541729,HDFCAMC,Capital Markets,5681.00,121538.55,3690.55,2972.78,80.55,82.62,46.66,14.93,2.23,30.18,0.00,32.35,-141.31,619.81,133.18,39.56,0.00,2.90,-1.35,1.46,0.00,0.77
HDFC Bank,500180,HDFCBANK,Banks,1985.30,1523346.54,342193.10,136606.41,39.92,44.41,21.58,2.91,0.94,1.74,6.41,14.45,270754.86,144781.31,0.00,13653.91,0.00,5.94,0.09,0.54,11.89,2.57
Hyundai Motor I,544274,HYUNDAI,Automobiles,2167.30,176102.03,66704.55,8586.57,12.87,12.93,32.73,11.17,1.35,19.96,0.05,42.16,4256.14,849.54,2241.40,6972.62,3404.36,4.36,0.75,-0.09,0.12,4.33
ICICI Bank,532174,ICICIBANK,Banks,1443.60,1030494.67,190829.78,55519.60,29.09,28.78,19.48,3.30,0.73,2.18,5.97,17.97,0.00,111063.13,0.00,0.00,0.00,6.01,-0.86,0.94,11.17,3.76
Iconik Sports,511260,,Finance,62.80,212.53,12.71,1.80,14.16,28.17,196.79,3.34,1.10,9.49,0.12,15.02,6.37,0.17,11.40,0.00,0.00,0.91,-0.05,5.35,2.35,0.00
