Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,210.22,1342.86,254.58,39.43,15.49,15.87,63.22,12.17,0.29,8.18,0.58,17.30,75.96,1.71,50.23,33.95,81.11,2.66,0.00,0.01,1.76,0.74
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance,515.40,22268.34,3242.67,2471.69,76.22,76.30,23.47,3.49,0.87,4.31,2.56,16.86,1607.27,4.43,25.28,125.93,0.00,6.65,-0.15,0.26,6.66,4.20
Acutaas Chemical,543349,ACUTAAS,Pharmaceuticals & Biotechnology,1412.20,11561.53,1037.44,253.46,24.43,23.05,61.16,8.83,2.03,12.13,0.01,16.00,589.39,31.83,290.49,156.05,179.94,2.27,4.07,0.46,0.05,2.27
Aditya Birla Cap,540691,ABCAPITAL,Finance,279.25,72943.70,41420.09,14867.97,35.90,35.13,21.43,2.40,0.88,1.32,4.61,11.49,-95387.25,563.65,688.25,1318.24,0.00,7.33,2.27,-1.36,9.23,4.50
Anand Rathi Wea.,543415,ANANDRATHI,Capital Markets,2926.90,24299.31,975.50,429.79,44.06,45.01,75.89,36.05,2.27,32.68,0.12,45.33,342.77,43.99,35.45,0.07,0.00,1.83,1.19,0.05,0.18,2.43
ANB Metal,,AMCL,Industrial Products,231.75,274.27,162.57,17.52,10.78,10.78,26.76,,0.14,12.68,1.01,45.92,27.16,0.07,35.97,23.81,32.63,5.67,,,2.05,0.94
Anlon Healthcare,544497,AHCL,Pharmaceuticals & Biotechnology,91.73,487.56,120.29,32.55,27.06,27.06,23.76,,0.05,13.27,0.83,40.45,97.52,0.16,75.00,19.64,50.26,5.60,,,2.15,0.83
Anthem Bioscienc,544449,ANTHEM,Pharmaceuticals & Biotechnology,823.65,46257.01,1844.55,671.50,36.40,36.40,102.45,,28.22,17.35,0.05,20.83,994.34,85.27,450.40,110.08,340.43,1.45,,,0.17,4.78
Apis India,506166,,Food Products,456.45,251.51,350.13,35.23,10.06,10.16,11.13,1.45,0.24,9.17,0.38,15.79,121.58,2.47,114.78,33.19,78.65,10.49,0.00,0.00,1.99,0.00
Apollo Hospitals,508869,APOLLOHOSP,Healthcare Services,7736.00,111231.81,22550.50,3198.60,14.18,13.92,70.69,13.54,3.89,7.77,0.96,18.42,1017.70,238.40,3016.10,2240.50,480.80,2.24,-0.95,0.75,2.98,3.07
Apollo Micro Sys,540879,APOLLO,Aerospace & Defense,303.60,10126.05,604.45,147.83,24.46,23.10,148.78,15.29,2.57,5.20,0.49,10.23,419.96,4.56,238.33,279.88,600.59,1.31,1.24,6.23,2.17,0.98
Aprameya Enginee,,APRAMEYA,Healthcare Equipment & Supplies,209.80,399.46,135.71,24.40,17.98,17.98,24.78,6.22,0.85,14.68,0.47,36.78,63.03,0.59,119.12,40.27,7.18,5.81,-4.66,-2.06,1.22,1.59
Ashok Leyland,500477,ASHOKLEY,"Agricultural, Commercial & Construction Vehicles",130.23,76484.79,49546.88,9540.11,19.25,7.10,23.95,6.25,0.08,4.47,4.08,28.82,3021.86,445.22,3346.87,8019.48,3986.08,7.43,-0.45,0.52,5.65,3.14
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,176.20,185.20,97.52,15.12,15.50,15.50,34.62,,0.19,6.61,3.54,44.66,6.36,0.19,25.43,23.00,24.84,4.72,,,3.95,4.76
Authum Invest,539177,AIIL,Finance,3167.30,53795.04,4361.23,3991.81,91.53,89.63,13.13,3.68,0.15,31.27,0.04,34.12,-62.92,44.57,16.31,0.00,0.00,7.45,0.06,0.53,0.13,2.72
Axis Solution,511144,,IT - Software,25.59,120.94,205.91,27.39,13.30,17.61,4.80,1.03,,20.20,0.33,38.25,76.17,1.90,94.52,23.06,37.76,18.20,1.74,0.00,1.36,0.00
Balaji Phos.,,BALAJIPHOS,Fertilizers & Agrochemicals,179.65,427.16,126.52,13.26,10.48,10.48,53.93,5.34,1.53,7.44,0.39,13.77,61.94,2.05,44.69,7.17,39.75,3.14,,,2.18,2.73
Bosch,500530,BOSCHLTD,Auto Components,41100.00,121218.86,18559.20,2429.30,13.09,12.77,54.67,8.77,2.98,10.70,0.01,15.55,4385.10,1480.40,2365.00,2958.20,1942.30,2.46,-0.02,0.09,0.04,1.76
Brahmaputra Inf.,535693,,Construction,96.02,278.63,259.89,62.62,24.09,21.54,7.34,0.97,0.11,4.18,0.58,10.96,18.90,0.00,26.86,59.97,94.32,14.76,0.00,0.00,2.70,4.88
CCL Products,519600,CCL,Agricultural Food & other Products,933.20,12460.83,3388.10,583.83,17.23,17.87,40.03,6.33,2.68,7.98,0.92,17.05,450.92,9.52,690.28,221.15,1052.26,3.42,0.31,0.44,3.75,3.13
Choice Intl.,531358,CHOICEIN,Finance,783.60,16115.16,943.61,314.39,33.32,32.07,93.65,15.23,2.09,7.36,0.66,19.61,1044.96,10.06,274.63,26.92,19.49,1.93,0.03,0.34,2.16,5.00
Crizac,544439,CRIZAC,Retailing,373.15,6529.47,849.49,212.82,25.05,25.05,42.84,,1.34,20.76,0.00,36.18,230.89,35.29,256.40,260.60,0.00,3.24,,,0.00,2.27
Cummins India,500480,CUMMINSIND,Industrial Products,3885.20,107697.74,10981.95,2230.24,20.31,20.02,50.53,14.24,1.45,20.85,0.00,28.15,3817.92,754.37,2277.75,1567.10,1004.07,2.65,-0.31,0.29,0.01,1.23
