Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,163.74,1045.77,208.17,33.03,15.87,15.87,63.00,9.48,1.58,8.18,0.58,17.30,140.20,1.11,0.31
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals & Biotechnology,912.65,8255.08,2115.07,464.37,21.96,21.96,30.30,4.16,,9.93,0.21,14.54,963.01,10.12,3.88
AGI Infra,539042,AGIIL,Realty,978.05,2389.72,324.87,92.54,28.49,28.49,35.84,8.10,1.03,5.86,0.47,25.66,144.14,12.58,4.30
Alpex Solar,,ALPEXSOLAR,Electrical Equipment,1108.65,2713.25,780.15,125.28,16.06,16.06,32.50,12.54,0.35,24.19,0.36,48.07,180.11,2.86,4.67
Aluwind Infra,,ALUWIND,Industrial Products,84.50,209.96,109.22,11.98,10.97,10.97,25.86,3.52,0.38,9.35,0.22,19.27,60.79,1.30,4.84
Aryaman Fin.Serv,530245,,Finance,726.75,848.99,112.87,52.67,46.66,46.66,26.90,6.59,0.26,23.47,0.22,31.30,116.80,5.23,0.10
Asahi India Glas,515030,ASAHIINDIA,Auto Components,806.30,19595.99,4594.48,766.13,16.68,16.68,56.88,7.34,3.08,5.61,1.01,13.72,722.98,66.46,3.32
Asarfi Hospital,543943,,Healthcare Services,142.20,279.81,120.57,23.84,19.77,19.77,25.48,3.44,0.77,6.90,0.60,14.46,32.10,7.57,2.17
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,146.05,153.51,80.16,11.95,14.91,14.91,40.29,,,5.25,3.54,37.84,28.86,0.10,3.28
Avishkar Infra,508929,,Realty,81.31,182.16,2.40,1.87,77.92,77.92,53.89,12.62,1.26,21.07,0.15,150.22,15.61,2.20,0.00
AXISCADES Tech.,532395,AXISCADES,Aerospace & Defense,1443.20,6126.85,1030.72,142.42,13.82,13.82,78.74,9.45,3.72,6.91,0.39,12.61,449.36,16.99,3.63
Banco Products,500039,BANCOINDIA,Auto Components,670.25,9605.81,3212.52,611.16,19.02,19.02,24.52,7.36,0.61,16.23,0.44,33.28,1429.63,43.02,1.22
Bemco Hydraulics,522650,,Industrial Manufacturing,2652.15,579.94,100.12,20.31,20.29,20.29,46.25,8.27,0.29,9.78,0.27,20.04,33.74,1.00,2.24
Bio Green Papers,534535,,"Paper, Forest & Jute Products",198.45,2310.60,407.36,41.24,10.12,10.12,65.55,23.81,0.53,25.16,0.00,25.97,22.08,0.86,0.00
Choice Intl.,531358,CHOICEIN,Finance,694.05,13865.99,910.38,284.59,31.26,31.26,88.58,13.49,1.34,7.36,0.45,18.87,856.03,11.29,4.00
City Union Bank,532210,CUB,Banks,230.51,17054.47,5834.04,4036.90,69.20,69.20,15.18,1.80,0.81,1.51,6.94,12.58,0.00,898.06,0.80
CLN Energy,544347,,Auto Components,543.00,573.04,219.18,23.91,10.91,10.91,44.35,6.06,,8.26,0.17,23.95,81.29,1.21,0.37
CSB Bank,542867,CSBBANK,Banks,396.90,6887.40,3597.14,1948.44,54.17,54.17,11.60,1.53,0.10,1.42,9.43,14.31,0.00,972.06,3.12
Cupid,530843,CUPID,Personal Products,109.47,2943.57,203.18,61.43,30.23,30.23,71.92,8.59,116.00,11.83,0.06,12.72,274.46,0.00,3.59
DCB Bank,532772,DCBBANK,Banks,147.00,4624.31,6470.59,4442.12,68.65,68.65,7.52,0.81,0.59,0.88,12.16,11.44,0.00,750.51,2.51
Deepak Fertiliz.,500645,DEEPAKFERT,Chemicals & Petrochemicals,1743.50,22014.73,10274.42,1924.72,18.73,18.73,23.58,3.53,0.25,7.58,0.67,16.03,1887.85,80.82,0.81
Dodla Dairy,543306,DODLA,Food Products,1437.60,8680.60,3720.07,381.91,10.27,10.27,34.41,6.17,0.89,15.73,0.03,19.83,53.14,52.71,3.19
Exhicon Events,543895,,Other Consumer Services,426.55,552.92,143.51,35.12,24.47,24.47,21.27,4.93,,24.62,0.00,26.63,65.77,2.99,1.94
Fabtech Techn.,544332,,Industrial Manufacturing,392.00,482.92,150.03,16.04,10.69,10.69,36.31,5.12,1.34,12.51,0.01,18.21,81.83,0.87,0.11
Fiem Industries,532768,FIEMIND,Auto Components,1938.20,5098.36,2422.61,322.19,13.30,13.30,25.22,4.91,1.15,15.30,0.02,21.00,492.25,19.87,1.81
Foce India,,FOCE,Consumer Durables,1900.00,929.66,104.25,18.35,17.60,17.60,64.56,11.80,,11.08,0.38,20.11,36.19,0.39,0.00
Frontier Springs,522195,,Auto Components,4938.40,1945.73,231.34,49.66,21.47,21.47,56.14,15.69,2.83,23.68,0.05,32.50,50.03,0.98,4.09
G M D C,532181,GMDCLTD,Minerals & Mining,420.35,13360.64,2850.84,637.49,22.36,22.36,19.48,2.08,0.54,9.07,0.02,10.95,1967.55,354.71,4.44
GHV Infra,505504,,Construction,982.85,1416.78,184.88,24.93,13.48,13.48,82.61,33.27,,15.49,0.73,82.12,15.11,0.00,0.00
