Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1073.90,20.66,8504.42,2604.99,1927.47,73.99,75.29,13.57,1.82,0.79,3.27,3.08,14.11,2153.46,2.50,7.79,3.22,0.00,9.00,0.17,-1.16,7.63,52.02
Adcounty Media.,544435,,INE0W1601012,Media,Web based media and service,106.50,42.22,239.64,77.23,21.92,28.38,26.49,13.59,2.52,0.15,35.51,0.01,47.28,75.90,2.58,44.68,7.37,0.00,11.83,-1.57,-0.84,0.03,62.23
Addictive Learn,,ADDICTIVE,INE0RDH01021,Other Consumer Services,E-Learning,70.00,23.89,111.37,75.39,19.62,26.02,30.64,12.77,1.35,0.07,11.21,0.00,13.08,-2.28,2.68,0.48,2.12,0.00,11.25,0.32,-1.46,0.00,61.17
Adit.Birla Money,532974,BIRLAMONEY,INE865C01022,Capital Markets,Stockbroking & Allied,103.74,24.18,586.23,438.26,210.64,48.06,50.53,11.39,2.19,0.27,3.24,6.58,37.21,385.08,-1.77,34.66,20.78,0.00,13.08,-0.05,-0.07,8.78,50.29
Aesthetik Engi.,,AESTHETIK,INE0TSF01011,Construction,Civil Construction,62.70,23.56,107.97,78.14,12.86,16.46,13.15,12.79,2.25,,11.68,0.32,18.36,24.85,0.83,16.10,5.58,18.78,10.33,-1.15,-0.03,1.22,59.70
Agarwal Toughene,,AGARWALTUF,INE0P8X01016,Industrial Products,Glass - Industrial,86.85,32.97,153.50,78.90,27.61,34.99,36.38,7.14,1.44,0.03,16.49,0.20,27.42,79.76,5.17,23.18,1.16,18.91,18.79,0.00,-0.28,0.70,50.10
AGI Greenpac,500187,AGI,INE415A01038,Industrial Products,Packaging,473.10,29.83,3060.83,2627.76,596.34,22.69,24.28,9.05,1.38,0.49,9.27,0.21,16.24,352.10,73.95,490.66,194.64,494.83,14.39,0.02,-0.25,0.91,53.11
Ahm. Steelcraft,522273,,INE868C01018,Industrial Products,Iron & Steel Products,143.45,38.54,216.49,234.56,26.13,11.14,7.03,11.44,1.75,0.07,14.03,0.00,18.35,119.92,0.01,184.33,62.84,0.00,12.09,0.00,0.00,0.00,52.66
Ajmera Realty,513349,AJMERA,INE298G01035,Realty,"Residential, Commercial Projects",100.87,21.53,1985.08,810.61,234.36,28.91,31.26,16.62,1.57,0.42,5.92,0.52,12.01,1710.97,7.56,322.18,62.60,1386.04,9.34,-0.01,-0.25,2.74,54.44
All E Tech,,ALLETEC,INE0M2X01012,IT - Software,Computers - Software & Consulting,137.70,31.50,278.07,138.05,29.53,21.39,21.99,9.19,1.79,0.20,18.15,0.00,22.39,136.31,11.92,19.01,8.19,0.00,29.10,0.00,-0.90,0.01,71.04
Alphalogic Tech.,542770,,INE08E401029,IT - Software,Computers - Software & Consulting,39.65,48.98,248.25,52.43,8.54,16.29,9.09,49.26,5.00,1.04,10.42,0.10,11.49,45.54,1.87,15.13,8.85,2.29,3.94,0.00,0.00,0.50,68.54
Amal,506597,,INE841D01013,Chemicals & Petrochemicals,Specialty Chemicals,461.30,37.65,570.29,202.86,38.80,19.13,32.27,20.92,5.03,0.11,25.97,0.00,35.03,34.31,1.78,19.26,13.79,5.29,5.50,0.00,0.00,0.00,59.82
Apollo Finvest,512437,,INE412D01013,Finance,Non Banking Financial Company (NBFC),351.55,42.91,131.22,22.93,11.21,48.89,42.33,18.96,1.84,-1.12,8.09,0.30,11.44,-7.49,2.25,0.00,0.72,0.00,8.29,0.00,0.00,1.70,59.94
Arihant Super.,506194,ARIHANTSUP,INE643K01018,Realty,"Residential, Commercial Projects",203.35,25.07,879.49,522.23,118.05,22.60,20.90,19.37,2.50,2.01,3.91,2.38,18.84,1083.45,6.64,128.83,89.20,817.55,7.19,0.03,0.04,6.85,56.56
Arkade,544261,ARKADE,INE0QRL01017,Realty,"Residential, Commercial Projects",100.58,27.52,1867.40,751.28,195.61,26.04,30.17,12.61,1.96,0.26,17.03,0.18,25.75,861.03,12.61,23.06,34.35,906.97,10.08,0.03,-0.04,0.88,52.93
Arrow Greentech,516064,ARROWGREEN,INE570D01018,Industrial Products,Packaging,362.30,39.32,546.64,216.02,70.25,32.52,36.42,10.64,2.58,0.10,35.18,0.01,39.57,168.00,7.91,12.22,7.23,23.61,14.40,0.10,0.02,0.04,55.71
Artificial Elect,526443,,INE072B01027,IT - Software,Software Products,110.20,44.32,304.92,108.21,33.32,30.79,11.49,12.03,7.02,0.07,10.06,0.00,17.78,40.55,1.47,49.72,48.37,4.95,11.18,-0.01,0.00,0.00,70.83
Ashoka Buildcon,533271,ASHOKA,INE442H01029,Construction,Civil Construction,106.30,24.18,2984.09,8260.00,2396.08,29.01,29.09,2.85,0.71,0.06,8.69,0.47,54.78,1978.72,2364.66,1417.82,897.89,465.85,67.88,0.39,0.01,0.81,53.94
ASM Technologies,526433,,INE867C01010,IT - Software,Computers - Software & Consulting,2223.05,40.34,3242.69,507.91,100.96,19.88,16.39,53.12,11.00,2.44,9.39,0.18,16.85,200.50,2.88,126.51,27.95,38.79,2.89,0.28,-0.03,0.57,51.63
Assoc.Alcohols,507526,ASALCBR,INE073G01016,Beverages,Breweries & Distilleries,717.95,35.59,1441.59,1023.39,138.12,13.50,11.91,16.51,2.32,1.55,12.19,0.13,17.27,115.08,5.53,54.42,44.25,114.32,8.04,0.04,-0.18,0.62,50.35
Atlantaa,532759,ATLANTAA,INE285H01022,Construction,Civil Construction,34.58,35.51,281.83,68.56,12.01,17.52,48.06,,1.46,,8.16,1.53,23.10,80.80,18.16,54.57,5.31,101.00,-3.31,0.00,0.00,-20.37,52.88
Atmastco Ltd,,ATMASTCO,INE05DH01017,Construction,Civil Construction,118.00,28.52,291.87,272.00,39.93,14.68,15.37,17.00,2.09,0.20,5.58,0.62,16.78,114.64,0.44,95.19,84.71,145.97,10.27,-0.36,0.00,2.38,55.97
Aurionpro Sol.,532668,AURIONPRO,INE132H01018,IT - Software,Computers - Software & Consulting,773.30,33.29,4273.38,1392.47,281.45,20.21,20.61,20.97,2.66,0.55,11.26,0.02,15.30,790.03,11.26,387.51,96.67,33.19,6.36,-1.00,1.22,0.11,53.58
Australian Prem,,APS,INE0P0001010,Electrical Equipment,Heavy Electrical Equipment,290.55,37.48,585.75,570.41,78.67,13.79,12.90,10.81,4.39,0.08,27.13,0.23,57.82,99.13,2.22,107.60,71.04,29.97,12.66,0.45,-0.79,0.42,55.57
