Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adani Green,541450,ADANIGREEN,Power,1015.60,164790.87,12268.00,9520.00,77.60,79.28,89.58,13.25,1.59,2.32,6.59,14.61,-10070.00,741.00,1540.00,395.00,101.00,3.27,0.46,-0.87,10.14,51.45
Addictive Learn,,LAWSIKHO,Other Consumer Services,153.00,243.42,74.86,17.47,23.34,23.34,24.94,3.14,0.14,11.53,0.00,13.45,-8.69,3.21,0.28,2.25,0.00,5.61,0.50,-0.87,0.00,65.89
Akums Drugs,544222,AKUMS,Pharmaceuticals & Biotechnology,545.40,8584.27,4118.16,464.64,11.28,11.28,26.59,2.82,0.54,8.64,0.03,17.19,1380.85,68.66,770.30,642.78,680.93,4.44,1.46,-1.53,0.25,53.62
Apollo Finvest,512437,,Finance,509.40,190.10,30.26,12.72,42.04,42.04,26.33,2.82,-1.53,8.01,0.45,11.33,0.23,0.18,0.00,0.72,0.00,5.61,0.00,0.00,2.53,52.06
Arham Tech,,ARHAM,Consumer Durables,82.00,138.74,69.89,12.68,18.14,18.14,19.06,4.45,,12.33,0.83,26.43,24.06,0.20,15.53,8.42,42.24,7.15,0.00,0.00,2.21,55.19
Artificial Elect,526443,,IT - Software,95.85,162.62,26.10,3.00,11.49,11.49,57.46,5.15,0.33,10.06,0.00,17.78,5.81,0.73,24.73,22.60,0.00,2.34,0.00,0.00,0.00,78.25
Atishay,538713,,IT - Software,124.10,136.28,53.27,9.94,18.66,18.83,18.00,2.80,0.06,13.17,0.09,15.43,14.15,2.47,12.52,2.27,0.17,7.91,0.00,0.00,0.42,50.34
Autoline Industr,532797,AUTOIND,Auto Components,73.92,319.15,658.55,68.47,10.40,10.40,14.84,2.08,0.12,3.23,1.88,14.89,-165.13,0.19,126.71,88.73,67.22,9.51,-0.55,0.05,5.26,52.92
B & A Packaging,523186,,Industrial Products,238.00,118.05,130.88,14.28,10.91,10.91,12.01,1.43,4.75,10.02,0.02,12.55,53.43,1.77,22.24,11.44,34.81,13.05,0.00,0.00,0.14,55.38
Balaxi Pharma,,BALAXI,Pharmaceuticals & Biotechnology,47.85,264.17,292.56,37.21,12.72,12.72,10.54,1.14,-0.55,8.82,0.23,11.58,188.24,-3.72,110.80,16.18,78.48,11.36,0.00,-7.15,1.69,63.03
