Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adcounty Media.,544435,,INE0W1601012,Media,Web based media and service,121.00,42.91,272.26,77.23,21.92,28.38,26.49,15.43,2.86,0.17,35.51,0.01,47.28,75.90,2.58,44.68,7.37,0.00,10.19,-1.57,-0.84,0.03,57.09
All E Tech,,ALLETEC,INE0M2X01012,IT - Software,Computers - Software & Consulting,160.85,31.98,324.82,138.05,29.53,21.39,21.99,10.73,2.09,0.23,18.15,0.00,22.39,136.31,11.92,19.01,8.19,0.00,21.81,0.00,-0.90,0.01,66.17
Alphalogic Tech.,542770,,INE08E401029,IT - Software,Computers - Software & Consulting,41.24,36.77,258.21,52.43,8.54,16.29,9.09,51.23,5.20,1.08,10.42,0.10,11.49,45.54,1.87,15.13,8.85,2.29,3.79,0.00,0.00,0.50,67.28
Amal,506597,,INE841D01013,Chemicals & Petrochemicals,Specialty Chemicals,498.55,39.42,616.34,202.86,38.80,19.13,32.27,22.61,5.44,0.11,25.97,0.00,35.03,34.31,1.78,19.26,13.79,5.29,5.09,0.00,0.00,0.00,56.57
Apollo Finvest,512437,,INE412D01013,Finance,Non Banking Financial Company (NBFC),375.25,42.52,140.07,22.93,11.21,48.89,42.33,20.24,1.96,-1.19,8.09,0.30,11.44,-7.49,2.25,0.00,0.72,0.00,7.83,0.00,0.00,1.70,57.24
Artificial Elect,526443,,INE072B01027,IT - Software,Software Products,122.32,47.15,338.45,108.21,33.32,30.79,11.49,13.36,7.79,0.08,10.06,0.00,17.78,40.55,1.47,49.72,48.37,4.95,10.07,-0.01,0.00,0.00,67.62
Autoriders Intl.,512277,,INE340U01010,Transport Services,Logistics Solution Provider,433.75,30.58,150.98,96.93,27.50,28.37,28.79,15.52,2.81,0.39,10.00,0.34,19.99,3.26,1.28,18.24,4.98,0.00,9.48,0.00,0.00,1.16,57.93
AVP Infracon,,AVPINFRA,INE0R9401019,Construction,Civil Construction,98.60,39.96,246.29,369.67,74.84,20.25,20.28,5.66,1.55,0.06,12.64,1.14,30.20,79.37,4.14,85.02,20.02,81.79,19.43,0.10,-0.03,2.46,54.77
AWFIS Space,544181,AWFIS,INE108V01019,Commercial Services & Supplies,Diversified Commercial Services,304.70,27.48,2179.84,1423.03,513.97,36.12,33.70,37.16,4.37,0.90,2.44,2.91,26.07,-270.82,93.58,122.33,257.89,0.64,6.84,-1.62,2.30,5.97,57.62
Bajaj Healthcare,539872,BAJAJHCARE,INE411U01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,341.80,35.37,1079.52,612.44,93.91,15.33,15.28,20.63,2.22,-1.17,4.98,0.49,10.69,187.63,15.22,231.94,82.79,156.31,6.46,-0.03,0.06,2.83,54.12
Bajaj Steel Inds,507944,,INE704G01024,Industrial Manufacturing,Industrial Products,417.25,40.82,867.88,560.92,78.83,14.05,15.90,16.48,2.10,0.80,11.01,0.12,17.87,192.54,13.26,36.31,69.31,161.51,9.10,0.00,-0.02,0.66,52.04
Basilic Fly Stud,,BASILIC,INE0OCC01013,Entertainment,Media & Entertainment,225.25,27.51,569.09,417.47,84.91,20.34,21.30,10.48,1.84,0.04,21.82,0.21,24.79,250.68,-2.26,112.05,9.89,0.00,15.17,-0.59,-0.03,0.84,55.82
Bemco Hydraulics,522650,,INE142E01022,Industrial Manufacturing,Industrial Products,80.86,36.27,353.63,98.56,21.94,22.26,20.29,24.01,4.71,0.82,9.71,0.21,19.89,20.50,1.27,26.86,16.54,29.84,5.94,0.00,0.00,0.74,57.04
BEW Engg,,BEWLTD,INE0HQI01014,Industrial Manufacturing,Industrial Products,100.40,44.96,131.26,170.36,21.49,12.61,15.24,10.62,0.91,0.36,6.34,0.44,11.70,109.44,0.70,41.00,31.61,145.07,11.01,0.00,0.00,3.00,58.13
Bharat Road,540700,BRNL,INE727S01012,Construction,Civil Construction,19.67,38.27,165.13,152.66,20.46,13.40,20.63,5.77,0.40,0.16,6.47,1.05,53.67,278.70,85.34,0.19,3.72,0.00,32.58,0.00,0.00,9.80,50.54
Blue Jet Health,544009,BLUEJET,INE0KBH01020,Pharmaceuticals & Biotechnology,Pharmaceuticals,409.40,47.31,7101.67,1053.10,362.80,34.45,36.67,24.19,5.66,1.34,24.16,0.02,30.24,748.98,57.96,311.83,40.65,196.79,5.75,1.02,-0.69,0.05,60.18
C.E. Info System,543425,MAPMYINDIA,INE0BV301023,IT - Software,Software Products,1075.40,21.14,5884.77,472.61,160.30,33.92,37.99,44.60,7.07,1.73,14.74,0.01,17.62,432.31,57.89,174.44,62.90,10.71,3.28,0.88,-0.73,0.05,50.37
C2C Advanced,,C2C,INE0U7V01015,Aerospace & Defense,Aerospace & Defense,355.90,37.01,603.91,137.99,57.18,41.44,36.01,14.12,2.68,0.10,16.56,0.22,21.05,188.15,4.11,166.92,2.14,56.88,9.00,-1.86,-0.06,0.82,59.92
CapitalNumbers,544343,,INE0WXM01011,IT - Software,Computers - Software & Consulting,85.65,24.20,209.22,102.21,26.33,25.76,29.80,7.77,1.22,0.60,18.93,0.00,20.00,160.62,10.92,8.46,0.81,0.00,29.82,-0.87,-1.50,0.00,60.84
