Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Addictive Learn,,LAWSIKHO,Other Consumer Services,E-Learning,121.95,194.02,75.39,19.62,26.02,30.64,22.25,2.36,0.13,11.21,0.00,13.08,-2.28,2.68,0.48,2.12,0.00,6.31,0.32,-1.46,0.00,68.97
All E Tech,,ALLETEC,IT - Software,Computers - Software & Consulting,238.50,481.63,138.34,30.32,21.92,21.99,15.86,3.10,0.34,18.15,0.00,22.39,136.31,12.39,19.01,8.19,0.00,11.86,0.00,-0.90,0.01,62.32
Alphalogic Tech.,542770,,IT - Software,Computers - Software & Consulting,67.78,424.42,63.57,7.83,12.32,9.09,86.44,8.55,1.82,10.42,0.10,11.49,45.54,1.79,15.13,8.85,2.29,2.18,0.00,0.00,0.53,53.26
Apollo Finvest,512437,,Finance,Non Banking Financial Company (NBFC),439.55,164.04,26.12,10.73,41.08,42.33,25.24,2.30,-1.49,8.09,0.30,11.44,-7.49,2.16,0.00,0.72,0.00,6.49,0.00,0.08,1.79,51.64
Artificial Elect,526443,,IT - Software,Software Products,159.20,270.10,61.20,15.64,25.56,11.49,21.09,6.44,0.12,10.06,0.00,17.78,40.55,1.44,49.72,48.37,4.95,6.34,0.00,0.00,0.00,63.87
BEW Engg,,BEWLTD,Industrial Manufacturing,Industrial Products,127.20,166.29,170.36,21.49,12.61,15.24,13.45,1.15,0.46,6.34,0.44,11.70,109.44,0.70,41.00,31.61,145.07,9.30,0.00,0.00,3.00,56.88
Bharat Road,540700,BRNL,Construction,Civil Construction,24.63,206.77,342.28,163.37,47.73,20.63,1.15,0.50,0.03,6.47,1.05,53.67,278.70,83.88,0.19,3.72,0.00,104.42,0.00,-0.01,2.34,54.30
CapitalNumbers,544343,,IT - Software,Computers - Software & Consulting,115.05,281.03,102.21,26.33,25.76,29.80,10.44,1.64,0.81,18.93,0.00,20.00,160.62,10.92,8.46,0.81,0.00,18.63,-0.87,-1.50,0.00,58.01
Captain Techno.,540652,,Industrial Manufacturing,Industrial Products,160.00,371.52,113.70,16.60,14.60,12.71,33.41,7.90,0.78,15.80,0.48,25.03,11.04,1.73,29.26,17.43,10.47,4.21,0.00,0.00,1.37,50.31
Cenlub Industrie,522251,,Industrial Manufacturing,Industrial Products,261.50,121.93,72.49,10.06,13.88,15.85,15.13,1.79,1.82,10.56,0.06,14.72,5.10,2.71,12.05,8.87,8.72,9.65,0.00,0.00,0.36,55.89
Chavda Infra Ltd,,CHAVDA,Construction,Civil Construction,86.75,213.89,250.28,59.78,23.89,21.59,10.84,1.78,0.19,6.77,1.40,20.27,121.45,2.00,103.28,74.94,92.19,11.54,-0.50,-0.16,3.92,53.36
Chemtech Indust.,537326,,Industrial Manufacturing,Industrial Products,98.65,176.95,35.27,6.43,18.23,19.83,23.53,1.78,0.16,9.04,0.00,10.74,74.60,5.22,4.40,2.78,3.10,9.69,0.05,0.00,0.00,61.69
Chetana Educa.,,CHETANA,Printing & Publication,Printing & Publication,62.50,127.50,102.93,19.42,18.87,22.72,9.92,1.44,,12.58,0.06,25.94,83.44,0.23,67.63,1.98,20.78,14.14,-1.40,0.94,0.26,51.55
Cohance Life,543064,COHANCE,Pharmaceuticals & Biotechnology,Pharmaceuticals,581.85,22259.67,2252.45,579.88,25.74,31.34,64.80,5.88,-4.00,8.86,0.12,12.67,1177.66,33.65,589.69,313.28,592.88,2.09,9.41,-0.72,0.95,57.22
Concord Enviro,544315,CEWATER,Other Utilities,Waste Management,419.90,869.03,557.05,67.94,12.20,15.66,16.62,1.58,0.36,6.98,0.30,12.03,371.38,17.72,179.31,145.70,201.33,8.24,-0.90,-0.01,2.14,51.17
Credo Brands,544058,MUFTI,Retailing,Speciality Retail,102.56,670.44,592.40,167.91,28.34,29.29,11.70,1.61,0.44,9.36,0.58,18.41,303.28,7.88,269.01,22.75,105.25,11.52,-1.29,-0.04,2.36,52.04
Danlaw Tech.,532329,,Industrial Manufacturing,Industrial Products,858.40,418.10,237.35,34.83,14.67,14.74,21.01,4.88,0.17,13.19,0.37,28.31,68.49,1.00,49.89,28.61,36.47,6.81,0.00,0.00,1.09,52.49
De Neers Tools,,DENEERS,Industrial Products,Iron & Steel Products,137.35,118.21,142.50,28.16,19.76,19.30,6.70,1.45,0.13,11.87,0.77,32.56,110.39,0.87,39.62,13.85,114.36,15.62,1.51,-0.77,2.23,63.35
DJ Mediaprint,543193,DJML,Transport Services,Logistics Solution Provider,77.69,256.20,91.57,18.14,19.81,21.84,34.07,3.61,1.15,8.13,0.23,13.49,50.19,0.22,29.34,2.43,27.56,4.40,-0.03,-0.16,1.36,63.37
Dynamic Services,,DYNAMIC,Commercial Services & Supplies,Diversified Commercial Services,108.55,149.21,347.25,49.12,14.15,13.61,6.52,0.76,0.07,7.60,0.76,12.47,108.40,2.21,111.92,15.46,48.32,18.35,0.00,-0.05,2.98,73.15
Easy Trip Plann.,543272,EASEMYTRIP,Leisure Services,"Tour, Travel Related Services",7.51,2731.28,522.18,64.87,12.42,24.74,50.52,3.16,112.27,10.70,0.04,16.21,410.27,-19.97,257.93,106.18,2.87,2.66,0.01,-2.09,0.51,60.49
Edvenswa Enter,517170,,IT - Software,Computers - Software & Consulting,36.01,105.21,140.55,15.54,11.06,13.30,7.89,0.77,0.13,11.24,0.00,12.99,68.33,0.05,9.98,2.53,0.00,15.92,0.00,0.00,0.00,51.79
Electrost.Cast.,500128,ELECTCAST,Industrial Products,Iron & Steel Products,76.87,4751.98,6433.74,677.61,10.53,14.34,9.58,0.81,0.34,7.62,0.38,13.15,1971.69,201.01,1283.78,601.47,2730.56,11.33,0.04,-1.01,3.08,55.11
EMS,543983,EMSLIMITED,Other Utilities,Waste Management,459.10,2549.42,926.49,226.20,24.41,26.31,15.62,2.45,0.47,17.21,0.16,20.69,705.51,12.58,398.78,27.78,102.46,8.87,-0.05,-0.02,0.72,54.85
Frog Cellsat,,FROG,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,164.60,256.02,219.39,35.57,16.21,16.21,14.87,1.60,0.87,12.08,0.08,16.07,69.32,2.84,44.16,21.01,35.77,12.95,0.12,-0.09,0.37,64.06
G M Polyplast,543239,,Industrial Products,Plastic Products - Industrial,82.00,110.37,97.86,11.62,11.87,12.17,15.08,2.58,0.71,16.52,0.05,20.97,34.04,0.06,19.48,4.77,14.53,9.53,0.00,0.00,0.20,51.74
Gala Precis. Eng,544244,GALAPREC,Industrial Manufacturing,Industrial Products,735.75,938.10,267.92,41.27,15.40,17.36,30.84,3.45,0.54,10.63,0.09,14.96,160.35,6.14,62.67,20.80,95.37,4.28,0.11,0.00,0.61,50.31
Genesys Intl.,506109,GENESYS,IT - Services,IT Enabled Services,476.85,1991.81,331.07,151.83,45.86,46.00,33.91,2.91,-10.24,7.94,0.21,10.76,390.92,7.06,209.38,33.94,0.00,4.76,-0.04,-0.15,1.51,54.80
Gensol Engineer.,542851,GENSOL,Electrical Equipment,Other Electrical Equipment,29.97,115.22,1451.84,329.58,22.70,23.86,1.12,0.19,0.01,3.16,2.33,22.38,224.48,3.86,308.51,167.81,3.88,23.91,0.14,4.25,4.66,96.40
GLEN Industries,544444,,Industrial Products,Packaging,81.57,196.27,166.04,40.24,24.24,24.24,11.00,1.42,0.16,9.62,0.84,36.35,63.70,0.62,31.97,3.25,64.84,12.74,,,3.47,50.52
Go Fashion (I),543401,GOCOLORS,Retailing,Speciality Retail,542.95,2932.42,866.54,267.57,30.88,31.95,33.22,3.96,0.86,7.65,0.72,14.32,441.59,24.99,126.23,38.20,241.67,5.01,0.43,-1.08,3.25,52.87
Indian Emuls,,IEML,Chemicals & Petrochemicals,Specialty Chemicals,109.20,200.20,126.71,24.47,19.31,19.38,12.07,2.17,0.02,14.67,0.35,24.08,64.26,0.52,58.94,10.77,28.01,9.95,-0.88,-0.02,1.43,56.46
Indo Tech.Trans.,532717,INDOTECH,Electrical Equipment,Heavy Electrical Equipment,1712.10,1818.25,730.19,99.87,13.68,13.83,21.59,5.60,0.29,15.50,0.04,25.66,253.35,18.51,153.74,82.34,169.01,6.56,0.19,0.01,0.10,54.86
Indo US Bio-Tech,541304,INDOUS,Agricultural Food & other Products,Other Agricultural Products,124.63,249.91,118.56,19.75,16.66,18.24,14.81,2.88,0.32,17.85,0.32,23.03,77.75,0.17,33.39,1.10,60.87,6.78,0.00,0.00,1.47,67.91
Insolation Ener,543620,,Power,Power Generation,157.45,3470.11,1498.48,182.38,12.17,12.09,23.93,5.04,0.15,22.76,0.37,34.87,206.93,20.69,237.65,139.18,181.77,5.31,0.13,-0.15,1.36,63.80
ION Exchange,500214,IONEXCHANG,Other Utilities,Water Supply & Management,356.05,5222.06,2842.20,292.24,10.28,10.86,24.85,4.04,2.93,7.68,0.33,18.66,772.29,56.57,1044.63,728.08,386.14,5.73,0.20,-0.42,1.40,52.16
Jindal Saw,500378,JINDALSAW,Industrial Products,Iron & Steel Products,166.63,10656.13,18636.17,2796.81,15.01,16.58,7.76,0.88,0.12,7.13,0.43,16.31,3482.24,125.62,3073.75,2125.19,5528.69,14.77,-0.42,0.23,2.25,51.39
Kay Cee,,KCEIL,Construction,Civil Construction,184.65,225.72,198.15,34.55,17.44,17.78,10.62,2.42,0.14,12.27,0.59,32.11,89.54,0.69,38.27,24.25,37.76,13.28,-9.48,-0.81,1.56,55.90
Kaycee Inds.,504084,,Electrical Equipment,Other Electrical Equipment,1002.45,318.13,56.06,8.55,15.25,16.29,55.42,10.17,1.19,15.59,0.11,22.25,18.52,0.69,18.64,7.30,4.59,2.54,0.00,0.00,0.42,60.21
Kimia Bioscien.,530313,,Pharmaceuticals & Biotechnology,Pharmaceuticals,34.10,161.34,125.92,18.23,14.48,17.03,19.72,13.93,0.30,9.10,3.11,186.78,-6.20,1.38,28.18,47.87,34.65,8.13,0.00,0.00,2.26,60.74
KNR Construct.,532942,KNRCON,Construction,Civil Construction,166.78,4690.43,3082.53,852.58,27.66,33.86,6.80,0.98,0.15,17.05,0.49,27.24,2574.81,54.70,874.47,261.32,158.57,14.03,-3.59,0.46,2.43,53.52
Kore Digital,,KDL,Telecom - Services,Telecom - Infrastructure,184.10,221.36,493.81,72.86,14.75,14.49,4.57,1.69,,16.13,0.05,35.48,72.22,0.11,224.09,151.17,13.59,28.99,-0.14,0.00,0.10,71.69
Krishca Strapp.,,KRISHCA,Industrial Products,Iron & Steel Products,175.05,249.14,178.17,28.12,15.78,15.17,19.96,2.27,0.20,9.81,0.76,16.55,-0.06,1.85,38.69,16.38,32.82,6.66,0.02,-0.01,3.75,54.41
Lakshya Powertec,,LAKSHYA,Construction,Civil Construction,123.10,124.13,182.10,23.29,12.79,14.15,8.13,1.23,0.06,13.54,0.57,25.41,92.16,1.16,60.13,22.83,55.87,13.38,-1.44,-0.19,2.43,66.95
Man Infra,533169,MANINFRA,Construction,Civil Construction,125.22,5054.71,867.78,244.55,28.18,27.13,18.62,2.31,1.96,14.42,0.01,17.49,1867.29,160.27,55.80,51.16,576.26,8.55,-0.09,0.93,0.08,52.35
Manoj Ceramic,544073,,Consumer Durables,Ceramics,97.80,134.05,179.73,24.48,13.62,13.76,10.97,0.95,0.09,7.31,0.45,16.23,139.71,0.23,99.55,16.61,58.93,13.00,0.00,3.12,2.39,57.19
Maruti Interior,543464,,Consumer Durables,Houseware,93.00,140.43,57.62,9.90,17.18,19.02,23.92,3.65,1.39,10.64,0.18,14.45,13.50,0.26,11.43,4.20,9.53,5.91,0.00,0.00,0.81,59.48
Maxposure,,MAXPOSURE,Entertainment,Media & Entertainment,49.90,113.48,77.69,11.01,14.17,16.94,13.24,1.59,,9.76,0.12,12.87,27.13,0.77,21.70,4.47,0.95,9.98,-0.65,-0.91,0.81,51.53
Mehai Technology,540730,,Commercial Services & Supplies,Trading & Distributors,2.53,187.49,147.63,17.41,11.79,11.09,20.36,1.33,0.10,7.49,0.36,10.63,52.89,0.65,34.28,5.74,23.67,7.42,0.00,0.00,2.97,86.86
Mishtann Foods,539594,,Food Products,Packaged Foods,5.00,538.81,1426.65,339.17,23.77,24.64,1.61,0.46,,36.46,0.04,44.10,1189.15,0.14,1869.49,619.87,3.11,58.06,0.00,0.00,0.14,68.51
Multibase India,526169,,Chemicals & Petrochemicals,Specialty Chemicals,235.00,296.57,68.39,13.00,19.01,20.98,25.54,3.54,0.79,12.60,0.00,13.78,71.70,3.75,13.01,6.11,12.11,6.52,0.00,0.00,0.00,62.21
