Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Suyog Telematics,537259,SUYOG,Telecom - Services,Telecom - Infrastructure,633.45,42.75,708.81,202.71,121.27,59.82,57.19,19.16,1.63,-28.60,6.90,0.54,11.61,94.76,4.41,60.89,19.57,7.16,7.73,-0.08,-1.80,3.24,67.18
Swastika Investm,530585,,Capital Markets,Stockbroking & Allied,75.00,38.66,150.74,115.91,24.91,21.49,25.21,11.65,1.15,0.46,5.64,0.18,20.72,60.91,0.67,28.38,249.65,2.72,-36.75,0.00,0.00,0.97,64.71
T R I L,532928,TARIL,Electrical Equipment,Heavy Electrical Equipment,301.55,51.78,9051.50,2225.20,355.78,15.99,16.24,36.55,6.73,0.25,12.75,0.27,23.45,814.58,53.37,527.05,320.01,632.40,4.10,-0.09,0.27,0.97,53.62
TBI Corn,,TBI,Agricultural Food & other Products,Other Agricultural Products,86.00,52.61,156.16,254.32,28.91,11.37,11.26,9.54,1.40,,9.68,0.78,18.90,88.97,1.88,59.95,0.74,73.03,12.26,-0.61,-0.02,3.13,56.12
Trident Techlabs,,TECHLABS,IT - Software,Computers - Software & Consulting,348.90,49.96,602.94,119.00,29.45,24.75,24.53,31.05,8.90,0.19,12.09,0.26,21.96,69.84,0.73,51.06,10.04,2.31,4.80,-2.34,-0.18,0.61,79.11
Trust Fintech,,TRUST,IT - Software,Software Products,50.00,44.42,119.13,34.86,9.86,28.28,31.32,14.64,1.04,0.17,10.55,0.00,11.57,69.88,4.07,20.23,1.50,0.77,9.92,-0.71,-0.01,0.00,72.07
Tuticorin Alkali,506808,,Chemicals & Petrochemicals,Commodity Chemicals,49.16,33.42,598.94,318.90,70.52,22.11,20.06,18.97,3.73,0.39,9.44,0.59,40.21,-90.54,3.39,19.98,87.75,69.93,9.47,0.00,0.08,1.43,54.35
Twamev Constr.,532738,TICL,Construction,Civil Construction,23.94,31.47,371.07,88.91,30.16,33.92,33.14,3.68,1.20,0.02,14.59,1.14,36.37,-184.68,35.52,48.65,13.46,33.18,15.16,-0.01,0.00,3.24,59.58
Upsurge Invest.,531390,,Finance,Non Banking Financial Company (NBFC),64.88,27.18,130.22,99.66,12.70,12.74,17.58,12.18,1.16,0.65,19.53,0.23,20.45,64.89,2.20,0.17,0.00,32.89,11.72,0.00,0.00,1.75,67.68
Urban Enviro,,URBAN,Other Utilities,Waste Management,149.00,44.45,129.03,155.77,25.69,16.49,17.76,11.01,3.15,0.13,13.12,0.71,38.31,36.95,0.65,52.25,5.23,0.00,11.96,0.00,-0.02,1.55,57.04
Vedant Fashions,543463,MANYAVAR,Retailing,Speciality Retail,580.65,39.33,14108.23,1423.06,639.31,44.93,46.35,36.60,8.20,4.89,14.35,0.27,22.26,990.30,90.20,643.38,59.97,186.48,3.91,-0.15,-0.12,0.81,55.42
Vertoz,,VERTOZ,Media,Advertising & Media Agencies,73.90,55.16,629.85,274.13,41.09,14.99,15.00,23.00,2.75,0.39,10.65,0.08,13.99,108.61,6.36,56.03,37.23,0.00,5.20,0.00,-0.62,0.55,51.45
Websol Energy,517498,WEBELSOLAR,Electrical Equipment,Other Electrical Equipment,85.49,30.48,3711.66,707.27,321.77,45.49,43.99,18.25,9.48,0.11,35.66,0.41,80.17,45.96,6.91,15.59,63.93,92.66,7.37,-0.18,1.08,0.56,54.80
Wendt India,505412,WENDT,Industrial Products,Abrasives & Bearings,8080.00,46.79,1616.00,237.75,43.33,18.23,22.73,58.57,6.50,5.89,12.37,0.00,15.11,134.84,7.03,51.93,24.28,45.31,2.36,0.46,-0.54,0.01,53.56
