Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
A B Infrabuild,544281.0,ABINFRA,INE00YB01025,Construction,Civil Construction,11.21,21.34,716.08,256.21,38.07,14.86,14.86,36.98,4.21,0.77,6.34,0.52,13.84,119.77,3.33,104.21,44.66,110.54,4.83,0.01,0.66,2.42,0.05,52.42
Aaron Industries,,AARON,INE721Z01010,Industrial Manufacturing,Industrial Products,118.23,34.27,247.65,92.01,17.69,19.23,19.23,36.42,5.14,4.56,7.82,0.57,14.84,9.66,0.2,7.01,7.67,24.42,5.04,0.0,0.0,1.98,0.51,54.17
AB Cotspin,544522.0,ABCOTS,INE08PH01015,Textiles & Apparels,Other Textile Products,217.29,23.74,477.24,298.68,39.85,13.34,13.34,35.98,3.09,0.4,4.41,0.96,10.05,84.17,2.78,72.23,5.87,67.91,4.63,0.0,0.0,5.12,0.0,57.23
Adcounty Media.,544435.0,,INE0W1601012,Media,Web based media and service,107.5,36.02,241.89,84.77,24.5,28.9,28.9,12.06,2.27,0.32,24.37,0.03,27.74,57.94,3.43,44.63,5.36,0.0,11.68,-0.43,0.19,0.1,0.0,61.88
Aesthetik Engi.,,AESTHETIK,INE0TSF01011,Construction,Civil Construction,71.0,46.3,122.26,118.21,12.04,10.19,10.19,17.14,2.44,0.2,9.24,0.5,15.06,18.63,0.86,17.4,11.41,26.16,7.72,0.0,0.0,2.18,0.0,54.37
Ajmera Realty,513349.0,AJMERA,INE298G01035,Realty,"Residential, Commercial Projects",109.2,46.51,2149.07,1090.35,298.4,27.37,27.37,14.31,1.65,0.51,6.48,0.51,11.5,1880.54,7.93,424.03,56.66,1495.23,10.18,-0.08,0.25,2.36,0.88,50.68
All E Tech,,ALLETEC,INE0M2X01012,IT - Software,Computers - Software & Consulting,147.15,46.27,297.16,137.87,24.6,17.84,17.84,11.12,1.76,0.35,13.97,0.0,17.08,151.85,10.34,22.09,9.37,0.0,21.25,-0.48,-0.21,0.01,1.02,65.29
Almondz Global,531400.0,ALMONDZ,INE326B01035,Capital Markets,Stockbroking & Allied,13.28,35.48,230.61,173.54,25.31,14.58,14.58,8.02,0.86,0.36,7.82,0.18,11.25,94.43,17.79,54.13,9.15,0.0,13.42,0.12,-0.04,1.32,0.0,51.16
Alphalogic Tech.,542770.0,,INE08E401029,IT - Software,Computers - Software & Consulting,52.05,44.12,325.9,50.55,8.77,17.35,17.35,65.33,6.27,4.8,8.34,0.88,10.07,66.76,2.35,7.88,2.85,4.73,2.9,0.0,0.0,4.28,0.0,52.68
Aluwind Infra,,ALUWIND,INE0STM01017,Industrial Products,"Aluminium, Copper & Zinc Products",47.5,43.1,118.03,138.56,16.46,11.88,11.88,11.21,1.68,0.2,7.68,0.59,16.2,48.59,1.54,39.05,40.07,57.56,10.04,0.0,0.0,2.54,0.0,50.42
Amal,506597.0,,INE841D01013,Chemicals & Petrochemicals,Specialty Chemicals,542.0,45.62,670.01,239.64,35.66,14.88,14.88,29.93,5.56,0.6,16.23,0.0,20.39,43.03,2.25,19.56,18.17,12.12,4.22,0.0,0.0,0.0,0.19,52.79
Arih.Found.Hsg.,531381.0,ARIHANT,INE413D01011,Realty,"Residential, Commercial Projects",745.9,49.86,743.28,420.32,97.39,23.17,23.17,12.6,2.0,0.16,7.38,1.08,17.29,435.84,11.37,75.74,51.9,253.41,8.59,0.0,0.0,3.71,0.0,50.71
Artificial Elect,526443.0,,INE072B01027,IT - Software,Software Products,127.45,60.23,352.64,150.1,49.2,32.78,32.78,9.61,2.91,,,0.9,30.13,202.55,1.59,112.62,22.68,13.05,10.46,0.0,0.0,2.22,0.0,66.27
Aurionpro Sol.,532668.0,AURIONPRO,INE132H01018,IT - Software,Computers - Software & Consulting,777.5,45.02,4296.63,1411.09,282.35,20.01,20.01,19.75,2.43,0.64,10.29,0.03,13.44,736.02,19.57,376.94,122.76,32.64,6.41,0.36,-0.48,0.22,0.49,53.33
Australian Prem,,APS,INE0P0001010,Electrical Equipment,Heavy Electrical Equipment,310.9,37.06,626.79,688.95,92.55,13.43,13.43,11.08,3.88,0.07,19.04,0.27,45.36,134.3,0.73,179.04,122.33,47.18,12.82,-0.1,0.0,0.52,0.03,52.46
Autoriders Intl.,512277.0,,INE340U01010,Transport Services,Logistics Solution Provider,373.0,33.46,129.82,100.59,28.1,27.94,27.94,14.37,2.21,1.33,9.15,0.57,16.72,5.58,1.14,19.08,5.34,0.0,9.72,0.0,0.0,2.18,0.04,63.82
AVP Infracon,,AVPINFRA,INE0R9401019,Construction,Civil Construction,68.0,30.46,169.88,420.75,77.19,18.35,18.35,4.03,0.96,0.08,10.9,1.16,27.67,73.3,4.09,140.61,20.2,99.26,19.52,0.08,0.0,2.76,0.0,68.81
AWFIS Space,544181.0,AWFIS,INE108V01019,Commercial Services & Supplies,Diversified Commercial Services,318.25,45.64,2277.49,1493.48,549.76,36.81,36.81,32.09,4.15,0.61,2.62,2.72,14.01,-312.77,92.64,137.73,307.7,0.72,6.88,-0.04,-0.99,5.81,0.0,55.73
Basilic Fly Stud,,BASILIC,INE0OCC01013,Entertainment,Media & Entertainment,211.0,57.09,533.09,407.8,85.2,20.89,20.89,10.44,1.59,0.46,12.55,0.32,19.05,193.8,7.4,138.2,23.6,0.0,12.44,-0.75,0.11,1.34,0.0,58.61
Bemco Hydraulics,522650.0,,INE142E01022,Industrial Manufacturing,Industrial Products,83.0,47.2,362.98,97.14,22.89,23.56,23.56,24.41,4.3,0.43,10.51,0.21,19.23,31.93,1.39,34.27,23.43,25.25,5.91,0.0,0.0,0.78,0.12,55.9
Bhadora Indust.,,BHADORA,INE0ZRC01017,Industrial Products,Cables - Electricals,60.75,48.63,113.01,124.93,16.29,13.04,13.04,11.37,1.37,0.04,12.11,0.22,19.31,51.5,0.84,52.93,11.62,14.2,11.37,0.11,-0.04,1.07,0.0,52.85
Bharat Rasayan,590021.0,BHARATRAS,INE838B01021,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,1435.8,54.3,2386.48,1241.84,199.12,16.03,16.03,15.21,1.91,2.8,11.25,0.0,13.34,924.04,22.4,385.41,96.76,330.56,8.95,-0.38,0.11,0.01,0.03,52.62
