Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adani Green,541450,ADANIGREEN,Power,931.25,151104.27,12268.00,9520.00,77.60,79.28,81.34,12.15,1.44,2.32,6.59,14.61,-10070.00,741.00,1540.00,395.00,101.00,3.46,0.46,-0.87,10.14,55.48
Addictive Learn,,LAWSIKHO,Other Consumer Services,144.60,230.05,74.86,17.47,23.34,23.34,23.57,2.97,0.13,11.53,0.00,13.45,-8.69,3.21,0.28,2.25,0.00,5.94,0.50,-0.87,0.00,67.76
All E Tech,,ALLETEC,IT - Software,302.15,610.17,140.90,30.64,21.75,21.89,20.57,4.23,0.44,17.76,0.00,22.42,138.38,10.73,17.40,4.96,0.00,8.38,0.64,0.18,0.01,52.27
Alphalogic Tech.,542770,,IT - Software,87.55,548.21,65.56,6.80,10.37,8.81,115.41,11.66,2.49,10.16,0.02,11.21,42.62,2.10,7.97,5.12,4.25,1.58,0.00,0.00,0.10,52.66
Arham Tech,,ARHAM,Consumer Durables,83.15,140.69,69.89,12.68,18.14,18.14,19.33,4.51,,12.33,0.83,26.43,24.06,0.20,15.53,8.42,42.24,7.07,0.00,0.00,2.21,54.56
Artificial Elect,526443,,IT - Software,92.44,156.83,31.77,3.21,10.10,11.49,47.96,4.96,0.27,10.06,0.00,17.78,5.81,1.16,24.73,22.60,0.00,2.84,0.00,0.00,0.00,79.02
Atishay,538713,,IT - Software,124.20,136.39,53.27,9.94,18.66,18.83,18.02,2.81,0.06,13.17,0.09,15.43,14.15,2.47,12.52,2.27,0.17,7.91,0.00,0.00,0.42,50.30
Atlantaa,532759,ATLANTAA,Construction,32.52,265.04,67.22,33.50,49.84,48.06,9.60,1.26,0.33,8.17,1.49,23.14,96.98,13.79,63.52,3.98,90.70,1.00,0.00,0.00,77.59,50.51
Autoline Industr,532797,AUTOIND,Auto Components,70.86,305.94,659.40,65.98,10.01,10.40,18.83,2.00,0.16,3.23,1.88,14.89,-165.13,7.17,126.71,88.73,67.22,9.19,-0.55,0.05,5.57,54.87
Balaxi Pharma,,BALAXI,Pharmaceuticals & Biotechnology,45.66,252.08,297.68,31.29,10.51,11.04,13.35,1.09,-0.70,8.85,0.23,11.61,188.24,-3.64,110.80,16.18,78.48,9.69,0.00,-7.15,2.07,64.17
Beacon Trust.,,BEACON,Capital Markets,59.60,107.67,25.85,7.25,28.05,28.05,19.83,2.40,1.37,13.83,0.00,16.96,5.35,1.30,5.48,0.38,0.00,7.21,0.00,-0.70,0.02,54.85
BEW Engg,,BEWLTD,Industrial Manufacturing,158.50,207.21,134.36,20.40,15.18,15.18,17.04,1.50,0.58,6.31,0.42,11.64,100.97,0.92,40.40,11.26,117.31,7.66,0.00,0.00,2.86,57.87
Bharat Road,540700,BRNL,Construction,20.20,169.58,401.39,218.86,54.53,52.49,1.01,0.51,0.03,6.53,1.31,54.19,-127.79,21.94,0.94,3.35,0.00,42.28,0.00,0.01,2.58,62.52
Bodhi Tree,543767,BTML,Entertainment,8.09,146.02,89.31,11.34,12.70,10.11,22.82,4.46,1.55,6.41,0.66,16.27,25.29,1.43,23.35,24.94,24.01,7.45,3.29,-0.19,1.73,58.60
CapitalNumbers,544343,,IT - Software,115.65,282.50,99.73,29.72,29.80,29.80,10.95,1.80,0.60,21.77,0.00,23.00,145.64,5.96,6.42,1.01,0.00,17.57,,,0.00,57.79
Cenlub Industrie,522251,,Industrial Manufacturing,314.00,146.42,68.25,10.24,15.00,15.85,18.28,2.27,2.13,10.65,0.07,14.83,5.75,2.76,16.34,6.34,8.85,8.22,0.00,0.00,0.37,51.84
Chemtech Indust.,537326,,Industrial Manufacturing,106.00,190.14,38.66,7.98,20.64,19.76,24.22,1.98,0.17,9.04,0.00,10.74,81.94,3.95,11.32,3.83,2.42,8.74,0.00,0.00,0.00,67.48
