Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
AAA Technologies,543671,AAATECH,Commercial Services & Supplies,79.30,101.72,26.12,3.53,13.51,14.14,28.98,3.30,2.00,11.33,0.00,11.94,29.59,1.62,7.69,0.00,0.00,5.97,0.00,0.00,0.00,50.70
Adani Green,541450,ADANIGREEN,Power,933.85,151526.15,12268.00,9520.00,77.60,79.28,81.57,12.19,1.45,2.32,6.59,14.61,-10070.00,741.00,1540.00,395.00,101.00,3.46,0.46,-0.87,10.14,55.36
Addictive Learn,,LAWSIKHO,Other Consumer Services,146.35,232.84,74.86,17.47,23.34,23.34,23.86,3.01,0.13,11.53,0.00,13.45,-8.69,3.21,0.28,2.25,0.00,5.87,0.50,-0.87,0.00,67.37
Akums Drugs,544222,AKUMS,Pharmaceuticals & Biotechnology,472.70,7440.01,4123.08,465.43,11.29,11.28,22.58,2.44,0.46,8.64,0.03,17.19,1380.85,89.00,770.30,642.78,680.93,5.49,1.46,-1.53,0.23,50.19
All E Tech,,ALLETEC,IT - Software,304.85,615.62,140.90,30.64,21.75,21.89,20.76,4.27,0.44,17.76,0.00,22.42,138.38,10.73,17.40,4.96,0.00,8.28,0.64,0.18,0.01,51.84
Alphalogic Tech.,542770,,IT - Software,86.91,544.20,65.56,6.80,10.37,8.81,114.57,11.58,2.48,10.16,0.02,11.21,42.62,2.10,7.97,5.12,4.25,1.60,0.00,0.00,0.10,53.01
Artificial Elect,526443,,IT - Software,95.88,162.67,31.77,3.21,10.10,11.49,49.75,5.15,0.28,10.06,0.00,17.78,5.81,1.16,24.73,22.60,0.00,2.74,0.00,0.00,0.00,78.24
Atishay,538713,,IT - Software,122.80,134.85,53.27,9.94,18.66,18.83,17.81,2.77,0.06,13.17,0.09,15.43,14.15,2.47,12.52,2.27,0.17,8.00,0.00,0.00,0.42,50.86
Autoline Industr,532797,AUTOIND,Auto Components,73.21,316.09,659.40,65.98,10.01,10.40,19.45,2.06,0.16,3.23,1.88,14.89,-165.13,7.17,126.71,88.73,67.22,9.03,-0.55,0.05,5.57,51.19
Balaxi Pharma,,BALAXI,Pharmaceuticals & Biotechnology,45.81,252.91,297.68,31.29,10.51,11.04,13.40,1.09,-0.70,8.85,0.23,11.61,188.24,-3.64,110.80,16.18,78.48,9.66,0.00,-7.15,2.07,64.06
Beacon Trust.,,BEACON,Capital Markets,56.35,101.80,25.85,7.25,28.05,28.05,18.75,2.27,1.30,13.83,0.00,16.96,5.35,1.30,5.48,0.38,0.00,7.64,0.00,-0.70,0.02,57.31
BEW Engg,,BEWLTD,Industrial Manufacturing,154.95,202.57,134.36,20.40,15.18,15.18,16.66,1.47,0.57,6.31,0.42,11.64,100.97,0.92,40.40,11.26,117.31,7.80,0.00,0.00,2.86,58.82
Bharat Road,540700,BRNL,Construction,20.01,167.98,401.39,218.86,54.53,52.49,1.00,0.51,0.03,6.53,1.31,54.19,-127.79,21.94,0.94,3.35,0.00,42.45,0.00,0.01,2.58,62.87
Bodhi Tree,543767,BTML,Entertainment,8.77,158.30,89.31,11.34,12.70,10.11,24.73,4.83,1.68,6.41,0.66,16.27,25.29,1.43,23.35,24.94,24.01,6.94,3.29,-0.19,1.73,55.12
CapitalNumbers,544343,,IT - Software,118.75,290.07,99.73,29.72,29.80,29.80,11.24,1.85,0.61,21.77,0.00,23.00,145.64,5.96,6.42,1.01,0.00,16.92,,,0.00,56.66
Chemtech Indust.,537326,,Industrial Manufacturing,104.55,187.53,38.66,7.98,20.64,19.76,23.89,1.96,0.17,9.04,0.00,10.74,81.94,3.95,11.32,3.83,2.42,8.92,0.00,0.00,0.00,67.93
