Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Addictive Learn,,LAWSIKHO,Other Consumer Services,E-Learning,124.30,197.76,75.39,19.62,26.02,30.64,22.68,2.40,0.13,11.21,0.00,13.08,-2.28,2.68,0.48,2.12,0.00,6.19,0.32,-1.46,0.00,68.21
All E Tech,,ALLETEC,IT - Software,Computers - Software & Consulting,232.25,469.01,138.34,30.32,21.92,21.99,15.45,3.02,0.33,18.15,0.00,22.39,136.31,12.39,19.01,8.19,0.00,12.31,0.00,-0.90,0.01,63.31
Alphalogic Tech.,542770,,IT - Software,Computers - Software & Consulting,63.38,396.86,63.57,7.83,12.32,9.09,80.83,7.99,1.70,10.42,0.10,11.49,45.54,1.79,15.13,8.85,2.29,2.32,0.00,0.00,0.53,56.29
Antelopus Selan,530075,ANTELOPUS,Oil,Oil Exploration & Production,405.50,1423.13,231.46,108.87,47.04,52.57,25.27,2.43,0.26,13.99,0.01,17.18,162.06,12.62,34.40,7.86,34.83,5.68,0.00,-2.21,0.05,57.18
Apollo Finvest,512437,,Finance,Non Banking Financial Company (NBFC),409.95,152.99,26.12,10.73,41.08,42.33,23.54,2.14,-1.39,8.09,0.30,11.44,-7.49,2.16,0.00,0.72,0.00,6.91,0.00,0.08,1.79,54.90
Artificial Elect,526443,,IT - Software,Software Products,158.45,268.82,61.20,15.64,25.56,11.49,20.99,6.41,0.12,10.06,0.00,17.78,40.55,1.44,49.72,48.37,4.95,6.37,0.00,0.00,0.00,64.04
BEW Engg,,BEWLTD,Industrial Manufacturing,Industrial Products,117.55,153.67,170.36,21.49,12.61,15.24,12.43,1.07,0.42,6.34,0.44,11.70,109.44,0.70,41.00,31.61,145.07,9.85,0.00,0.00,3.00,60.15
Bharat Road,540700,BRNL,Construction,Civil Construction,24.06,201.90,342.28,163.37,47.73,20.63,1.12,0.49,0.03,6.47,1.05,53.67,278.70,83.88,0.19,3.72,0.00,107.37,0.00,-0.01,2.34,55.35
Bodhi Tree,543767,BTML,Entertainment,Digital Entertainment,8.62,154.51,98.60,12.41,12.59,10.48,23.03,1.94,1.56,6.41,0.32,16.26,35.85,1.14,13.72,16.03,21.67,7.48,-0.01,0.06,1.96,51.46
CapitalNumbers,544343,,IT - Software,Computers - Software & Consulting,109.45,267.35,102.21,26.33,25.76,29.80,9.94,1.56,0.77,18.93,0.00,20.00,160.62,10.92,8.46,0.81,0.00,20.07,-0.87,-1.50,0.00,60.05
Ceinsys Tech,538734,,IT - Software,Computers - Software & Consulting,924.65,1649.68,574.23,113.89,19.83,19.19,17.00,3.53,0.19,13.91,0.16,19.46,336.03,27.68,172.91,132.63,0.84,8.29,0.03,-0.11,0.58,56.07
Cenlub Industrie,522251,,Industrial Manufacturing,Industrial Products,240.00,111.91,72.49,10.06,13.88,15.85,13.88,1.64,1.67,10.56,0.06,14.72,5.10,2.71,12.05,8.87,8.72,10.51,0.00,0.00,0.36,59.52
