Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aaradhya Dis.,,AARADHYA,INE124401014,"Paper, Forest & Jute Products",Paper & Paper Products,88.1,30.57,124.55,113.69,18.02,15.85,15.85,9.73,1.6,0.08,13.3,0.51,44.46,64.42,2.26,40.86,5.0,38.4,12.22,,,2.23,51.59
Adcounty Media.,544435.0,,INE0W1601012,Media,Web based media and service,119.3,51.92,268.41,77.23,21.92,28.38,26.49,15.23,2.82,0.17,35.51,0.01,47.28,75.9,2.58,44.68,7.37,0.0,10.54,-1.57,-0.84,0.03,57.7
All E Tech,,ALLETEC,INE0M2X01012,IT - Software,Computers - Software & Consulting,178.2,54.95,359.87,138.05,29.53,21.39,21.99,11.85,2.31,0.25,18.15,0.0,22.39,136.31,11.92,19.01,8.19,0.0,19.51,0.0,-0.9,0.01,62.52
Alphalogic Tech.,542770.0,,INE08E401029,IT - Software,Computers - Software & Consulting,62.8,75.06,393.19,52.43,8.54,16.29,9.09,78.0,7.96,1.64,10.42,0.1,11.49,45.54,1.87,15.13,8.85,2.29,2.52,0.0,0.0,0.5,50.18
Artificial Elect,526443.0,,INE072B01027,IT - Software,Software Products,115.7,52.77,320.13,108.21,33.32,30.79,11.49,12.6,7.38,0.07,10.06,0.0,17.78,40.55,1.47,49.72,48.37,4.95,10.41,0.0,0.0,0.0,69.38
Autoriders Intl.,512277.0,,INE340U01010,Transport Services,Logistics Solution Provider,374.9,39.94,130.5,96.93,27.5,28.37,28.79,13.42,2.42,0.34,10.0,0.34,19.99,3.26,1.28,18.24,4.98,0.0,11.01,0.0,0.0,1.16,63.64
AVP Infracon,,AVPINFRA,INE0R9401019,Construction,Civil Construction,104.7,54.17,261.52,369.67,74.84,20.25,20.28,6.01,1.65,0.06,12.64,1.14,30.2,79.37,4.14,85.02,20.02,81.79,19.28,0.1,-0.03,2.46,51.97
Basilic Fly Stud,,BASILIC,INE0OCC01013,Entertainment,Media & Entertainment,234.8,55.22,593.23,417.47,84.91,20.34,21.3,10.94,1.92,0.04,21.82,0.21,24.79,250.68,-2.26,112.05,9.89,0.0,15.3,-0.59,-0.03,0.84,53.94
Bemco Hydraulics,522650.0,,INE142E01022,Industrial Manufacturing,Industrial Products,87.9,57.41,384.43,98.56,21.94,22.26,20.29,26.12,5.13,0.89,9.71,0.21,19.89,20.5,1.27,26.86,16.54,29.84,5.71,0.0,0.0,0.74,53.29
BEW Engg,,BEWLTD,INE0HQI01014,Industrial Manufacturing,Industrial Products,86.1,47.2,112.58,170.36,21.49,12.61,15.24,9.12,0.76,0.31,6.34,0.44,11.7,109.44,0.7,41.0,31.61,145.07,12.49,0.0,0.0,3.0,64.1
Blue Jet Health,544009.0,BLUEJET,INE0KBH01020,Pharmaceuticals & Biotechnology,Pharmaceuticals,407.75,59.3,7073.03,1053.1,362.8,34.45,36.67,24.1,5.61,1.33,24.16,0.02,30.24,748.98,57.96,311.83,40.65,196.79,5.85,1.02,-0.69,0.05,60.34
C.E. Info System,543425.0,MAPMYINDIA,INE0BV301023,IT - Software,Software Products,935.15,45.9,5120.95,472.61,160.3,33.92,37.99,38.84,6.18,1.51,14.74,0.01,17.62,432.31,57.89,174.44,62.9,10.71,3.83,0.88,-0.73,0.05,56.84
Cenlub Industrie,522251.0,,INE627F01011,Industrial Manufacturing,Industrial Products,229.5,61.24,107.04,71.71,8.99,12.54,15.85,14.91,1.58,1.79,10.56,0.06,14.72,5.1,2.66,12.05,8.87,8.72,10.31,0.0,0.0,0.4,50.96
Clean Science,543318.0,CLEAN,INE227W01023,Chemicals & Petrochemicals,Specialty Chemicals,750.0,50.8,7970.82,863.6,368.98,42.73,43.31,29.3,5.16,3.43,19.65,0.0,21.88,468.31,38.94,145.65,69.96,104.64,4.75,0.79,-1.13,0.0,53.13
Cohance Life,543064.0,COHANCE,INE03QK01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,356.9,64.89,13653.86,2489.85,557.53,22.39,31.34,45.4,3.6,-2.8,8.86,0.12,12.67,1177.66,19.24,589.69,313.28,592.88,2.95,0.76,-0.5,1.09,71.45
Concord Biotech,543960.0,CONCORDBIO,INE338H01029,Pharmaceuticals & Biotechnology,Pharmaceuticals,1041.35,39.5,10894.2,1159.06,444.6,38.36,42.25,34.32,5.94,1.28,19.09,0.0,21.35,923.08,43.29,396.79,86.05,276.28,3.86,0.03,-0.45,0.0,51.57
Concord Enviro,544315.0,CEWATER,INE037Z01029,Other Utilities,Waste Management,324.65,55.99,671.92,558.81,67.98,12.17,15.66,12.06,1.26,0.26,6.98,0.3,12.03,371.38,18.69,179.31,145.7,201.33,11.38,-3.42,1.02,2.05,51.15
Credo Brands,544058.0,MUFTI,INE220Q01020,Retailing,Speciality Retail,79.35,52.06,518.71,583.01,153.78,26.38,29.29,11.06,1.24,0.42,9.36,0.58,18.41,303.28,8.11,269.01,22.75,105.25,12.18,1.03,0.0,2.71,58.02
De Neers Tools,,DENEERS,INE0JWV01011,Industrial Products,Iron & Steel Products,169.25,63.39,145.67,142.5,28.16,19.76,19.3,8.27,1.78,0.16,11.87,0.77,32.56,110.39,0.87,39.62,13.85,114.36,13.46,1.51,-0.77,2.23,54.84
Deepak Builders,544276.0,DBEIL,INE0OPA01019,Construction,Civil Construction,72.2,49.31,336.32,542.35,76.68,14.14,19.2,9.25,0.8,0.19,8.16,0.35,19.81,404.62,5.37,100.81,100.4,387.34,16.13,6.85,-0.07,2.02,61.1
Digitide Solutio,544413.0,DIGITIDE,INE0U4701011,IT - Services,IT Enabled Services,92.76,53.48,1382.25,3012.75,337.2,11.19,14.53,42.48,1.59,,,0.51,15.62,318.52,-60.66,409.33,66.02,0.0,9.54,-0.39,0.06,2.67,66.83
Earkart,544549.0,,INE1A8F01035,Healthcare Equipment & Supplies,Medical Equipment & Supplies,123.0,37.86,169.18,43.11,9.79,22.71,22.71,31.21,,0.11,27.78,0.09,41.77,61.57,0.09,22.1,4.28,3.55,7.52,,,0.59,53.75
Ecos (India),544239.0,ECOSMOBLTY,INE06HJ01020,Transport Services,Road Transport,138.05,50.99,828.3,753.68,95.12,12.62,14.5,13.98,3.58,0.16,17.86,0.03,28.31,171.07,10.64,92.92,87.09,0.0,10.29,0.74,-3.06,0.1,61.48
Ellen.Indl.Gas,544421.0,ELLEN,INE236E01022,Chemicals & Petrochemicals,Industrial Gases,246.1,59.1,3468.39,336.62,113.65,33.76,35.15,34.79,3.72,1.46,10.57,0.13,17.76,183.51,46.89,77.29,10.19,13.23,4.14,1.05,-0.37,0.86,61.41
EMS,543983.0,EMSLIMITED,INE0OV601013,Other Utilities,Waste Management,336.6,58.47,1869.14,882.57,186.86,21.17,26.31,14.26,1.84,0.43,17.21,0.16,20.69,705.51,11.47,398.78,27.78,102.46,10.44,0.0,0.2,0.88,51.6
Eppeltone Ene.,,EEPL,INE11HF01010,Electrical Equipment,Other Electrical Equipment,119.5,41.93,154.87,120.45,19.38,16.09,14.33,11.52,1.83,0.04,11.22,0.36,33.95,58.99,0.85,45.92,48.37,63.39,10.75,0.23,0.0,1.61,55.39
Espire Hospi,532016.0,,INE176O01011,Leisure Services,Hotels & Resorts,230.0,44.04,343.24,132.21,28.13,21.28,18.8,40.82,8.74,0.11,6.59,3.26,35.33,51.26,0.98,2.82,13.28,0.31,4.22,0.0,0.0,5.89,62.9
Galaxy Bearings,526073.0,,INE020S01012,Industrial Products,Abrasives & Bearings,475.0,49.61,151.06,76.64,8.63,11.26,18.52,23.7,1.42,24.43,9.88,0.25,13.63,66.43,4.21,39.33,7.02,23.5,6.35,0.0,-0.05,2.4,56.82
