Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Addictive Learn,,LAWSIKHO,Other Consumer Services,E-Learning,122.00,194.10,75.39,19.62,26.02,30.64,22.26,2.36,0.13,11.21,0.00,13.08,-2.28,2.68,0.48,2.12,0.00,6.31,0.32,-1.46,0.00,68.96
All E Tech,,ALLETEC,IT - Software,Computers - Software & Consulting,245.95,496.67,138.34,30.32,21.92,21.99,16.36,3.20,0.35,18.15,0.00,22.39,136.31,12.39,19.01,8.19,0.00,11.36,0.00,-0.90,0.01,61.15
Alphalogic Tech.,542770,,IT - Software,Computers - Software & Consulting,67.97,425.61,63.57,7.83,12.32,9.09,86.68,8.57,1.82,10.42,0.10,11.49,45.54,1.79,15.13,8.85,2.29,2.17,0.00,0.00,0.53,53.12
Apollo Finvest,512437,,Finance,Non Banking Financial Company (NBFC),431.45,161.02,26.12,10.73,41.08,42.33,24.77,2.26,-1.46,8.09,0.30,11.44,-7.49,2.16,0.00,0.72,0.00,6.60,0.00,0.08,1.79,52.54
Artificial Elect,526443,,IT - Software,Software Products,167.15,283.59,61.20,15.64,25.56,11.49,22.14,6.76,0.13,10.06,0.00,17.78,40.55,1.44,49.72,48.37,4.95,6.04,0.00,0.00,0.00,62.06
BEW Engg,,BEWLTD,Industrial Manufacturing,Industrial Products,124.50,162.76,170.36,21.49,12.61,15.24,13.17,1.13,0.45,6.34,0.44,11.70,109.44,0.70,41.00,31.61,145.07,9.45,0.00,0.00,3.00,57.80
Bharat Road,540700,BRNL,Construction,Civil Construction,24.30,203.59,342.28,163.37,47.73,20.63,1.13,0.49,0.03,6.47,1.05,53.67,278.70,83.88,0.19,3.72,0.00,106.33,0.00,-0.01,2.34,54.91
Bodhi Tree,543767,BTML,Entertainment,Digital Entertainment,8.58,154.35,98.60,12.41,12.59,10.48,23.00,1.93,1.56,6.41,0.32,16.26,35.85,1.14,13.72,16.03,21.67,7.49,-0.01,0.06,1.96,51.69
CapitalNumbers,544343,,IT - Software,Computers - Software & Consulting,114.95,280.79,102.21,26.33,25.76,29.80,10.43,1.63,0.81,18.93,0.00,20.00,160.62,10.92,8.46,0.81,0.00,18.65,-0.87,-1.50,0.00,58.05
Cenlub Industrie,522251,,Industrial Manufacturing,Industrial Products,245.80,114.61,72.49,10.06,13.88,15.85,14.22,1.68,1.71,10.56,0.06,14.72,5.10,2.71,12.05,8.87,8.72,10.27,0.00,0.00,0.36,58.54
Chavda Infra Ltd,,CHAVDA,Construction,Civil Construction,85.20,210.07,250.28,59.78,23.89,21.59,10.65,1.75,0.18,6.77,1.40,20.27,121.45,2.00,103.28,74.94,92.19,11.66,-0.50,-0.16,3.92,54.19
Chemtech Indust.,537326,,Industrial Manufacturing,Industrial Products,96.60,173.27,35.27,6.43,18.23,19.83,23.04,1.74,0.16,9.04,0.00,10.74,74.60,5.22,4.40,2.78,3.10,10.02,0.05,0.00,0.00,62.49
Chetana Educa.,,CHETANA,Printing & Publication,Printing & Publication,60.25,122.91,102.93,19.42,18.87,22.72,9.56,1.39,,12.58,0.06,25.94,83.44,0.23,67.63,1.98,20.78,14.65,-1.40,0.94,0.26,53.29
Cohance Life,543064,COHANCE,Pharmaceuticals & Biotechnology,Pharmaceuticals,589.30,22546.62,2252.45,579.88,25.74,31.34,65.64,5.95,-4.05,8.86,0.12,12.67,1177.66,33.65,589.69,313.28,592.88,2.07,9.41,-0.72,0.95,56.67
Concord Enviro,544315,CEWATER,Other Utilities,Waste Management,415.30,859.10,557.05,67.94,12.20,15.66,16.43,1.56,0.36,6.98,0.30,12.03,371.38,17.72,179.31,145.70,201.33,8.33,-0.90,-0.01,2.14,51.71
Credo Brands,544058,MUFTI,Retailing,Speciality Retail,100.61,657.44,592.40,167.91,28.34,29.29,11.47,1.58,0.43,9.36,0.58,18.41,303.28,7.88,269.01,22.75,105.25,11.69,-1.29,-0.04,2.36,52.95
Danlaw Tech.,532329,,Industrial Manufacturing,Industrial Products,854.00,415.96,237.35,34.83,14.67,14.74,20.90,4.85,0.17,13.19,0.37,28.31,68.49,1.00,49.89,28.61,36.47,6.85,0.00,0.00,1.09,52.73
De Neers Tools,,DENEERS,Industrial Products,Iron & Steel Products,145.60,125.31,142.50,28.16,19.76,19.30,7.10,1.53,0.13,11.87,0.77,32.56,110.39,0.87,39.62,13.85,114.36,15.03,1.51,-0.77,2.23,61.15
DJ Mediaprint,543193,DJML,Transport Services,Logistics Solution Provider,77.07,253.96,91.57,18.14,19.81,21.84,33.77,3.58,1.14,8.13,0.23,13.49,50.19,0.22,29.34,2.43,27.56,4.43,-0.03,-0.16,1.36,63.66
Dynamic Services,,DYNAMIC,Commercial Services & Supplies,Diversified Commercial Services,113.95,156.63,347.25,49.12,14.15,13.61,6.85,0.80,0.07,7.60,0.76,12.47,108.40,2.21,111.92,15.46,48.32,17.87,0.00,-0.05,2.98,71.82
Easy Trip Plann.,543272,EASEMYTRIP,Leisure Services,"Tour, Travel Related Services",7.39,2684.06,522.18,64.87,12.42,24.74,49.64,3.11,110.31,10.70,0.04,16.21,410.27,-19.97,257.93,106.18,2.87,2.71,0.01,-2.09,0.51,61.13
Eco Recyc.,530643,,Other Utilities,Waste Management,520.45,1004.30,43.35,25.83,59.58,70.66,48.99,9.92,0.35,23.12,0.07,84.05,43.87,3.71,12.82,2.05,10.66,2.84,-0.04,-0.02,0.24,50.11
Edvenswa Enter,517170,,IT - Software,Computers - Software & Consulting,35.99,105.15,140.55,15.54,11.06,13.30,7.88,0.77,0.13,11.24,0.00,12.99,68.33,0.05,9.98,2.53,0.00,15.93,0.00,0.00,0.00,51.82
Electrost.Cast.,500128,ELECTCAST,Industrial Products,Iron & Steel Products,75.33,4654.36,6433.74,677.61,10.53,14.34,9.39,0.79,0.34,7.62,0.38,13.15,1971.69,201.01,1283.78,601.47,2730.56,11.50,0.04,-1.01,3.08,56.01
