Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Kimia Bioscien.,530313,,Pharmaceuticals & Biotechnology,Pharmaceuticals,33.18,156.98,125.92,18.23,14.48,17.03,19.19,13.56,0.29,9.10,3.11,186.78,-6.20,1.38,28.18,47.87,34.65,8.32,0.00,0.00,2.26,61.80
KNR Construct.,532942,KNRCON,Construction,Civil Construction,172.63,4854.95,3082.53,852.58,27.66,33.86,7.04,1.02,0.16,17.05,0.49,27.24,2574.81,54.70,874.47,261.32,158.57,13.70,-3.59,0.46,2.43,51.89
Kore Digital,,KDL,Telecom - Services,Telecom - Infrastructure,171.55,206.27,493.81,72.86,14.75,14.49,4.26,1.58,,16.13,0.05,35.48,72.22,0.11,224.09,151.17,13.59,31.07,-0.14,0.00,0.10,74.67
Lagnam Spintex,,LAGNAM,Textiles & Apparels,Other Textile Products,70.99,125.43,583.78,66.81,11.44,10.81,9.47,1.04,-0.40,2.34,3.21,11.26,13.52,0.32,67.43,14.55,118.20,9.80,0.00,0.00,7.72,52.31
Lakshya Powertec,,LAKSHYA,Construction,Civil Construction,133.80,134.92,182.10,23.29,12.79,14.15,8.84,1.34,0.06,13.54,0.57,25.41,92.16,1.16,60.13,22.83,55.87,12.61,-1.44,-0.19,2.43,64.08
Manoj Ceramic,544073,,Consumer Durables,Ceramics,102.05,139.88,179.73,24.48,13.62,13.76,11.45,0.99,0.10,7.31,0.45,16.23,139.71,0.23,99.55,16.61,58.93,12.61,0.00,3.12,2.39,55.33
Maruti Interior,543464,,Consumer Durables,Houseware,94.69,142.98,57.62,9.90,17.18,19.02,24.36,3.71,1.41,10.64,0.18,14.45,13.50,0.26,11.43,4.20,9.53,5.81,0.00,0.00,0.81,58.74
Mehai Technology,540730,,Commercial Services & Supplies,Trading & Distributors,2.94,217.87,147.63,17.41,11.79,11.09,23.66,1.55,0.12,7.49,0.36,10.63,52.89,0.65,34.28,5.74,23.67,6.56,0.00,0.00,2.97,84.74
Meta Infotech,544441,,IT - Services,IT Enabled Services,117.30,221.48,218.82,25.11,11.48,11.48,16.44,3.04,0.23,23.82,0.44,42.60,44.02,-1.11,198.77,142.72,23.43,9.72,,,1.35,53.08
Mishtann Foods,539594,,Food Products,Packaged Foods,5.06,545.27,1426.65,339.17,23.77,24.64,1.63,0.47,,36.46,0.04,44.10,1189.15,0.14,1869.49,619.87,3.11,57.42,0.00,0.00,0.14,68.14
Multibase India,526169,,Chemicals & Petrochemicals,Specialty Chemicals,234.70,296.19,68.39,13.00,19.01,20.98,25.51,3.54,0.79,12.60,0.00,13.78,71.70,3.75,13.01,6.11,12.11,6.53,0.00,0.00,0.00,62.25
Owais Metal,,OWAIS,Ferrous Metals,Ferro & Silica Manganese,414.50,753.66,230.90,66.74,28.90,30.93,14.94,5.50,,34.54,0.21,55.32,108.67,-2.02,116.08,21.13,45.25,8.44,-0.05,-0.02,0.43,67.46
Par Drugs & Che.,,PAR,Pharmaceuticals & Biotechnology,Pharmaceuticals,94.11,115.80,98.42,13.48,13.70,19.31,11.95,1.09,1.09,11.38,0.00,13.62,44.92,3.38,17.63,9.02,5.28,16.10,0.00,0.00,0.00,72.99
PMC Fincorp,534060,,Finance,Non Banking Financial Company (NBFC),1.87,133.16,20.28,17.16,84.62,93.31,12.46,0.75,0.13,8.05,0.26,10.10,45.95,0.00,0.00,0.00,0.40,12.86,0.00,0.00,2.72,55.16
Prakash Pipes,542684,PPL,Industrial Products,Plastic Products - Industrial,261.40,625.23,759.86,85.02,11.19,15.56,11.78,1.37,0.56,15.49,0.03,20.50,319.07,5.07,88.63,41.48,76.80,19.42,0.00,-0.46,0.16,54.47
Premier Polyfilm,514354,PREMIERPOL,Industrial Products,Plastic Products - Industrial,39.26,411.22,272.69,41.32,15.15,14.29,15.65,3.12,0.41,17.57,0.00,24.45,69.94,0.00,34.05,9.55,31.53,8.94,0.00,-0.02,0.00,54.12
Pudumjee Paper,539785,PDMJEPAPER,"Paper, Forest & Jute Products",Paper & Paper Products,105.32,1000.01,787.35,111.25,14.13,15.43,10.92,1.58,0.39,12.18,0.02,16.74,311.89,28.23,78.26,65.18,143.40,12.63,0.00,-0.17,0.09,54.64
Rajoo Engineers,522257,RAJOOENG,Industrial Manufacturing,Industrial Products,81.27,1452.09,323.30,67.20,20.79,18.37,26.94,4.44,0.74,13.72,0.05,26.12,101.69,8.12,21.93,49.89,141.68,5.31,2.10,2.22,0.25,73.57
Raymond Realty,544420,RAYMONDREL,Realty,"Residential, Commercial Projects",524.10,3489.13,565.18,61.03,10.80,10.80,48.27,2.60,,1.65,0.42,72.31,2674.02,2.12,103.10,520.26,2367.27,1.59,-1.84,-4.33,9.25,50.33
Refractory Shap.,,REFRACTORY,Industrial Products,Electrodes & Refractories,56.55,123.28,69.67,12.73,18.27,17.56,16.66,2.49,0.59,10.05,0.42,18.54,24.54,0.72,19.54,9.06,21.41,7.83,0.00,0.00,1.89,50.83
Revathi Equip,544246,RVTH,Industrial Manufacturing,Industrial Products,819.90,251.46,151.89,17.93,11.80,16.82,24.06,1.98,1.34,8.49,0.42,17.37,74.03,11.94,7.97,22.77,63.33,9.07,0.00,0.00,1.94,62.65
RMC Switchgears,540358,,Electrical Equipment,Other Electrical Equipment,554.90,584.13,406.48,65.97,16.23,16.67,14.37,4.62,0.05,14.83,0.59,37.54,94.01,1.85,91.50,56.81,28.22,9.88,0.21,-0.22,1.16,54.29
Rockingdeals Cir,,ROCKINGDCE,Commercial Services & Supplies,Trading & Distributors,212.00,179.96,83.60,13.72,16.41,19.01,24.48,3.95,0.10,11.52,0.21,14.40,28.01,0.12,12.70,2.43,28.11,5.59,0.00,0.00,0.91,62.65
Route Mobile,543228,ROUTE,Telecom - Services,Other Telecom Services,689.25,4342.11,4529.04,481.56,10.63,11.56,14.79,1.72,0.57,9.55,0.01,14.48,1651.09,-101.73,968.51,595.32,0.00,13.59,-0.67,-0.62,0.05,54.21
Sanjiv.Parant.,531569,,Pharmaceuticals & Biotechnology,Pharmaceuticals,189.15,232.36,68.92,10.05,14.58,14.78,31.15,5.18,1.67,14.95,0.15,24.58,25.18,0.94,13.03,2.19,5.99,4.33,-0.13,0.00,0.65,52.35
Shivalic Power,,SPCL,Electrical Equipment,Other Electrical Equipment,87.80,211.74,133.07,17.08,12.84,14.22,19.04,1.79,0.21,11.33,0.04,16.12,101.77,1.37,41.99,14.53,61.61,8.35,-2.07,-0.21,0.27,68.53
Shradha Infrapr.,,SHRADHA,Realty,"Residential, Commercial Projects",43.75,354.36,110.26,31.41,28.49,26.77,17.96,2.21,0.12,5.41,1.15,12.73,198.07,10.88,46.80,11.86,240.37,7.77,0.00,0.00,4.83,50.90
Sterling Tools,530759,STERTOOLS,Auto Components,Auto Components & Equipments,303.15,1096.93,860.63,91.00,10.57,10.72,26.26,2.07,0.81,7.77,0.32,12.28,203.30,23.11,94.13,61.30,145.32,5.81,-0.70,0.10,2.52,59.27
Suraj Estate,544054,SURAJEST,Realty,"Residential, Commercial Projects",284.85,1360.82,583.36,190.23,32.61,36.91,14.69,1.42,0.26,6.53,0.57,13.98,1398.64,4.19,67.73,46.18,909.27,10.13,-0.52,-0.48,2.89,61.01
Suratwwala Busi.,543218,SBGLP,Realty,"Residential, Commercial Projects",33.08,573.66,66.58,26.29,39.49,39.83,28.38,6.99,0.66,6.81,0.79,16.75,107.45,2.01,14.48,22.01,142.57,4.29,0.00,0.00,2.39,76.35
Suyog Gurbaxani,543391,,Construction,Civil Construction,110.25,274.11,57.39,23.70,41.30,33.05,19.25,8.89,0.40,6.77,5.24,43.19,138.75,0.01,1.28,9.08,0.96,4.73,0.00,0.00,9.45,59.84
Suyog Telematics,537259,SUYOG,Telecom - Services,Telecom - Infrastructure,672.55,752.56,202.71,121.27,59.82,57.19,20.34,1.73,-30.36,6.90,0.54,11.61,94.76,4.41,60.89,19.57,7.16,7.39,-0.09,-1.80,3.24,65.84
Swastika Investm,530585,,Capital Markets,Stockbroking & Allied,89.41,179.70,115.91,24.91,21.49,25.21,13.89,1.38,0.55,5.64,0.05,20.72,57.87,0.67,26.21,224.10,2.45,-48.66,0.00,0.00,0.22,57.92
Systematix Corp.,526506,SYSTMTXC,Capital Markets,Stockbroking & Allied,151.89,2073.88,166.79,59.19,35.49,38.30,44.28,6.41,1.16,12.54,0.06,20.43,246.49,9.55,31.11,76.51,0.00,3.57,0.00,-0.03,0.31,54.78
TBI Corn,,TBI,Agricultural Food & other Products,Other Agricultural Products,92.65,168.24,254.32,28.91,11.37,11.26,10.28,1.51,,9.68,0.78,18.90,88.97,1.88,59.95,0.74,73.03,11.64,-0.61,-0.02,3.13,58.36
Trident Techlabs,,TECHLABS,IT - Software,Computers - Software & Consulting,433.25,748.70,119.00,29.45,24.75,24.53,38.55,12.89,0.24,12.09,0.22,21.96,55.20,0.73,63.36,11.60,2.32,3.81,-2.34,-0.18,0.44,74.06
Trust Fintech,,TRUST,IT - Software,Software Products,56.85,135.45,34.86,9.86,28.28,31.32,16.64,1.18,0.19,10.55,0.00,11.57,69.88,4.07,20.23,1.50,0.77,8.68,-0.71,-0.01,0.00,70.70
Upsurge Invest.,531390,,Finance,Non Banking Financial Company (NBFC),83.36,167.32,99.66,12.70,12.74,17.58,15.65,1.49,0.84,19.53,0.23,20.45,64.89,2.20,0.17,0.00,32.89,9.07,0.00,0.00,1.75,58.48
Urban Enviro,,URBAN,Other Utilities,Waste Management,164.10,142.11,155.77,25.69,16.49,17.76,12.13,3.47,0.14,13.12,0.71,38.31,36.95,0.65,52.25,5.23,0.00,11.05,0.00,-0.02,1.55,52.79
Vedant Fashions,543463,MANYAVAR,Retailing,Speciality Retail,626.20,15214.71,1423.06,639.31,44.93,46.35,39.47,8.84,5.27,14.35,0.27,22.26,990.30,90.20,643.38,59.97,186.48,3.63,-0.15,-0.12,0.81,58.58
Vertoz,,VERTOZ,Media,Advertising & Media Agencies,70.62,601.89,274.13,41.09,14.99,15.00,21.97,2.63,0.37,10.65,0.08,13.99,108.61,6.36,56.03,37.23,0.00,5.44,0.00,-0.62,0.55,59.04
Wendt India,505412,WENDT,Industrial Products,Abrasives & Bearings,8280.00,1656.00,237.75,43.33,18.23,22.73,60.02,6.66,6.04,12.37,0.00,15.11,134.84,7.03,51.93,24.28,45.31,2.31,0.46,-0.54,0.01,54.09
