Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adcounty Media.,544435,,Media,Web based media and service,108.00,26.13,243.01,72.73,19.67,27.05,26.49,15.44,2.56,0.17,35.51,0.01,47.28,75.90,2.20,44.68,7.37,0.00,10.38,3.90,0.95,0.04,61.70
Addictive Learn,,ADDICTIVE,Other Consumer Services,E-Learning,121.35,51.84,193.06,75.39,19.62,26.02,30.64,22.14,2.35,0.12,11.21,0.00,13.08,-2.28,2.68,0.48,2.12,0.00,6.35,0.32,-1.46,0.00,67.20
All E Tech,,ALLETEC,IT - Software,Computers - Software & Consulting,217.35,41.53,438.92,138.34,30.32,21.92,21.99,14.46,2.83,0.31,18.15,0.00,22.39,136.31,12.39,19.01,8.19,0.00,13.55,0.00,-0.90,0.01,59.66
Alphalogic Tech.,542770,,IT - Software,Computers - Software & Consulting,61.72,39.38,386.44,63.57,7.83,12.32,9.09,78.70,7.78,1.66,10.42,0.10,11.49,45.54,1.79,15.13,8.85,2.29,2.39,0.00,0.00,0.53,56.43
Antelopus Selan,530075,ANTELOPUS,Oil,Oil Exploration & Production,419.90,46.95,1476.47,231.46,108.87,47.04,52.57,26.22,2.51,0.27,13.99,0.01,17.18,162.06,12.62,34.40,7.86,34.83,5.47,0.00,-2.21,0.05,52.23
Apollo Finvest,512437,,Finance,Non Banking Financial Company (NBFC),409.75,47.60,152.95,26.12,10.73,41.08,42.33,23.53,2.14,-1.39,8.09,0.30,11.44,-7.49,2.16,0.00,0.72,0.00,6.91,0.00,0.08,1.79,53.31
Artificial Elect,526443,,IT - Software,Software Products,135.30,36.78,229.55,61.20,15.64,25.56,11.49,17.92,5.47,0.10,10.06,0.00,17.78,40.55,1.44,49.72,48.37,4.95,7.47,-0.01,0.00,0.00,65.37
Atmastco Ltd,,ATMASTCO,Construction,Civil Construction,137.55,20.94,340.23,272.00,39.93,14.68,15.37,19.82,2.43,0.24,5.58,0.62,16.78,114.64,0.44,95.19,84.71,145.97,9.04,-0.36,0.00,2.38,54.27
AVP Infracon,,AVPINFRA,Construction,Civil Construction,123.60,37.66,308.74,369.67,74.84,20.25,20.28,7.10,1.94,0.07,12.64,1.14,30.20,79.37,4.14,85.02,20.02,81.79,16.69,0.10,-0.03,2.46,53.23
BEW Engg,,BEWLTD,Industrial Manufacturing,Industrial Products,119.00,45.58,155.57,170.36,21.49,12.61,15.24,12.59,1.08,0.43,6.34,0.44,11.70,109.44,0.70,41.00,31.61,145.07,9.77,0.00,0.00,3.00,56.35
Bharat Road,540700,BRNL,Construction,Civil Construction,22.09,38.31,185.45,342.28,163.37,47.73,20.63,1.03,0.45,0.03,6.47,1.05,53.67,278.70,83.88,0.19,3.72,0.00,118.67,0.00,-0.01,2.34,59.01
Bodhi Tree,543767,BTML,Entertainment,Digital Entertainment,8.19,46.09,147.83,98.60,12.41,12.59,10.48,22.03,1.84,1.49,6.41,0.32,16.26,35.85,1.14,13.72,16.03,21.67,7.77,-0.01,0.06,1.96,53.89
CapitalNumbers,544343,,IT - Software,Computers - Software & Consulting,101.45,30.45,247.81,102.21,26.33,25.76,29.80,9.21,1.44,0.71,18.93,0.00,20.00,160.62,10.92,8.46,0.81,0.00,22.54,-0.87,-1.50,0.00,62.97
Captain Techno.,540652,,Industrial Manufacturing,Industrial Products,148.00,35.80,343.66,113.70,16.60,14.60,12.71,30.90,7.31,0.72,15.80,0.48,25.03,11.04,1.73,29.26,17.43,10.47,4.53,0.00,0.00,1.37,54.04
Cenlub Industrie,522251,,Industrial Manufacturing,Industrial Products,236.30,49.65,110.18,72.49,10.06,13.88,15.85,13.67,1.62,1.64,10.56,0.06,14.72,5.10,2.71,12.05,8.87,8.72,10.68,0.00,0.00,0.36,56.63
Chatterbox Tech,544546,,Media,Advertising & Media Agencies,75.45,29.18,106.71,68.14,13.52,19.84,20.02,10.89,,0.08,27.75,0.00,41.77,27.49,0.19,18.15,15.35,0.00,14.33,,,0.00,51.87
