Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adani Green,541450,ADANIGREEN,Power,924.15,149952.23,12268.00,9520.00,77.60,79.28,81.51,12.06,1.44,2.32,6.59,14.61,-10070.00,741.00,1540.00,395.00,101.00,3.48,0.46,-0.87,10.14,55.82
Addictive Learn,,LAWSIKHO,Other Consumer Services,146.05,232.36,74.86,17.47,23.34,23.34,23.81,3.00,0.13,11.53,0.00,13.45,-8.69,3.21,0.28,2.25,0.00,5.88,0.50,-0.87,0.00,67.44
Akums Drugs,544222,AKUMS,Pharmaceuticals & Biotechnology,487.60,7674.53,4123.08,465.43,11.29,11.28,23.29,2.52,0.47,8.64,0.03,17.19,1380.85,89.00,770.30,642.78,680.93,5.31,1.46,-1.53,0.23,58.53
All E Tech,,ALLETEC,IT - Software,293.75,593.20,140.90,30.64,21.75,21.89,20.00,4.11,0.41,17.76,0.00,22.42,138.38,10.73,17.40,4.96,0.00,8.69,0.64,0.18,0.01,53.59
Alphalogic Tech.,542770,,IT - Software,83.98,525.86,65.56,6.80,10.37,8.81,110.71,11.19,2.39,10.16,0.02,11.21,42.62,2.10,7.97,5.12,4.25,1.65,0.00,0.00,0.10,62.68
Apollo Finvest,512437,,Finance,520.05,194.08,28.08,11.18,39.81,42.04,27.07,2.88,-1.57,8.01,0.45,11.33,0.23,2.15,0.00,0.72,0.00,5.67,0.00,0.00,2.46,50.42
Arham Tech,,ARHAM,Consumer Durables,74.20,125.55,69.89,12.68,18.14,18.14,17.25,4.03,,12.33,0.83,26.43,24.06,0.20,15.53,8.42,42.24,7.78,0.00,0.00,2.21,59.45
Artificial Elect,526443,,IT - Software,94.84,160.90,31.77,3.21,10.10,11.49,49.20,5.09,0.28,10.06,0.00,17.78,5.81,1.16,24.73,22.60,0.00,2.77,0.00,0.00,0.00,78.47
Atam Valves,543236,ATAM,Industrial Manufacturing,89.88,103.03,61.38,10.57,17.22,16.46,15.59,2.83,0.23,12.14,0.33,18.66,34.10,0.05,22.00,2.80,27.59,8.69,0.00,-0.15,1.21,53.19
Autoline Industr,532797,AUTOIND,Auto Components,70.79,305.64,659.40,65.98,10.01,10.40,18.83,2.00,0.16,3.23,1.88,14.89,-165.13,7.17,126.71,88.73,67.22,9.20,-0.55,0.05,5.57,54.91
Balaxi Pharma,,BALAXI,Pharmaceuticals & Biotechnology,48.75,269.14,297.68,31.29,10.51,11.04,14.26,1.16,-0.74,8.85,0.23,11.61,188.24,-3.64,110.80,16.18,78.48,9.11,0.00,-7.15,2.07,61.75
Beacon Trust.,,BEACON,Capital Markets,58.20,105.14,25.85,7.25,28.05,28.05,19.36,2.34,1.34,13.83,0.00,16.96,5.35,1.30,5.48,0.38,0.00,7.39,0.00,-0.70,0.02,55.91
BEW Engg,,BEWLTD,Industrial Manufacturing,157.30,205.64,134.36,20.40,15.18,15.18,16.91,1.49,0.58,6.31,0.42,11.64,100.97,0.92,40.40,11.26,117.31,7.71,0.00,0.00,2.86,58.19
Bharat Road,540700,BRNL,Construction,18.49,155.22,401.39,218.86,54.53,52.49,0.95,0.47,0.03,6.53,1.31,52.27,-127.79,21.94,0.94,3.35,0.00,43.86,0.00,0.01,2.58,65.76
Bodhi Tree,543767,BTML,Entertainment,8.32,150.17,89.10,9.01,10.11,10.11,30.77,4.58,2.09,6.41,0.66,16.27,25.29,0.66,23.35,24.94,24.01,5.45,3.29,-0.19,2.31,57.42
CapitalNumbers,544343,,IT - Software,108.45,264.91,99.73,29.72,29.80,29.80,10.27,1.69,0.56,21.77,0.00,23.00,145.64,5.96,6.42,1.01,0.00,19.32,,,0.00,60.42
Chemtech Indust.,537326,,Industrial Manufacturing,110.95,199.01,38.66,7.98,20.64,19.76,25.35,2.08,0.18,9.04,0.00,10.74,81.94,3.95,11.32,3.83,2.42,8.16,0.00,0.00,0.00,65.97
Dam Capital Advi,544316,DAMCAPITAL,Capital Markets,222.20,1570.64,250.18,146.53,58.57,58.57,15.13,5.95,0.22,33.74,0.01,48.67,155.38,-0.04,24.77,0.24,0.00,10.48,-0.85,-1.49,0.03,51.37
Danlaw Tech.,532329,,Industrial Manufacturing,955.25,465.27,226.35,32.82,14.50,14.57,24.59,6.06,0.20,13.10,0.46,28.11,59.46,1.04,49.07,26.00,36.86,5.79,0.00,0.00,1.28,57.71
DCG Cables,,DCG,Industrial Products,74.50,135.21,127.56,16.04,12.57,12.57,16.69,1.71,0.09,7.92,0.44,15.69,40.39,1.12,13.28,0.86,36.48,8.64,0.00,0.00,2.42,51.15
Delaplex,,DELAPLEX,IT - Software,137.80,125.54,55.76,10.87,19.49,19.49,12.14,1.74,0.64,14.82,0.00,15.10,32.54,3.31,26.56,0.20,0.00,11.31,0.00,0.00,0.00,53.21
Delta Auto.,,DELTIC,Automobiles,68.05,104.05,83.19,10.99,13.21,13.21,12.39,1.42,,14.25,0.05,18.49,71.46,0.82,16.61,3.86,18.26,15.33,,,0.34,62.97
Dolat Algotech,505526,DOLATALGO,Capital Markets,88.23,1552.85,488.78,302.49,61.89,65.62,8.51,1.55,0.97,20.82,0.07,24.00,532.94,0.70,0.00,0.00,0.00,18.71,0.01,-0.01,0.22,52.69
DRC Systems,543268,DRCSYSTEMS,IT - Software,17.44,233.16,68.31,21.89,32.05,31.72,14.97,3.61,0.08,16.94,0.00,26.83,-2.60,0.54,9.74,2.09,0.00,7.56,0.00,0.01,0.01,50.31
Dynamic Services,,DYNAMIC,Commercial Services & Supplies,154.85,212.86,274.74,36.48,13.28,13.28,12.54,1.15,0.13,7.63,0.64,12.54,91.91,2.10,89.52,13.71,27.97,11.78,0.00,0.00,3.15,61.70
Easy Trip Plann.,543272,EASEMYTRIP,Leisure Services,8.86,3140.06,587.32,145.29,24.74,24.74,29.25,4.36,65.00,10.66,0.05,16.21,485.31,15.93,296.19,130.95,2.07,4.90,-0.43,-1.15,0.25,60.09
Eco Recyc.,530643,,Other Utilities,597.75,1153.46,41.80,27.85,66.63,70.47,50.93,13.12,0.71,24.46,0.08,30.41,29.69,4.68,7.62,1.26,11.85,2.72,0.06,-0.19,0.23,50.81
Ecos (India),544239,ECOSMOBLTY,Transport Services,283.35,1700.10,660.01,90.99,13.79,14.27,29.41,7.82,0.33,18.58,0.07,29.45,159.80,9.97,78.84,68.62,0.00,4.63,0.10,0.11,0.18,52.27
Edvenswa Enter,517170,,IT - Software,43.45,126.94,119.47,15.89,13.30,13.30,10.82,0.99,0.18,11.24,0.00,12.99,63.30,-0.03,9.97,3.04,0.00,14.65,0.00,0.00,0.00,51.89
Electrost.Cast.,500128,ELECTCAST,Industrial Products,99.48,6149.70,6865.75,852.43,12.42,14.34,10.74,1.06,0.39,7.62,0.37,13.15,1780.49,127.00,1482.74,556.53,2463.97,10.27,-0.42,0.21,2.57,57.96
Emerald Finance,538882,,Finance,76.39,263.85,23.88,16.98,71.11,69.59,25.42,3.12,0.48,10.42,0.18,13.53,100.89,0.10,2.11,0.00,0.00,6.49,0.00,-3.40,0.92,54.43
Energy-Mission,,EMMIL,Industrial Manufacturing,202.25,229.08,150.49,21.27,14.13,14.13,18.22,2.70,0.33,10.50,0.29,21.05,52.26,0.46,17.01,14.18,69.52,7.60,2.34,-0.06,1.30,65.22
Forbes Precision,544186,,Industrial Manufacturing,166.15,857.24,233.30,49.84,21.36,22.01,30.92,5.16,,12.65,0.14,18.84,14.39,5.04,33.04,23.42,31.93,4.67,0.00,-0.16,0.55,55.06
Frog Cellsat,,FROG,Telecom -  Equipment & Accessories,218.10,338.69,219.35,35.42,16.15,16.15,14.38,2.14,0.74,12.24,0.13,16.24,77.59,2.81,79.08,29.89,39.13,9.63,0.00,0.28,0.59,52.38
G M Polyplast,543239,,Industrial Products,88.48,119.09,96.16,11.70,12.17,12.17,16.01,3.04,0.76,16.52,0.02,20.97,31.99,0.08,21.12,4.31,13.75,8.84,0.00,0.00,0.08,53.42
Gem Enviro,544199,,Other Utilities,68.00,153.34,59.20,7.35,12.42,12.42,25.18,3.13,-3.87,12.12,0.00,14.67,46.59,0.83,29.21,9.09,6.58,5.66,-0.94,-0.01,0.00,70.17
Gensol Engineer.,542851,GENSOL,Electrical Equipment,41.76,158.70,1451.84,329.58,22.70,23.86,1.84,0.27,0.01,3.16,2.33,20.10,224.48,3.86,308.51,167.81,3.88,23.09,0.14,4.25,4.66,95.88
Geojit Fin. Ser.,532285,GEOJITFSL,Capital Markets,72.84,2033.13,720.00,256.35,35.60,38.09,13.49,1.75,3.74,8.50,0.13,16.83,725.61,1.43,114.51,48.44,0.00,19.56,0.67,0.11,0.69,54.30
Go Fashion (I),543401,GOCOLORS,Retailing,690.10,3727.16,850.90,264.52,31.09,31.95,42.79,5.34,1.11,7.65,0.73,14.32,473.33,24.81,105.73,31.56,245.06,4.08,1.31,-2.02,3.11,50.98
