Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adcounty Media.,544435,,Media,Web based media and service,109.25,22.64,245.83,72.73,19.67,27.05,26.49,15.62,2.59,0.17,35.51,0.01,47.28,75.90,2.20,44.68,7.37,0.00,10.24,3.90,0.95,0.04,61.26
Addictive Learn,,ADDICTIVE,Other Consumer Services,E-Learning,110.00,34.58,175.01,75.39,19.62,26.02,30.64,20.07,2.13,0.11,11.21,0.00,13.08,-2.28,2.68,0.48,2.12,0.00,7.02,0.32,-1.46,0.00,70.27
Adit.Birla Money,532974,BIRLAMONEY,Capital Markets,Stockbroking & Allied,146.71,34.73,829.05,424.71,206.41,48.60,50.53,14.63,3.10,0.35,3.24,6.58,37.21,385.08,10.81,34.66,20.78,0.00,11.62,0.00,0.04,8.53,51.70
All E Tech,,ALLETEC,IT - Software,Computers - Software & Consulting,218.75,42.65,441.75,138.34,30.32,21.92,21.99,14.55,2.84,0.31,18.15,0.00,22.39,136.31,12.39,19.01,8.19,0.00,13.42,0.00,-0.90,0.01,61.01
Alphalogic Tech.,542770,,IT - Software,Computers - Software & Consulting,65.66,48.29,411.11,63.57,7.83,12.32,9.09,83.73,8.28,1.76,10.42,0.10,11.49,45.54,1.79,15.13,8.85,2.29,2.25,0.00,0.00,0.53,53.65
Antelopus Selan,530075,ANTELOPUS,Oil,Oil Exploration & Production,430.00,50.05,1511.98,231.46,108.87,47.04,52.57,26.85,2.57,0.28,13.99,0.01,17.18,162.06,12.62,34.40,7.86,34.83,5.33,0.00,-2.21,0.05,51.41
Apollo Finvest,512437,,Finance,Non Banking Financial Company (NBFC),404.75,45.02,151.08,26.12,10.73,41.08,42.33,23.24,2.12,-1.37,8.09,0.30,11.44,-7.49,2.16,0.00,0.72,0.00,6.98,0.00,0.08,1.79,53.88
Artificial Elect,526443,,IT - Software,Software Products,133.75,33.41,226.92,61.20,15.64,25.56,11.49,17.71,5.41,0.10,10.06,0.00,17.78,40.55,1.44,49.72,48.37,4.95,7.56,-0.01,0.00,0.00,67.77
Atmastco Ltd,,ATMASTCO,Construction,Civil Construction,137.65,16.36,340.47,272.00,39.93,14.68,15.37,19.83,2.43,0.24,5.58,0.62,16.78,114.64,0.44,95.19,84.71,145.97,9.04,-0.36,0.00,2.38,54.24
AVP Infracon,,AVPINFRA,Construction,Civil Construction,121.55,32.65,303.62,369.67,74.84,20.25,20.28,6.98,1.91,0.07,12.64,1.14,30.20,79.37,4.14,85.02,20.02,81.79,16.88,0.10,-0.03,2.46,54.01
BEW Engg,,BEWLTD,Industrial Manufacturing,Industrial Products,123.00,50.17,160.80,170.36,21.49,12.61,15.24,13.01,1.12,0.44,6.34,0.44,11.70,109.44,0.70,41.00,31.61,145.07,9.53,0.00,0.00,3.00,58.31
Bharat Road,540700,BRNL,Construction,Civil Construction,22.54,42.13,189.22,342.28,163.37,47.73,20.63,1.05,0.46,0.03,6.47,1.05,53.67,278.70,83.88,0.19,3.72,0.00,115.87,0.00,-0.01,2.34,58.17
Bodhi Tree,543767,BTML,Entertainment,Digital Entertainment,8.20,45.21,148.01,98.60,12.41,12.59,10.48,22.06,1.84,1.50,6.41,0.32,16.26,35.85,1.14,13.72,16.03,21.67,7.77,-0.01,0.06,1.96,53.83
CapitalNumbers,544343,,IT - Software,Computers - Software & Consulting,104.25,34.95,254.65,102.21,26.33,25.76,29.80,9.46,1.48,0.73,18.93,0.00,20.00,160.62,10.92,8.46,0.81,0.00,21.61,-0.87,-1.50,0.00,61.95
Captain Techno.,540652,,Industrial Manufacturing,Industrial Products,146.50,34.89,340.17,113.70,16.60,14.60,12.71,30.59,7.24,0.71,15.80,0.48,25.03,11.04,1.73,29.26,17.43,10.47,4.58,0.00,0.00,1.37,54.50
Ceinsys Tech,538734,,IT - Software,Computers - Software & Consulting,966.75,45.10,1724.79,574.23,113.89,19.83,19.19,17.77,3.70,0.20,13.91,0.16,19.46,336.03,27.68,172.91,132.63,0.84,7.92,0.03,-0.11,0.58,54.07
Cenlub Industrie,522251,,Industrial Manufacturing,Industrial Products,225.35,40.78,105.08,72.49,10.06,13.88,15.85,13.04,1.54,1.57,10.56,0.06,14.72,5.10,2.71,12.05,8.87,8.72,11.19,0.00,0.00,0.36,58.64
Chatterbox Tech,544546,,Media,Advertising & Media Agencies,74.50,26.45,105.37,68.14,13.52,19.84,20.02,10.75,,0.08,27.75,0.00,41.77,27.49,0.19,18.15,15.35,0.00,14.54,,,0.00,52.47
Chemkart India,544442,,Food Products,Other Food Products,106.10,14.33,128.37,193.38,26.80,13.86,16.12,6.74,1.06,0.10,34.75,0.01,58.97,112.18,1.38,56.19,10.28,22.81,31.94,,,0.05,59.50
Chemtech Indust.,537326,,Industrial Manufacturing,Industrial Products,81.10,27.65,145.47,35.27,6.43,18.23,19.83,19.34,1.46,0.13,9.04,0.00,10.74,74.60,5.22,4.40,2.78,3.10,13.57,0.05,0.00,0.00,65.53
Chetana Educa.,,CHETANA,Printing & Publication,Printing & Publication,54.90,41.64,112.00,102.93,19.42,18.87,22.72,8.72,1.27,,12.58,0.06,25.94,83.44,0.23,67.63,1.98,20.78,16.01,-1.40,0.94,0.26,57.44
Cohance Life,543064,COHANCE,Pharmaceuticals & Biotechnology,Pharmaceuticals,539.85,32.66,20652.89,2252.45,579.88,25.74,31.34,60.12,5.45,-3.71,8.86,0.12,12.67,1177.66,33.65,589.69,313.28,592.88,2.26,9.41,-0.72,0.95,59.35
Dam Capital Advi,544316,DAMCAPITAL,Capital Markets,Stockbroking & Allied,218.44,48.41,1544.06,278.28,165.75,59.56,58.51,13.76,4.98,0.20,33.97,0.01,49.22,210.57,0.06,94.72,45.72,0.00,11.81,0.05,-0.06,0.03,52.19
Danlaw Tech.,532329,,Industrial Manufacturing,Industrial Products,786.25,49.48,382.96,237.35,34.83,14.67,14.74,19.24,4.47,0.16,13.19,0.37,28.31,68.49,1.00,49.89,28.61,36.47,7.43,0.00,0.00,1.09,51.44
De Neers Tools,,DENEERS,Industrial Products,Iron & Steel Products,159.10,49.61,136.93,142.50,28.16,19.76,19.30,7.76,1.68,0.15,11.87,0.77,32.56,110.39,0.87,39.62,13.85,114.36,14.15,1.51,-0.77,2.23,57.55
DJ Mediaprint,543193,DJML,Transport Services,Logistics Solution Provider,70.18,52.08,241.26,91.57,18.14,19.81,21.84,32.08,3.26,1.08,8.13,0.23,13.49,50.19,0.22,29.34,2.43,27.56,4.65,-0.03,-0.16,1.36,62.18
Dynamic Services,,DYNAMIC,Commercial Services & Supplies,Diversified Commercial Services,106.05,44.90,145.78,347.25,49.12,14.15,13.61,6.37,0.74,0.06,7.60,0.76,12.47,108.40,2.21,111.92,15.46,48.32,18.59,0.00,-0.05,2.98,72.93
Easy Trip Plann.,543272,EASEMYTRIP,Leisure Services,"Tour, Travel Related Services",7.57,45.86,2753.10,522.18,64.87,12.42,24.74,50.92,3.18,113.16,10.70,0.04,16.21,410.27,-19.97,257.93,106.18,2.87,2.64,0.01,-2.09,0.51,58.52
Eco Recyc.,530643,,Other Utilities,Waste Management,484.95,50.16,935.80,43.35,25.83,59.58,70.66,45.65,9.24,0.32,23.12,0.07,84.05,43.87,3.71,12.82,2.05,10.66,3.05,-0.04,-0.02,0.24,53.51
Emerald Finance,538882,,Finance,Non Banking Financial Company (NBFC),72.87,33.56,251.70,25.78,18.89,73.27,70.34,21.12,2.77,0.39,10.60,0.17,13.76,106.31,0.09,4.20,0.00,0.00,7.21,0.00,-4.22,0.79,56.53
EMS,543983,EMSLIMITED,Other Utilities,Waste Management,445.35,49.92,2473.06,926.49,226.20,24.41,26.31,15.15,2.38,0.46,17.21,0.16,20.69,705.51,12.58,398.78,27.78,102.46,9.15,-0.05,-0.02,0.72,52.82
Espire Hospi,532016,,Leisure Services,Hotels & Resorts,259.05,45.07,386.57,132.43,21.88,16.52,18.80,128.86,9.87,0.35,6.59,3.26,35.33,51.26,0.60,2.82,13.28,0.31,2.95,0.00,0.00,8.47,58.22
