Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adani Green,541450,ADANIGREEN,Power,972.60,157813.71,12268.00,9520.00,77.60,79.28,85.78,12.69,1.52,2.32,6.59,14.61,-10070.00,741.00,1540.00,395.00,101.00,3.36,0.46,-0.87,10.14,53.51
Addictive Learn,,LAWSIKHO,Other Consumer Services,152.90,243.26,74.86,17.47,23.34,23.34,24.92,3.14,0.14,11.53,0.00,13.45,-8.69,3.21,0.28,2.25,0.00,5.62,0.50,-0.87,0.00,65.91
Akums Drugs,544222,AKUMS,Pharmaceuticals & Biotechnology,513.90,8088.48,4118.16,464.64,11.28,11.28,25.05,2.65,0.51,8.64,0.03,17.19,1380.85,68.66,770.30,642.78,680.93,4.73,1.46,-1.53,0.25,56.30
Apollo Finvest,512437,,Finance,519.15,193.74,30.26,12.72,42.04,42.04,26.83,2.88,-1.56,8.01,0.45,11.33,0.23,0.18,0.00,0.72,0.00,5.52,0.00,0.00,2.53,50.51
Arham Tech,,ARHAM,Consumer Durables,81.95,138.66,69.89,12.68,18.14,18.14,19.05,4.45,,12.33,0.83,26.43,24.06,0.20,15.53,8.42,42.24,7.16,0.00,0.00,2.21,55.22
Artificial Elect,526443,,IT - Software,90.78,154.02,26.10,3.00,11.49,11.49,54.42,4.88,0.31,10.06,0.00,17.78,5.81,0.73,24.73,22.60,0.00,2.47,0.00,0.00,0.00,79.40
Atishay,538713,,IT - Software,124.20,136.39,53.27,9.94,18.66,18.83,18.02,2.81,0.06,13.17,0.09,15.43,14.15,2.47,12.52,2.27,0.17,7.91,0.00,0.00,0.42,50.30
Autoline Industr,532797,AUTOIND,Auto Components,72.31,312.20,658.55,68.47,10.40,10.40,14.52,2.04,0.12,3.23,1.88,14.89,-165.13,0.19,126.71,88.73,67.22,9.63,-0.55,0.05,5.26,53.94
B & A Packaging,523186,,Industrial Products,233.90,116.01,130.88,14.28,10.91,10.91,11.80,1.40,4.66,10.02,0.02,12.55,53.43,1.77,22.24,11.44,34.81,13.30,0.00,0.00,0.14,56.15
Balaxi Pharma,,BALAXI,Pharmaceuticals & Biotechnology,47.36,261.46,292.56,32.30,11.04,11.04,10.40,1.13,-0.54,8.85,0.23,11.61,188.24,2.27,110.80,16.18,78.48,11.90,0.00,-7.15,1.63,62.84
