Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adcounty Media.,544435,,Media,Web based media and service,103.00,24.07,231.76,72.73,19.67,27.05,26.49,14.72,2.44,0.16,35.51,0.01,47.28,75.90,2.20,44.68,7.37,0.00,10.98,3.90,0.95,0.04,63.48
Addictive Learn,,ADDICTIVE,Other Consumer Services,E-Learning,121.10,51.57,192.67,75.39,19.62,26.02,30.64,22.10,2.34,0.12,11.21,0.00,13.08,-2.28,2.68,0.48,2.12,0.00,6.36,0.32,-1.46,0.00,67.27
All E Tech,,ALLETEC,IT - Software,Computers - Software & Consulting,211.70,37.07,427.51,138.34,30.32,21.92,21.99,14.08,2.75,0.30,18.15,0.00,22.39,136.31,12.39,19.01,8.19,0.00,14.08,0.00,-0.90,0.01,60.71
Alphalogic Tech.,542770,,IT - Software,Computers - Software & Consulting,60.48,36.71,378.67,63.57,7.83,12.32,9.09,77.12,7.63,1.62,10.42,0.10,11.49,45.54,1.79,15.13,8.85,2.29,2.43,0.00,0.00,0.53,57.30
Antelopus Selan,530075,ANTELOPUS,Oil,Oil Exploration & Production,404.95,42.47,1423.90,231.46,108.87,47.04,52.57,25.29,2.42,0.26,13.99,0.01,17.18,162.06,12.62,34.40,7.86,34.83,5.68,0.00,-2.21,0.05,53.93
Apollo Finvest,512437,,Finance,Non Banking Financial Company (NBFC),398.05,42.31,148.58,26.12,10.73,41.08,42.33,22.86,2.08,-1.35,8.09,0.30,11.44,-7.49,2.16,0.00,0.72,0.00,7.09,0.00,0.08,1.79,54.65
Artificial Elect,526443,,IT - Software,Software Products,132.20,34.14,224.29,61.20,15.64,25.56,11.49,17.51,5.35,0.10,10.06,0.00,17.78,40.55,1.44,49.72,48.37,4.95,7.65,-0.01,0.00,0.00,65.47
Atmastco Ltd,,ATMASTCO,Construction,Civil Construction,137.25,20.76,339.48,272.00,39.93,14.68,15.37,19.77,2.43,0.24,5.58,0.62,16.78,114.64,0.44,95.19,84.71,145.97,9.06,-0.36,0.00,2.38,54.37
AVP Infracon,,AVPINFRA,Construction,Civil Construction,120.35,34.18,300.62,369.67,74.84,20.25,20.28,6.91,1.89,0.07,12.64,1.14,30.20,79.37,4.14,85.02,20.02,81.79,17.00,0.10,-0.03,2.46,54.46
BEW Engg,,BEWLTD,Industrial Manufacturing,Industrial Products,119.95,47.01,156.81,170.36,21.49,12.61,15.24,12.69,1.09,0.43,6.34,0.44,11.70,109.44,0.70,41.00,31.61,145.07,9.71,0.00,0.00,3.00,55.75
Bharat Road,540700,BRNL,Construction,Civil Construction,21.78,35.66,182.84,342.28,163.37,47.73,20.63,1.02,0.44,0.03,6.47,1.05,53.67,278.70,83.88,0.19,3.72,0.00,120.68,0.00,-0.01,2.34,59.58
Bodhi Tree,543767,BTML,Entertainment,Digital Entertainment,7.78,36.66,140.43,98.60,12.41,12.59,10.48,20.93,1.75,1.42,6.41,0.32,16.26,35.85,1.14,13.72,16.03,21.67,8.13,-0.01,0.06,1.96,56.19
