Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
AB Cotspin,544522.0,ABCOTS,INE08PH01015,Textiles & Apparels,Other Textile Products,206.0,47.52,452.45,332.95,41.83,12.56,13.34,31.96,2.96,0.35,4.41,0.96,10.05,84.17,3.79,72.23,5.87,67.91,5.1,0.0,0.0,4.84,0.0,59.45
Adcounty Media.,544435.0,,INE0W1601012,Media,Web based media and service,90.0,46.51,202.52,90.8,25.52,28.11,28.9,9.79,1.9,0.26,24.37,0.03,27.74,57.94,3.62,44.63,5.36,0.0,16.26,-0.43,0.19,0.1,0.0,68.09
Aesthetik Engi.,,AESTHETIK,INE0TSF01011,Construction,Civil Construction,71.75,46.2,123.55,118.21,12.04,10.19,10.19,17.33,2.46,0.2,9.24,0.5,15.06,18.63,0.86,17.4,11.41,26.16,7.83,0.0,0.0,2.18,0.0,53.89
All E Tech,,ALLETEC,INE0M2X01012,IT - Software,Computers - Software & Consulting,120.7,31.16,243.74,140.98,22.71,16.11,17.84,9.6,1.46,0.3,13.97,0.0,17.08,151.85,10.41,22.09,9.37,0.0,36.28,-0.48,-0.21,0.02,1.22,61.68
Alphalogic Tech.,542770.0,,INE08E401029,IT - Software,Computers - Software & Consulting,40.0,46.21,250.44,49.23,8.94,18.16,17.35,49.03,4.81,3.6,8.34,0.88,10.07,66.76,2.4,7.88,2.85,4.73,3.57,0.0,0.0,4.2,0.0,59.18
Artificial Elect,526443.0,,INE072B01027,IT - Software,Software Products,86.48,38.81,239.23,193.64,65.68,33.92,32.78,4.91,1.97,,,0.9,30.13,202.55,1.73,112.62,22.68,13.05,19.42,0.07,0.0,1.68,0.0,55.65
Australian Prem,,APS,INE0P0001010,Electrical Equipment,Heavy Electrical Equipment,249.5,50.97,502.99,688.95,92.55,13.43,13.43,8.88,3.12,0.06,19.04,0.27,45.36,134.3,0.73,179.04,122.33,47.18,15.56,0.01,0.0,0.52,0.04,54.13
Autoriders Intl.,512277.0,,INE340U01010,Transport Services,Logistics Solution Provider,300.25,46.93,104.51,101.71,27.74,27.27,27.94,12.62,1.78,1.17,9.15,0.57,16.72,5.58,1.33,19.08,5.34,0.0,10.79,0.0,0.0,2.32,0.06,70.88
AVP Infracon,,AVPINFRA,INE0R9401019,Construction,Civil Construction,61.35,52.94,153.24,420.75,77.19,18.35,18.35,3.63,0.87,0.07,10.9,1.16,27.67,73.3,4.09,140.61,20.2,99.26,20.54,0.08,0.0,2.76,0.0,67.62
AWFIS Space,544181.0,AWFIS,INE108V01019,Commercial Services & Supplies,Diversified Commercial Services,268.0,46.71,1917.86,1583.7,585.53,36.97,36.81,22.66,3.47,0.43,2.62,2.72,14.01,-312.77,98.25,137.73,307.7,0.72,8.19,-1.01,0.57,5.45,0.0,58.09
Balaji Phos.,,BALAJIPHOS,INE0PQ601019,Fertilizers & Agrochemicals,Fertilizers,89.5,47.9,212.81,170.47,18.99,11.14,11.14,20.82,2.35,1.11,7.11,0.47,11.97,72.78,0.72,67.88,19.27,57.84,7.32,-0.66,0.0,2.29,0.0,51.54
Basilic Fly Stud,,BASILIC,INE0OCC01013,Entertainment,Media & Entertainment,182.5,43.8,461.08,417.09,78.58,18.84,20.89,9.59,1.39,0.42,12.55,0.32,19.05,193.8,9.41,138.2,23.6,0.0,14.42,0.02,-0.03,1.46,0.0,64.2
Bharat Rasayan,590021.0,BHARATRAS,INE838B01021,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,1270.1,39.47,2111.02,1202.6,176.72,14.69,16.03,15.21,1.71,2.8,11.25,0.0,13.34,924.04,35.7,385.41,96.76,330.56,9.04,-0.14,-0.13,0.01,0.03,58.09
Ceinsys Tech,538734.0,CEINSYS,INE016Q01014,IT - Software,Computers - Software & Consulting,730.0,28.19,1528.45,661.89,154.26,23.31,22.1,11.43,2.27,0.18,17.82,0.08,24.76,536.19,28.11,149.59,155.53,0.82,13.47,0.05,-0.2,0.33,0.47,61.45
CIAN Agro,519477.0,,INE052V01019,Agricultural Food & other Products,Edible Oil,1395.8,41.37,3906.28,2310.18,565.13,24.46,21.3,12.15,1.79,0.02,5.28,0.56,10.81,-88.45,52.21,441.57,253.83,414.28,10.02,0.0,-0.02,2.38,0.0,61.58
Crizac,544439.0,CRIZAC,INE0S4R01014,Retailing,Internet & Catalogue Retail,179.05,40.01,3133.08,1033.83,285.68,27.63,27.41,14.21,5.34,0.56,25.0,0.0,40.29,301.25,28.51,238.51,233.59,0.0,9.88,-0.26,-0.69,0.01,4.47,53.85
DSM Fresh,544568.0,,INE0SUM01015,Food Products,Meat Products including Poultry,70.65,39.88,157.47,220.82,31.12,14.09,14.09,10.79,1.36,0.17,10.46,0.55,17.64,80.72,1.16,55.63,7.21,8.53,14.62,-4.31,-5.2,2.12,0.0,66.03
Earkart,544549.0,,INE1A8F01035,Healthcare Equipment & Supplies,Medical Equipment & Supplies,123.0,37.96,169.17,54.04,8.35,15.45,15.45,34.32,2.63,0.62,9.88,0.0,11.7,56.81,0.11,21.07,1.8,10.92,5.39,9.34,-5.14,0.0,0.0,53.75
