Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adani Green,541450,ADANIGREEN,Power,964.10,156434.50,12268.00,9520.00,77.60,79.28,84.21,12.58,1.49,2.32,6.59,14.61,-10070.00,741.00,1540.00,395.00,101.00,3.38,0.46,-0.87,10.14,53.91
Addictive Learn,,LAWSIKHO,Other Consumer Services,143.35,228.07,74.86,17.47,23.34,23.34,23.37,2.95,0.13,11.53,0.00,13.45,-8.69,3.21,0.28,2.25,0.00,5.99,0.50,-0.87,0.00,68.04
All E Tech,,ALLETEC,IT - Software,309.25,624.50,140.90,30.64,21.75,21.89,21.06,4.33,0.45,17.76,0.00,22.42,138.38,10.73,17.40,4.96,0.00,8.13,0.64,0.18,0.01,51.15
Alphalogic Tech.,542770,,IT - Software,90.73,568.12,65.56,6.80,10.37,8.81,119.60,12.09,2.58,10.16,0.02,11.21,42.62,2.10,7.97,5.12,4.25,1.53,0.00,0.00,0.10,51.09
Arham Tech,,ARHAM,Consumer Durables,85.95,145.43,69.89,12.68,18.14,18.14,19.98,4.66,,12.33,0.83,26.43,24.06,0.20,15.53,8.42,42.24,6.87,0.00,0.00,2.21,53.03
Artificial Elect,526443,,IT - Software,92.97,157.73,31.77,3.21,10.10,11.49,48.24,4.99,0.28,10.06,0.00,17.78,5.81,1.16,24.73,22.60,0.00,2.83,0.00,0.00,0.00,78.90
Autoline Industr,532797,AUTOIND,Auto Components,73.18,315.96,659.40,65.98,10.01,10.40,19.44,2.06,0.16,3.23,1.88,14.89,-165.13,7.17,126.71,88.73,67.22,9.03,-0.55,0.05,5.57,53.39
Bajaj Steel Inds,507944,,Industrial Manufacturing,469.60,976.77,551.30,83.81,15.20,15.90,17.26,2.52,0.83,11.01,0.17,17.87,167.20,11.29,47.49,71.18,152.94,8.25,-0.07,0.08,0.82,52.47
Balaxi Pharma,,BALAXI,Pharmaceuticals & Biotechnology,46.87,258.76,297.68,31.29,10.51,11.04,13.71,1.12,-0.71,8.85,0.23,11.61,188.24,-3.64,110.80,16.18,78.48,9.45,0.00,-7.15,2.07,63.22
Beacon Trust.,,BEACON,Capital Markets,57.50,103.87,25.85,7.25,28.05,28.05,19.13,2.32,1.32,13.83,0.00,16.96,5.35,1.30,5.48,0.38,0.00,7.48,0.00,-0.70,0.02,56.44
BEW Engg,,BEWLTD,Industrial Manufacturing,157.75,206.23,134.36,20.40,15.18,15.18,16.96,1.49,0.58,6.31,0.42,11.64,100.97,0.92,40.40,11.26,117.31,7.69,0.00,0.00,2.86,58.07
