Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
A B Infrabuild,544281.0,ABINFRA,INE00YB01025,Construction,Civil Construction,10.5,22.51,670.74,256.21,38.07,14.86,14.86,34.68,4.01,0.73,6.34,0.52,13.84,119.77,3.33,104.21,44.66,110.54,4.97,0.01,0.66,2.42,0.05,55.43
Aaron Industries,,AARON,INE721Z01010,Industrial Manufacturing,Industrial Products,119.05,31.33,249.37,92.01,17.69,19.23,19.23,36.68,5.09,4.59,7.82,0.57,14.84,9.66,0.2,7.01,7.67,24.42,5.16,0.0,0.0,1.98,0.5,53.86
AB Cotspin,544522.0,ABCOTS,INE08PH01015,Textiles & Apparels,Other Textile Products,204.67,21.97,449.54,298.68,39.85,13.34,13.34,33.91,2.92,0.38,4.41,0.96,10.05,84.17,2.78,72.23,5.87,67.91,4.81,0.0,0.0,5.12,0.0,59.71
Adcounty Media.,544435.0,,INE0W1601012,Media,Web based media and service,106.5,29.23,239.63,84.77,24.5,28.9,28.9,11.93,2.24,0.31,24.37,0.03,27.74,57.94,3.43,44.63,5.36,0.0,12.61,-0.43,0.19,0.1,0.0,62.23
All E Tech,,ALLETEC,INE0M2X01012,IT - Software,Computers - Software & Consulting,143.9,35.93,290.59,137.87,24.6,17.84,17.84,10.87,1.72,0.34,13.97,0.0,17.08,151.85,10.34,22.09,9.37,0.0,27.2,-0.48,-0.21,0.01,1.04,65.45
Alphalogic Tech.,542770.0,,INE08E401029,IT - Software,Computers - Software & Consulting,51.0,45.18,319.3,50.55,8.77,17.35,17.35,63.98,6.14,4.7,8.34,0.88,10.07,66.76,2.35,7.88,2.85,4.73,2.89,0.0,0.0,4.28,0.0,53.64
Amal,506597.0,,INE841D01013,Chemicals & Petrochemicals,Specialty Chemicals,539.1,41.86,666.47,239.64,35.66,14.88,14.88,29.8,5.54,0.59,16.23,0.0,20.39,43.03,2.25,19.56,18.17,12.12,4.32,0.0,0.0,0.0,0.19,53.04
Artificial Elect,526443.0,,INE072B01027,IT - Software,Software Products,115.0,45.54,318.16,150.1,49.2,32.78,32.78,8.7,2.59,,,0.9,30.13,202.55,1.59,112.62,22.68,13.05,11.77,0.0,0.0,2.22,0.0,69.56
Aurionpro Sol.,532668.0,AURIONPRO,INE132H01018,IT - Software,Computers - Software & Consulting,790.0,48.85,4365.67,1411.09,282.35,20.01,20.01,20.02,2.5,0.65,10.29,0.03,13.44,736.02,19.57,376.94,122.76,32.64,6.29,0.36,-0.48,0.22,0.51,52.58
Australian Prem,,APS,INE0P0001010,Electrical Equipment,Heavy Electrical Equipment,314.0,41.47,633.02,688.95,92.55,13.43,13.43,11.21,3.92,0.07,19.04,0.27,45.36,134.3,0.73,179.04,122.33,47.18,12.66,-0.1,0.0,0.52,0.03,51.99
Autoriders Intl.,512277.0,,INE340U01010,Transport Services,Logistics Solution Provider,326.9,28.16,113.75,100.59,28.1,27.94,27.94,12.6,1.95,1.17,9.15,0.57,16.72,5.58,1.14,19.08,5.34,0.0,10.34,0.0,0.0,2.18,0.05,68.29
AVP Infracon,,AVPINFRA,INE0R9401019,Construction,Civil Construction,70.25,35.57,175.49,420.75,77.19,18.35,18.35,4.18,0.99,0.08,10.9,1.16,27.67,73.3,4.09,140.61,20.2,99.26,19.45,0.08,0.0,2.76,0.0,67.78
AWFIS Space,544181.0,AWFIS,INE108V01019,Commercial Services & Supplies,Diversified Commercial Services,308.95,40.46,2210.96,1493.48,549.76,36.81,36.81,31.18,4.0,0.59,2.62,2.72,14.01,-312.77,92.64,137.73,307.7,0.72,7.1,-0.04,-0.99,5.81,0.0,57.03
Basilic Fly Stud,,BASILIC,INE0OCC01013,Entertainment,Media & Entertainment,204.2,40.3,515.91,407.8,85.2,20.89,20.89,10.11,1.58,0.45,12.55,0.32,19.05,193.8,7.4,138.2,23.6,0.0,14.08,-0.75,0.11,1.34,0.0,59.95
