Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
A B Infrabuild,544281.0,ABINFRA,INE00YB01025,Construction,Civil Construction,10.49,37.71,670.11,256.21,38.07,14.86,14.86,34.65,3.98,0.73,6.34,0.52,13.84,119.77,3.33,104.21,44.66,110.54,5.24,0.0,-0.69,2.42,0.05,55.48
AB Cotspin,544522.0,ABCOTS,INE08PH01015,Textiles & Apparels,Other Textile Products,200.38,33.44,440.11,298.68,39.85,13.34,13.34,33.21,2.86,0.37,4.41,0.96,10.05,84.17,2.78,72.23,5.87,67.91,4.9,0.0,0.0,5.12,0.0,60.56
Adcounty Media.,544435.0,,INE0W1601012,Media,Web based media and service,93.0,47.99,209.24,84.77,24.5,28.9,28.9,10.45,1.97,0.28,24.37,0.03,27.74,57.94,3.43,44.63,5.36,0.0,13.62,-0.43,0.19,0.1,0.0,67.02
Aesthetik Engi.,,AESTHETIK,INE0TSF01011,Construction,Civil Construction,70.0,41.63,120.55,118.21,12.04,10.19,10.19,16.91,2.4,0.2,9.24,0.5,15.06,18.63,0.86,17.4,11.41,26.16,7.99,0.0,0.0,2.18,0.0,55.01
All E Tech,,ALLETEC,INE0M2X01012,IT - Software,Computers - Software & Consulting,136.15,41.51,274.94,137.87,24.6,17.84,17.84,10.31,1.62,0.32,13.97,0.0,17.08,151.85,10.34,22.09,9.37,0.0,27.39,-0.48,-0.21,0.01,1.1,62.59
Alphalogic Tech.,542770.0,,INE08E401029,IT - Software,Computers - Software & Consulting,42.55,33.02,266.42,50.55,8.77,17.35,17.35,53.38,5.13,3.92,8.34,0.88,10.07,66.76,2.35,7.88,2.85,4.73,3.53,0.0,0.0,4.28,0.0,56.58
Artificial Elect,526443.0,,INE072B01027,IT - Software,Software Products,90.95,34.63,251.65,150.1,49.2,32.78,32.78,6.85,2.08,,,0.9,30.13,202.55,1.59,112.62,22.68,13.05,13.88,0.07,0.0,2.22,0.0,53.36
Australian Prem,,APS,INE0P0001010,Electrical Equipment,Heavy Electrical Equipment,274.0,32.81,552.38,688.95,92.55,13.43,13.43,9.78,3.42,0.06,19.04,0.27,45.36,134.3,0.73,179.04,122.33,47.18,14.7,0.01,0.0,0.52,0.04,54.33
AVP Infracon,,AVPINFRA,INE0R9401019,Construction,Civil Construction,69.35,59.69,173.22,420.75,77.19,18.35,18.35,4.11,0.97,0.08,10.9,1.16,27.67,73.3,4.09,140.61,20.2,99.26,19.73,0.08,0.0,2.76,0.0,68.19
AWFIS Space,544181.0,AWFIS,INE108V01019,Commercial Services & Supplies,Diversified Commercial Services,272.0,33.19,1946.52,1493.48,549.76,36.81,36.81,27.43,3.58,0.52,2.62,2.72,14.01,-312.77,92.64,137.73,307.7,0.72,7.6,-1.01,0.57,5.81,0.0,57.46
Balaji Phos.,,BALAJIPHOS,INE0PQ601019,Fertilizers & Agrochemicals,Fertilizers,90.75,39.18,215.79,170.47,18.99,11.14,11.14,21.11,2.37,1.12,7.11,0.47,11.97,72.78,0.72,67.88,19.27,57.84,7.39,-0.66,0.0,2.29,0.0,50.87
Basilic Fly Stud,,BASILIC,INE0OCC01013,Entertainment,Media & Entertainment,190.3,33.58,480.79,407.8,85.2,20.89,20.89,9.43,1.45,0.42,12.55,0.32,19.05,193.8,7.4,138.2,23.6,0.0,15.28,0.02,-0.03,1.34,0.0,62.67
Bharat Rasayan,590021.0,BHARATRAS,INE838B01021,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,1263.2,32.3,2099.58,1241.84,199.12,16.03,16.03,13.4,1.69,2.47,11.25,0.0,13.34,924.04,22.4,385.41,96.76,330.56,10.27,-0.14,-0.13,0.01,0.03,58.31
Ceinsys Tech,538734.0,CEINSYS,INE016Q01014,IT - Software,Computers - Software & Consulting,875.0,34.55,1832.08,660.7,146.03,22.1,22.1,13.63,2.71,0.22,17.82,0.08,24.76,536.19,27.72,149.59,155.53,0.82,10.3,0.05,-0.2,0.35,0.39,55.17
CIAN Agro,519477.0,,INE052V01019,Agricultural Food & other Products,Edible Oil,1496.3,44.09,4187.55,2234.35,475.99,21.3,21.3,18.85,1.95,0.03,5.28,0.56,10.81,-88.45,44.65,441.57,253.83,414.28,7.72,0.0,-0.02,2.9,0.0,58.82
Credo Brands,544058.0,MUFTI,INE220Q01020,Retailing,Speciality Retail,82.75,42.1,541.12,592.1,154.19,26.04,26.04,11.2,1.25,-0.77,6.15,0.52,11.39,309.76,9.45,236.29,26.73,110.35,12.94,-0.32,0.05,2.52,3.62,51.63
Crizac,544439.0,CRIZAC,INE0S4R01014,Retailing,Internet & Catalogue Retail,184.6,35.59,3230.16,1042.16,285.69,27.41,27.41,14.77,5.53,0.58,25.0,0.0,40.28,301.25,28.96,238.51,233.59,0.0,9.25,-0.26,-0.69,0.01,4.33,52.42
Dhruva Cap.Serv.,531237.0,,INE972E01014,Finance,Non Banking Financial Company (NBFC),165.85,4.54,119.25,3.11,1.93,62.06,62.06,46.41,3.87,0.19,7.72,0.41,12.27,-2.17,1.31,0.0,0.03,0.0,2.81,0.0,0.0,3.27,0.0,62.77
DSM Fresh,544568.0,,INE0SUM01015,Food Products,Meat Products including Poultry,84.66,58.53,188.7,220.82,31.12,14.09,14.09,12.93,1.62,0.2,10.46,0.55,17.64,80.72,1.16,55.63,7.21,8.53,11.97,-4.31,-5.2,2.12,0.0,59.3
E Factor Experie,,EFACTOR,INE0KFF01017,Other Consumer Services,Other Consumer Services,173.2,41.96,227.45,191.44,28.69,14.99,14.99,11.54,2.54,0.31,12.63,0.54,24.43,72.44,1.18,104.55,8.49,0.0,11.63,0.62,0.1,1.74,0.69,50.23
Ecos (India),544239.0,ECOSMOBLTY,INE06HJ01020,Transport Services,Road Transport,128.45,43.01,770.7,808.16,93.93,11.62,11.62,13.39,2.91,1.16,15.26,0.03,23.66,207.42,11.29,107.02,88.01,0.05,10.44,-0.11,-0.77,0.1,1.87,62.55
Ellen.Indl.Gas,544421.0,ELLEN,INE236E01022,Chemicals & Petrochemicals,Industrial Gases,281.25,49.49,3963.84,341.58,116.22,34.02,34.02,37.96,4.09,0.55,9.73,0.19,14.2,112.24,50.05,63.28,14.63,14.17,3.59,-1.39,-0.23,1.27,0.0,53.14
Envirotech Sys.,,ENVIRO,INE0SUH01015,Industrial Products,Other Industrial Products,77.05,44.3,144.78,57.59,18.81,32.66,32.66,11.96,1.9,0.18,13.22,0.18,17.31,24.33,0.82,31.71,3.24,10.04,11.75,0.0,0.16,0.76,0.0,55.46
Eppeltone Ene.,,EEPL,INE11HF01010,Electrical Equipment,Other Electrical Equipment,100.6,41.99,130.38,134.74,19.4,14.4,14.4,10.52,1.44,0.08,7.98,0.43,18.94,61.54,0.8,68.93,47.72,58.57,11.21,0.23,0.0,2.1,0.0,56.79
Espire Hospi,532016.0,,INE176O01011,Leisure Services,Hotels & Resorts,164.85,34.89,245.99,134.25,25.08,18.68,18.68,30.29,4.81,0.15,3.9,2.76,17.17,47.71,6.81,2.49,6.45,0.3,5.53,0.0,0.0,6.65,0.0,73.41
G G Automotive,531399.0,,INE493B01017,Auto Components,Auto Components & Equipments,160.15,50.21,159.99,116.37,21.03,18.07,18.07,14.4,2.75,0.18,10.86,0.5,21.17,27.95,0.29,18.7,14.47,19.1,9.05,0.0,0.0,1.79,0.0,50.42
Ganesh Infra.,,GANESHIN,INE0TVT01024,Construction,Civil Construction,97.5,64.61,416.53,835.55,105.18,12.59,12.59,5.46,1.63,,10.74,1.94,35.06,168.48,4.05,337.48,105.2,111.97,11.44,0.08,0.0,4.69,0.0,65.15
Garnet Intl.,512493.0,,INE590B01010,Finance,Investment Company,64.39,51.08,126.43,4.87,3.38,69.4,69.4,26.61,2.98,1.42,10.81,0.02,11.84,3.83,1.36,4.15,0.83,1.23,3.72,0.0,0.0,0.21,0.0,52.3
Globe Civil,544424.0,GLOBECIVIL,INE0V3U01015,Construction,Civil Construction,39.85,40.26,237.97,376.53,53.83,14.3,14.3,10.21,1.03,0.16,5.26,0.63,13.54,187.47,3.22,204.52,79.55,162.4,14.08,0.32,-0.02,2.9,0.0,56.9
Globe Intl. Car.,,GICL,INE947T01022,Transport Services,Logistics Solution Provider,16.72,28.08,187.21,174.93,19.45,11.12,11.12,19.12,1.91,0.26,7.75,0.49,12.49,83.12,1.72,51.99,9.85,29.62,9.13,0.0,-0.01,2.32,0.0,68.09
Grand Continent,,GCHOTELS,INE12E301017,Leisure Services,Hotels & Resorts,116.0,43.73,289.08,140.54,19.61,13.95,13.95,23.29,2.41,0.18,7.72,0.31,10.97,6.93,2.47,14.02,8.0,1.39,5.47,-0.91,-0.12,2.14,0.0,54.51
Indo Thai Sec.,533676.0,INDOTHAI,INE337M01021,Capital Markets,Stockbroking & Allied,216.35,40.93,2873.93,110.38,91.79,83.16,82.88,41.93,4.14,0.32,21.98,0.09,28.57,130.57,0.41,6.92,49.73,0.98,3.28,-0.03,0.06,0.27,0.05,53.97
Indo US Bio-Tech,541304.0,INDOUS,INE250Z01010,Agricultural Food & other Products,Other Agricultural Products,84.98,42.8,170.4,110.44,17.01,15.4,15.4,12.99,1.83,0.59,11.36,0.4,15.34,81.17,0.05,13.76,0.45,99.05,7.87,0.0,-0.17,2.29,0.3,53.51
Indosolar,533257.0,WAAREEINDO,INE866K01023,Electrical Equipment,Heavy Electrical Equipment,352.45,37.87,1466.32,553.54,254.51,45.98,39.82,8.81,5.11,0.04,84.28,0.01,150.63,202.83,9.7,209.62,20.01,21.08,14.74,-0.07,-0.01,0.01,0.0,51.39
Infollion Resea.,,INFOLLION,INE0NNZ01013,Commercial Services & Supplies,Diversified Commercial Services,159.9,30.95,155.21,100.32,14.32,14.27,14.27,12.4,2.32,0.27,18.81,0.0,20.68,59.18,2.72,18.38,1.44,0.0,15.21,0.34,-0.01,0.0,0.0,70.98
Insolation Ener,543620.0,INA,INE0LGX01024,Power,Power Generation,112.55,43.42,2481.18,2146.02,287.12,13.38,13.38,12.37,3.08,0.07,13.36,1.1,28.19,651.42,17.5,281.59,292.73,379.05,9.39,0.53,-0.25,3.3,0.09,54.89
