Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Addictive Learn,,LAWSIKHO,Other Consumer Services,E-Learning,124.30,197.76,75.39,19.62,26.02,30.64,22.68,2.40,0.13,11.21,0.00,13.08,-2.28,2.68,0.48,2.12,0.00,6.19,0.32,-1.46,0.00,68.21
All E Tech,,ALLETEC,IT - Software,Computers - Software & Consulting,233.80,472.14,138.34,30.32,21.92,21.99,15.55,3.04,0.33,18.15,0.00,22.39,136.31,12.39,19.01,8.19,0.00,12.20,0.00,-0.90,0.01,63.06
Alphalogic Tech.,542770,,IT - Software,Computers - Software & Consulting,64.00,400.75,63.57,7.83,12.32,9.09,81.62,8.07,1.72,10.42,0.10,11.49,45.54,1.79,15.13,8.85,2.29,2.30,0.00,0.00,0.53,55.86
Antelopus Selan,530075,ANTELOPUS,Oil,Oil Exploration & Production,394.90,1389.07,231.46,108.87,47.04,52.57,24.67,2.36,0.26,13.99,0.01,17.18,162.06,12.62,34.40,7.86,34.83,5.83,0.00,-2.21,0.05,58.30
Apollo Finvest,512437,,Finance,Non Banking Financial Company (NBFC),394.30,147.15,26.12,10.73,41.08,42.33,22.64,2.06,-1.34,8.09,0.30,11.44,-7.49,2.16,0.00,0.72,0.00,7.15,0.00,0.08,1.79,56.62
Artificial Elect,526443,,IT - Software,Software Products,152.70,259.06,61.20,15.64,25.56,11.49,20.22,6.18,0.12,10.06,0.00,17.78,40.55,1.44,49.72,48.37,4.95,6.62,0.00,0.00,0.00,65.34
BEW Engg,,BEWLTD,Industrial Manufacturing,Industrial Products,121.15,158.39,170.36,21.49,12.61,15.24,12.81,1.10,0.44,6.34,0.44,11.70,109.44,0.70,41.00,31.61,145.07,9.64,0.00,0.00,3.00,58.93
Bharat Road,540700,BRNL,Construction,Civil Construction,24.28,203.32,342.28,163.37,47.73,20.63,1.13,0.49,0.03,6.47,1.05,53.67,278.70,83.88,0.19,3.72,0.00,106.49,0.00,-0.01,2.34,54.95
Bodhi Tree,543767,BTML,Entertainment,Digital Entertainment,8.37,151.08,98.60,12.41,12.59,10.48,22.52,1.88,1.53,6.41,0.32,16.26,35.85,1.14,13.72,16.03,21.67,7.63,-0.01,0.06,1.96,52.87
CapitalNumbers,544343,,IT - Software,Computers - Software & Consulting,108.40,264.79,102.21,26.33,25.76,29.80,9.84,1.54,0.76,18.93,0.00,20.00,160.62,10.92,8.46,0.81,0.00,20.36,-0.87,-1.50,0.00,60.44
Ceinsys Tech,538734,,IT - Software,Computers - Software & Consulting,878.45,1567.25,574.23,113.89,19.83,19.19,16.15,3.36,0.18,13.91,0.16,19.46,336.03,27.68,172.91,132.63,0.84,8.75,0.03,-0.11,0.58,58.27
Cenlub Industrie,522251,,Industrial Manufacturing,Industrial Products,236.10,110.09,72.49,10.06,13.88,15.85,13.66,1.62,1.64,10.56,0.06,14.72,5.10,2.71,12.05,8.87,8.72,10.69,0.00,0.00,0.36,60.18
Chavda Infra Ltd,,CHAVDA,Construction,Civil Construction,83.80,206.62,250.28,59.78,23.89,21.59,10.47,1.72,0.18,6.77,1.40,20.27,121.45,2.00,103.28,74.94,92.19,11.77,-0.50,-0.16,3.92,54.95
