Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adcounty Media.,544435,,Media,Web based media and service,123.05,276.88,72.73,19.67,27.05,26.49,17.59,2.91,0.20,35.51,0.01,47.28,75.90,2.20,44.68,7.37,0.00,8.93,3.90,0.95,0.04,56.37
Addictive Learn,,LAWSIKHO,Other Consumer Services,E-Learning,108.90,173.26,75.39,19.62,26.02,30.64,19.87,2.11,0.11,11.21,0.00,13.08,-2.28,2.68,0.48,2.12,0.00,7.10,0.32,-1.46,0.00,72.15
Adit.Birla Money,532974,BIRLAMONEY,Capital Markets,Stockbroking & Allied,148.43,838.77,424.71,206.41,48.60,50.53,14.80,3.13,0.36,3.24,6.58,37.21,385.08,10.81,34.66,20.78,0.00,11.56,0.00,0.04,8.53,51.13
All E Tech,,ALLETEC,IT - Software,Computers - Software & Consulting,216.70,437.61,138.34,30.32,21.92,21.99,14.41,2.82,0.31,18.15,0.00,22.39,136.31,12.39,19.01,8.19,0.00,13.61,0.00,-0.90,0.01,63.40
Alphalogic Tech.,542770,,IT - Software,Computers - Software & Consulting,64.26,402.34,63.57,7.83,12.32,9.09,81.94,8.10,1.72,10.42,0.10,11.49,45.54,1.79,15.13,8.85,2.29,2.29,0.00,0.00,0.53,54.73
Antelopus Selan,530075,ANTELOPUS,Oil,Oil Exploration & Production,396.65,1394.71,231.46,108.87,47.04,52.57,24.77,2.37,0.26,13.99,0.01,17.18,162.06,12.62,34.40,7.86,34.83,5.81,0.00,-2.21,0.05,55.93
Apollo Finvest,512437,,Finance,Non Banking Financial Company (NBFC),406.85,151.86,26.12,10.73,41.08,42.33,23.36,2.13,-1.38,8.09,0.30,11.44,-7.49,2.16,0.00,0.72,0.00,6.95,0.00,0.08,1.79,55.24
Artificial Elect,526443,,IT - Software,Software Products,146.10,247.87,61.20,15.64,25.56,11.49,19.35,5.91,0.11,10.06,0.00,17.78,40.55,1.44,49.72,48.37,4.95,6.92,-0.01,0.00,0.00,66.84
AVP Infracon,,AVPINFRA,Construction,Civil Construction,125.85,314.36,369.67,74.84,20.25,20.28,7.23,1.97,0.07,12.64,1.14,30.20,79.37,4.14,85.02,20.02,81.79,16.48,0.10,-0.03,2.46,52.38
BEW Engg,,BEWLTD,Industrial Manufacturing,Industrial Products,122.05,159.56,170.36,21.49,12.61,15.24,12.91,1.11,0.44,6.34,0.44,11.70,109.44,0.70,41.00,31.61,145.07,9.59,0.00,0.00,3.00,58.63
Bharat Road,540700,BRNL,Construction,Civil Construction,23.20,194.76,342.28,163.37,47.73,20.63,1.08,0.47,0.03,6.47,1.05,53.67,278.70,83.88,0.19,3.72,0.00,112.00,0.00,-0.01,2.34,56.95
Bodhi Tree,543767,BTML,Entertainment,Digital Entertainment,8.25,148.91,98.60,12.41,12.59,10.48,22.19,1.86,1.50,6.41,0.32,16.26,35.85,1.14,13.72,16.03,21.67,7.72,-0.01,0.06,1.96,53.55
C2C Advanced,,C2C,Aerospace & Defense,Aerospace & Defense,468.85,795.56,137.99,57.18,41.44,36.01,18.60,3.53,0.13,16.56,0.22,21.05,188.15,4.11,166.92,2.14,56.88,6.95,-1.86,-0.06,0.82,50.85
CapitalNumbers,544343,,IT - Software,Computers - Software & Consulting,110.85,270.77,102.21,26.33,25.76,29.80,10.06,1.58,0.78,18.93,0.00,20.00,160.62,10.92,8.46,0.81,0.00,19.69,-0.87,-1.50,0.00,59.54
Ceinsys Tech,538734,,IT - Software,Computers - Software & Consulting,952.25,1698.92,574.23,113.89,19.83,19.19,17.50,3.64,0.19,13.91,0.16,19.46,336.03,27.68,172.91,132.63,0.84,8.04,0.03,-0.11,0.58,54.76
Cenlub Industrie,522251,,Industrial Manufacturing,Industrial Products,227.40,106.03,72.49,10.06,13.88,15.85,13.16,1.56,1.58,10.56,0.06,14.72,5.10,2.71,12.05,8.87,8.72,11.09,0.00,0.00,0.36,60.45
