Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adani Green,541450,ADANIGREEN,Power,989.80,160604.58,12268.00,9520.00,77.60,79.28,87.30,12.92,1.55,2.32,6.59,14.61,-10070.00,741.00,1540.00,395.00,101.00,3.33,0.46,-0.87,10.14,52.68
Addictive Learn,,LAWSIKHO,Other Consumer Services,155.90,248.03,74.86,17.47,23.34,23.34,25.41,3.20,0.14,11.53,0.00,13.45,-8.69,3.21,0.28,2.25,0.00,5.51,0.50,-0.87,0.00,65.24
Akums Drugs,544222,AKUMS,Pharmaceuticals & Biotechnology,505.20,7951.54,4118.16,464.64,11.28,11.28,24.63,2.61,0.50,8.64,0.03,17.19,1380.85,68.66,770.30,642.78,680.93,4.82,1.46,-1.53,0.25,57.04
Apollo Finvest,512437,,Finance,516.00,192.57,30.26,12.72,42.04,42.04,26.67,2.86,-1.55,8.01,0.45,11.33,0.23,0.18,0.00,0.72,0.00,5.55,0.00,0.00,2.53,50.81
Arham Tech,,ARHAM,Consumer Durables,79.50,134.51,69.89,12.68,18.14,18.14,18.48,4.31,,12.33,0.83,26.43,24.06,0.20,15.53,8.42,42.24,7.34,0.00,0.00,2.21,56.56
Artificial Elect,526443,,IT - Software,86.34,146.48,26.10,3.00,11.49,11.49,51.76,4.64,0.30,10.06,0.00,17.78,5.81,0.73,24.73,22.60,0.00,2.60,0.00,0.00,0.00,80.40
Atam Valves,543236,ATAM,Industrial Manufacturing,90.46,103.69,60.50,9.96,16.46,16.46,16.46,2.84,0.24,12.14,0.33,18.66,34.10,0.07,22.00,2.80,27.59,8.13,0.00,-0.15,1.29,52.89
Atishay,538713,,IT - Software,122.80,134.85,53.27,9.94,18.66,18.83,17.81,2.77,0.06,13.17,0.09,15.43,14.15,2.47,12.52,2.27,0.17,8.00,0.00,0.00,0.42,50.86
Autoline Industr,532797,AUTOIND,Auto Components,72.32,312.24,658.55,68.47,10.40,10.40,14.52,2.04,0.12,3.23,1.88,14.89,-165.13,0.19,126.71,88.73,67.22,9.63,-0.55,0.05,5.26,53.94
B & A Packaging,523186,,Industrial Products,244.00,121.02,130.88,14.28,10.91,10.91,12.31,1.46,4.87,10.02,0.02,12.55,53.43,1.77,22.24,11.44,34.81,12.70,0.00,0.00,0.14,54.26
Balaxi Pharma,,BALAXI,Pharmaceuticals & Biotechnology,46.72,257.93,292.56,32.30,11.04,11.04,10.26,1.11,-0.53,8.85,0.23,11.61,188.24,2.27,110.80,16.18,78.48,12.05,0.00,-7.15,1.63,63.34
Beacon Trust.,,BEACON,Capital Markets,58.10,104.96,25.85,7.25,28.05,28.05,19.33,2.34,1.34,13.83,0.00,16.96,5.35,1.30,5.48,0.38,0.00,7.40,0.00,-0.70,0.02,55.98
BEW Engg,,BEWLTD,,154.85,202.44,134.36,20.40,15.18,15.18,16.65,1.47,0.57,6.31,0.42,11.64,100.97,0.92,40.40,11.26,117.31,7.80,0.00,0.00,2.86,58.84
Bharat Road,540700,BRNL,Construction,19.46,163.37,458.21,240.51,52.49,52.49,1.20,0.49,0.03,6.53,1.31,52.27,-127.79,21.80,0.94,3.35,0.00,47.95,0.00,0.01,2.31,63.96
Bodhi Tree,543767,BTML,Entertainment,7.86,141.87,89.10,9.01,10.11,10.11,29.07,4.33,1.97,6.41,0.66,16.27,25.29,0.66,23.35,24.94,24.01,5.73,3.29,-0.19,2.31,59.77
