Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Aaradhya Dis.,,AARADHYA,INE124401014,"Paper, Forest & Jute Products",Paper & Paper Products,89.95,37.6,127.17,113.69,18.02,15.85,15.85,9.93,1.63,0.09,13.3,0.51,44.46,64.42,2.26,40.86,5.0,38.4,11.67,,,2.23,50.58
Adcounty Media.,544435.0,,INE0W1601012,Media,Web based media and service,133.0,58.62,299.26,77.23,21.92,28.38,26.49,16.97,3.14,0.19,35.51,0.01,47.28,75.9,2.58,44.68,7.37,0.0,9.67,-0.43,0.19,0.03,52.84
All E Tech,,ALLETEC,INE0M2X01012,IT - Software,Computers - Software & Consulting,172.0,58.51,347.35,138.05,29.53,21.39,21.99,11.47,2.23,0.24,18.15,0.0,22.39,136.31,11.92,19.01,8.19,0.0,18.06,-0.48,-0.21,0.01,63.83
Alphalogic Tech.,542770.0,,INE08E401029,IT - Software,Computers - Software & Consulting,63.0,75.19,394.43,52.43,8.54,16.29,9.09,78.27,7.95,1.65,10.42,0.1,11.49,45.54,1.87,15.13,8.85,2.29,2.51,0.0,0.0,0.5,50.02
Artificial Elect,526443.0,,INE072B01027,IT - Software,Software Products,118.6,51.74,328.16,108.21,33.32,30.79,11.49,12.97,7.55,0.07,10.06,0.0,17.78,40.55,1.47,49.72,48.37,4.95,10.49,0.0,0.0,0.0,68.61
Autoriders Intl.,512277.0,,INE340U01010,Transport Services,Logistics Solution Provider,372.1,43.07,129.53,96.93,27.5,28.37,28.79,13.31,2.43,0.34,10.0,0.34,19.99,3.26,1.28,18.24,4.98,0.0,10.72,0.0,0.0,1.16,63.91
Bemco Hydraulics,522650.0,,INE142E01022,Industrial Manufacturing,Industrial Products,88.18,60.89,385.66,98.56,21.94,22.26,20.29,26.2,5.13,0.9,9.71,0.21,19.89,20.5,1.27,26.86,16.54,29.84,5.47,0.0,0.0,0.74,53.15
BEW Engg,,BEWLTD,INE0HQI01014,Industrial Manufacturing,Industrial Products,90.95,52.19,118.88,170.36,21.49,12.61,15.24,9.61,0.83,0.33,6.34,0.44,11.7,109.44,0.7,41.0,31.61,145.07,11.99,0.0,0.0,3.0,62.07
Bhadora Indust.,,BHADORA,INE0ZRC01017,Industrial Products,Cables - Electricals,64.4,49.78,119.79,111.27,16.03,14.41,15.52,11.78,1.6,0.06,28.92,0.13,69.41,69.4,0.66,32.02,5.89,16.0,15.2,0.03,-1.09,0.62,50.02
Blue Jet Health,544009.0,BLUEJET,INE0KBH01020,Pharmaceuticals & Biotechnology,Pharmaceuticals,422.0,62.87,7320.27,1053.1,362.8,34.45,36.67,24.97,5.83,1.38,24.16,0.02,30.24,748.98,57.96,311.83,40.65,196.79,5.65,-0.14,-0.25,0.05,58.96
C.E. Info System,543425.0,MAPMYINDIA,INE0BV301023,IT - Software,Software Products,952.0,46.14,5213.26,472.61,160.3,33.92,37.99,39.5,6.21,1.53,14.74,0.01,17.62,432.31,57.89,174.44,62.9,10.71,3.82,0.88,-0.73,0.05,56.06
Clean Science,543318.0,CLEAN,INE227W01023,Chemicals & Petrochemicals,Specialty Chemicals,757.4,57.22,8049.34,863.6,368.98,42.73,43.31,29.6,5.18,3.47,19.65,0.0,21.88,468.31,38.94,145.65,69.96,104.64,4.56,0.79,-1.13,0.0,52.66
Cohance Life,543064.0,COHANCE,INE03QK01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,391.6,65.61,14981.29,2489.85,557.53,22.39,31.34,49.88,3.94,-3.08,8.86,0.12,12.67,1177.66,19.24,589.69,313.28,592.88,2.92,0.76,-0.5,1.09,68.67
Credo Brands,544058.0,MUFTI,INE220Q01020,Retailing,Speciality Retail,79.65,52.16,520.61,583.01,153.78,26.38,29.29,11.05,1.22,0.42,9.36,0.58,18.41,303.28,8.11,269.01,22.75,105.25,12.16,1.03,0.0,2.71,57.86
De Neers Tools,,DENEERS,INE0JWV01011,Industrial Products,Iron & Steel Products,163.0,59.26,140.28,142.5,28.16,19.76,19.3,7.94,1.73,0.15,11.87,0.77,32.56,110.39,0.87,39.62,13.85,114.36,13.7,1.51,-0.77,2.23,56.51
Deepak Builders,544276.0,DBEIL,INE0OPA01019,Construction,Civil Construction,76.3,57.35,355.42,542.35,76.68,14.14,19.2,9.83,0.79,0.21,8.16,0.35,19.81,404.62,5.37,100.81,100.4,387.34,15.24,6.85,-0.07,2.02,58.89
Digitide Solutio,544413.0,DIGITIDE,INE0U4701011,IT - Services,IT Enabled Services,97.28,62.01,1449.57,3012.75,337.2,11.19,14.53,44.6,1.69,,,0.51,15.62,318.52,-60.66,409.33,66.02,0.0,8.9,-0.39,0.06,2.67,65.22
Earkart,544549.0,,INE1A8F01035,Healthcare Equipment & Supplies,Medical Equipment & Supplies,127.6,42.66,175.5,43.11,9.79,22.71,22.71,32.38,,0.11,27.78,0.09,41.77,61.57,0.09,22.1,4.28,3.55,7.13,,,0.59,52.02
Ecos (India),544239.0,ECOSMOBLTY,INE06HJ01020,Transport Services,Road Transport,140.71,56.43,844.26,753.68,95.12,12.62,14.5,14.23,3.68,0.16,17.86,0.03,28.31,171.07,10.64,92.92,87.09,0.0,9.71,0.74,-3.06,0.1,60.74
Ellen.Indl.Gas,544421.0,ELLEN,INE236E01022,Chemicals & Petrochemicals,Industrial Gases,260.43,64.4,3670.4,336.62,113.65,33.76,35.15,36.74,3.98,1.54,10.57,0.13,17.76,183.51,46.89,77.29,10.19,13.23,3.89,1.05,-0.37,0.86,59.16
EMS,543983.0,EMSLIMITED,INE0OV601013,Other Utilities,Waste Management,344.0,64.82,1910.22,882.57,186.86,21.17,26.31,14.59,1.87,0.44,17.21,0.16,20.69,705.51,11.47,398.78,27.78,102.46,9.75,0.0,0.2,0.88,50.53
Eppeltone Ene.,,EEPL,INE11HF01010,Electrical Equipment,Other Electrical Equipment,132.65,53.02,171.9,120.45,19.38,16.09,14.33,12.76,2.04,0.05,11.22,0.36,33.95,58.99,0.85,45.92,48.37,63.39,9.73,0.23,0.0,1.61,50.49
Espire Hospi,532016.0,,INE176O01011,Leisure Services,Hotels & Resorts,216.85,31.33,323.61,132.21,28.13,21.28,18.8,38.52,8.28,0.1,6.59,3.26,35.33,51.26,0.98,2.82,13.28,0.31,4.89,0.0,0.0,5.89,65.02
Galaxy Bearings,526073.0,,INE020S01012,Industrial Products,Abrasives & Bearings,489.7,58.22,155.73,76.64,8.63,11.26,18.52,24.43,1.45,25.19,9.88,0.25,13.63,66.43,4.21,39.33,7.02,23.5,6.04,0.0,-0.05,2.4,55.48
Ganesh Infra.,,GANESHIN,INE0TVT01024,Construction,Civil Construction,100.8,63.27,430.62,764.6,90.0,11.77,9.73,6.8,2.02,,21.63,0.35,36.18,188.22,4.59,188.81,66.32,49.46,19.66,0.35,-0.16,0.82,63.97
Genesys Intl.,506109.0,GENESYS,INE727B01026,IT - Services,IT Enabled Services,263.39,50.28,1100.69,317.76,125.01,39.34,46.0,25.54,1.66,-7.72,7.94,0.21,10.76,390.92,11.25,209.38,33.94,0.0,6.96,0.5,0.64,1.88,65.23
Go Fashion (I),543401.0,GOCOLORS,INE0BJS01011,Retailing,Speciality Retail,290.25,50.44,1567.61,846.7,249.88,29.51,31.95,22.02,2.13,0.57,7.65,0.72,14.32,441.59,24.21,126.23,38.2,241.67,7.56,-4.4,-3.1,3.74,69.25
Grand Continent,,GCHOTELS,INE12E301017,Leisure Services,Hotels & Resorts,98.1,46.08,244.47,96.49,13.52,14.01,26.45,36.37,2.25,0.24,9.98,0.24,15.56,22.66,2.07,9.56,6.18,1.56,5.22,0.69,-3.99,1.95,61.53
H.G. Infra Engg.,541019.0,HGINFRA,INE926X01010,Construction,Civil Construction,621.05,68.4,4047.48,5168.75,1013.24,19.6,20.93,10.59,1.33,1.17,7.01,1.84,18.28,1301.98,39.01,444.24,1177.16,419.98,9.26,-0.47,-0.4,6.45,51.29
Iconik Sports,511260.0,,INE088P01015,Finance,Other Financial Services,37.75,33.97,127.76,39.86,7.03,17.64,28.17,20.13,1.87,0.11,9.49,0.0,15.02,34.61,0.21,24.9,1.65,0.0,5.96,0.0,0.0,0.0,58.53
Infollion Resea.,,INFOLLION,INE0NNZ01013,Commercial Services & Supplies,Diversified Commercial Services,253.55,31.2,246.1,100.32,14.32,14.27,14.27,19.65,3.66,0.43,18.81,0.0,20.68,59.18,2.72,18.38,1.44,0.0,7.94,0.34,-0.01,0.0,55.9
Inox Wind,539083.0,INOXWIND,INE066P01011,Electrical Equipment,Heavy Electrical Equipment,97.81,63.91,16903.86,4427.7,947.32,21.4,21.29,33.7,2.55,0.77,5.77,0.17,11.69,3486.52,146.4,3271.08,924.71,1455.26,5.17,0.5,0.79,1.28,50.64
Jaro Institute,544534.0,JARO,INE00YJ01010,Other Consumer Services,E-Learning,439.5,51.39,974.63,275.21,78.85,28.65,32.08,19.6,2.68,0.19,21.6,0.13,35.76,352.83,2.64,20.15,17.35,0.0,11.88,-3.4,-0.95,0.67,50.62
Kamat Hotels,526668.0,KAMATHOTEL,INE967C01018,Leisure Services,Hotels & Resorts,171.78,46.67,506.38,367.9,89.77,24.4,29.4,16.25,1.83,0.28,7.48,0.92,18.61,4.24,6.61,10.68,17.79,5.23,10.0,0.0,0.16,3.61,53.44
Kay Cee,,KCEIL,INE0RCG01017,Construction,Civil Construction,147.35,61.43,180.13,198.15,34.55,17.44,17.78,8.5,1.93,0.11,12.27,0.59,32.11,89.54,0.69,38.27,24.25,37.76,17.14,-0.51,0.0,1.56,62.03
Kaytex Fabrics,,KAYTEX,INE13ZD01013,Textiles & Apparels,Garments & Apparels,71.9,58.54,105.7,157.63,31.13,19.75,20.01,5.94,0.99,0.1,15.31,0.4,40.49,93.42,1.04,49.83,20.26,54.31,23.9,-1.59,-0.81,1.55,54.17
Kellton Tech,519602.0,KELLTONTEC,INE164B01030,IT - Services,IT Enabled Services,15.77,43.24,838.07,1189.38,139.75,11.75,11.63,9.14,1.13,2.17,11.0,0.18,16.29,603.46,3.73,362.78,21.41,0.28,14.89,0.0,0.25,1.02,52.43
Kiaasa Retail,544711.0,,INE1C3F01018,Textiles & Apparels,Garments & Apparels,56.41,38.44,102.84,121.63,16.42,13.5,13.5,11.4,,0.13,7.53,0.91,34.23,55.05,0.02,27.69,44.8,84.61,10.92,,,2.86,54.14
Kimia Bioscien.,530313.0,,INE285U01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,37.4,70.06,176.95,125.92,19.79,15.72,17.03,19.55,15.3,0.3,9.1,3.11,186.78,-6.2,1.06,28.18,47.87,34.65,8.06,0.0,0.0,2.1,56.94
Kore Digital,,KDL,INE0O4R01018,Telecom - Services,Telecom - Infrastructure,163.4,70.78,196.47,493.81,72.86,14.75,14.49,4.05,1.5,,16.13,0.05,35.48,72.22,0.11,224.09,151.17,13.59,34.17,0.0,0.0,0.1,56.63
Laxmi Dental,544339.0,LAXMIDENTL,INE0WO601020,Healthcare Equipment & Supplies,Medical Equipment & Supplies,195.04,61.82,1072.0,264.58,39.42,14.9,17.84,39.97,4.68,0.57,12.31,0.04,21.88,91.8,2.45,42.24,8.91,19.09,2.91,-1.03,0.06,0.28,61.75
Magellanic Cloud,538891.0,MCLOUD,INE613C01026,IT - Software,Computers - Software & Consulting,27.11,66.84,1596.95,648.68,208.52,32.15,34.26,14.76,2.72,0.29,12.17,0.47,22.23,180.08,4.05,293.79,39.8,18.55,9.4,0.0,-0.17,1.61,74.28
Manoj Ceramic,544073.0,,INE0A6N01026,Consumer Durables,Ceramics,83.75,56.64,114.8,179.73,24.48,13.62,13.76,9.4,0.81,0.08,7.31,0.45,16.23,139.71,0.23,99.55,16.61,58.93,14.71,0.0,2.82,2.39,63.34
Master Trust,511768.0,MASTERTR,INE677D01037,Capital Markets,Stockbroking & Allied,78.24,54.7,962.45,517.22,225.0,43.5,41.62,8.36,1.32,0.25,6.87,0.22,22.97,777.32,0.0,193.54,984.15,20.26,-51.99,0.0,0.02,0.74,55.14
Mehai Technology,540730.0,,INE062Y01020,Commercial Services & Supplies,Trading & Distributors,1.56,63.8,115.6,85.14,9.3,10.92,11.58,23.44,0.83,0.12,8.17,0.23,10.02,27.92,0.64,28.25,1.32,18.01,7.04,0.0,0.0,3.27,88.31
Meta Infotech,544441.0,,INE162901016,IT - Services,IT Enabled Services,94.0,65.44,177.5,218.82,25.11,11.48,11.48,13.18,2.45,0.18,23.82,0.44,42.6,44.02,-1.11,198.77,142.72,23.43,11.73,-2.45,-0.87,1.35,62.4
Methodhub Software,544637.0,,INE0QZR01017,IT - Software,Computers - Software & Consulting,85.2,43.53,160.64,134.86,17.15,12.72,12.72,13.95,,,16.28,0.68,42.72,51.92,1.16,61.32,12.17,0.0,9.64,-5.48,-2.49,2.17,50.45
Munish Forge,,MUNISH,INE1K8Y01018,Industrial Products,Castings & Forgings,70.0,53.96,168.49,175.45,24.36,13.88,13.88,11.67,,0.1,12.75,0.86,35.55,31.88,3.61,24.83,13.13,66.87,10.9,,,2.59,51.05
Naapbooks,543351.0,,INE0GOA01018,IT - Software,Computers - Software & Consulting,92.4,50.15,100.11,18.13,9.74,53.72,56.49,15.3,2.52,0.09,14.41,0.03,17.09,9.57,0.17,2.19,1.11,0.0,8.98,0.0,-0.04,0.13,52.36
Newgen Software,540900.0,NEWGEN,INE619B01017,IT - Software,Computers - Software & Consulting,483.6,54.59,6882.6,1551.62,390.86,25.19,25.3,21.08,4.29,0.89,16.52,0.03,22.5,1287.1,41.68,514.75,64.27,0.0,6.68,-0.83,-2.86,0.12,64.93
Nova Agritech,544100.0,NOVAAGRI,INE02H701025,Fertilizers & Agrochemicals,Fertilizers,29.6,59.09,273.88,287.03,33.35,11.62,14.51,14.81,1.21,0.57,8.65,0.23,13.28,170.16,1.39,194.17,65.46,93.4,9.43,0.0,0.0,1.74,52.91
Oswal Agro Mills,500317.0,OSWALAGRO,INE142A01012,Commercial Services & Supplies,Trading & Distributors,51.22,58.08,687.54,117.73,86.06,73.1,82.88,7.94,0.71,0.1,12.51,0.0,12.62,244.6,17.51,0.0,0.0,62.12,20.6,0.0,0.0,0.01,53.77
Oswal Pumps,544418.0,OSWALPUMPS,INE0BYP01024,Industrial Products,"Compressors, Pumps & Diesel Engines",432.55,72.33,4930.12,1919.3,494.67,25.77,29.36,14.06,3.34,0.09,35.49,0.08,87.5,1368.29,13.63,958.99,118.59,204.44,11.41,-1.0,-1.12,0.25,51.37
Owais Metal,,OWAIS,INE0R8M01017,Ferrous Metals,Ferro & Silica Manganese,165.1,63.28,300.2,230.9,66.74,28.9,30.93,5.95,2.19,,34.54,0.21,55.32,108.67,-2.02,116.08,21.13,45.25,21.02,-0.05,-0.02,0.43,76.68
PC Jeweller,534809.0,PCJEWELLER,INE785M01021,Consumer Durables,"Gems, Jewellery And Watches",9.58,61.29,9302.69,3124.56,651.71,20.86,17.65,14.07,0.98,0.27,7.38,0.22,12.68,6502.94,178.14,1002.07,14.8,6913.32,7.56,-1.66,4.09,1.97,51.25
Poly Medicure,531768.0,POLYMED,INE205C01021,Healthcare Equipment & Supplies,Medical Equipment & Supplies,1467.4,65.34,14873.5,1781.58,451.04,25.32,27.29,42.16,5.06,1.26,13.23,0.08,15.77,1445.9,126.08,425.74,116.84,346.52,3.19,0.31,-0.36,0.49,50.05
R M Drip & Sprin,544456.0,RMDRIP,INE219Y01026,Industrial Products,Plastic Products - Industrial,23.25,31.89,995.61,184.35,54.64,29.64,27.4,28.26,11.6,0.14,21.8,0.41,39.7,99.89,2.08,101.54,17.76,22.09,5.08,-0.25,1.35,0.66,67.81
R&B Denims,538119.0,RNBDENIMS,INE012Q01039,Textiles & Apparels,Other Textile Products,13.96,10.17,376.81,428.06,46.45,10.85,12.24,12.06,1.93,6.15,8.77,0.45,12.33,79.31,17.21,65.94,6.93,69.01,9.94,0.18,1.44,1.81,79.99
Rainbow Foundat.,531694.0,,INE230F01014,Realty,"Residential, Commercial Projects",48.48,58.67,240.55,180.35,45.44,25.2,25.31,32.22,2.91,0.17,1.18,6.99,10.51,77.5,0.16,71.69,55.48,642.45,5.63,0.0,0.0,12.59,65.16
Rajoo Engineers,522257.0,RAJOOENG,INE535F01024,Industrial Manufacturing,Industrial Products,67.9,63.7,1213.21,354.82,78.64,22.16,18.37,19.8,3.72,0.54,13.72,0.05,26.12,101.69,8.65,21.93,49.89,141.68,7.63,-0.22,-0.09,0.22,60.71
Raymond Realty,544420.0,RAYMONDREL,INE1SY401010,Realty,"Residential, Commercial Projects",455.0,60.64,3029.08,1945.23,221.16,11.37,10.8,20.77,2.24,,1.65,0.42,72.31,2674.02,35.92,103.1,520.26,2367.27,7.12,-0.48,-0.92,2.34,56.88
Refex Industries,532884.0,REFEX,INE056I01025,Chemicals & Petrochemicals,Industrial Gases,244.75,66.51,3356.26,1983.23,262.16,13.22,8.5,17.86,2.68,,12.19,0.14,18.91,1090.7,10.02,583.37,204.11,59.97,8.67,0.02,0.43,0.64,54.17
RKEC Projects,,RKEC,INE786W01010,Construction,Civil Construction,41.56,58.8,107.29,258.27,32.75,12.68,13.22,11.34,0.5,0.24,4.01,0.92,11.22,132.37,9.49,144.53,87.26,240.09,13.47,0.0,0.0,5.68,53.82
Route Mobile,543228.0,ROUTE,INE450U01017,Telecom - Services,Other Telecom Services,513.25,58.39,3233.65,4452.31,498.13,11.19,11.56,10.46,1.28,0.4,9.55,0.01,14.48,1651.09,-97.49,968.51,595.32,0.0,21.72,-1.21,-0.25,0.04,55.75
Sahaj Solar,,SAHAJSOLAR,INE0P4701011,Electrical Equipment,Other Electrical Equipment,148.0,65.34,325.19,314.58,41.39,13.16,12.63,12.28,2.94,0.06,11.68,0.8,37.89,102.05,0.87,233.25,106.51,17.06,10.48,-0.57,0.0,2.14,54.26
Sh. Jagdamba Pol,512453.0,,INE564J01026,Industrial Products,Packaging,623.0,54.15,545.61,434.97,59.65,13.71,14.38,11.96,1.72,-5.13,14.04,0.03,17.73,189.5,11.23,101.9,17.04,33.28,11.86,0.0,0.0,0.18,51.33
Sigachi Indust.,543389.0,SIGACHI,INE0D0K01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,23.35,67.13,892.24,484.14,65.9,13.61,20.48,22.2,1.76,1.1,9.15,0.29,13.5,184.95,-107.99,189.46,69.13,107.83,5.99,0.0,0.23,2.54,60.82
Silicon Rental,543615.0,,INE0MNV01014,Commercial Services & Supplies,Diversified Commercial Services,104.9,57.01,119.79,108.68,42.58,39.18,44.34,11.39,1.14,1.59,12.98,0.04,15.26,56.67,0.63,31.41,0.0,0.54,17.26,0.0,0.0,0.3,56.65
Solarium Green,544354.0,,INE0W0H01017,Construction,Civil Construction,211.5,66.1,441.43,265.01,27.7,10.45,11.4,21.7,2.91,0.2,11.93,0.77,23.01,143.14,3.59,115.78,16.08,52.95,6.54,-3.01,-2.65,3.86,56.3
Som Distilleries,507514.0,SDBL,INE480C01038,Beverages,Breweries & Distilleries,86.23,61.95,1792.77,1387.49,171.64,12.37,12.34,20.3,2.18,0.15,8.41,0.24,16.17,171.67,6.86,249.97,102.15,127.56,7.57,0.0,0.25,1.36,50.2
Stallion India,544342.0,STALLION,INE0RYC01010,Chemicals & Petrochemicals,Industrial Gases,160.95,66.84,1868.37,472.25,61.93,13.11,12.64,40.38,5.95,2.64,12.12,0.0,15.17,284.4,2.08,107.8,26.12,116.73,3.87,12.58,0.63,0.02,55.37
