Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
A B Infrabuild,544281.0,ABINFRA,INE00YB01025,Construction,Civil Construction,10.44,22.28,666.88,256.21,38.07,14.86,14.86,34.46,3.92,0.72,6.34,0.52,13.84,119.77,3.33,104.21,44.66,110.54,4.99,0.01,0.66,2.42,0.05,55.69
Aaron Industries,,AARON,INE721Z01010,Industrial Manufacturing,Industrial Products,115.33,34.17,241.56,92.01,17.69,19.23,19.23,35.52,4.96,4.45,7.82,0.57,14.84,9.66,0.2,7.01,7.67,24.42,5.11,0.0,0.0,1.98,0.54,55.3
AB Cotspin,544522.0,ABCOTS,INE08PH01015,Textiles & Apparels,Other Textile Products,204.16,21.78,448.42,298.68,39.85,13.34,13.34,33.81,2.91,0.38,4.41,0.96,10.05,84.17,2.78,72.23,5.87,67.91,4.82,0.0,0.0,5.12,0.0,59.81
Adcounty Media.,544435.0,,INE0W1601012,Media,Web based media and service,104.0,36.45,234.01,84.77,24.5,28.9,28.9,11.66,2.19,0.31,24.37,0.03,27.74,57.94,3.43,44.63,5.36,0.0,12.11,-0.43,0.19,0.1,0.0,63.12
Aesthetik Engi.,,AESTHETIK,INE0TSF01011,Construction,Civil Construction,75.0,58.34,129.15,118.21,12.04,10.19,10.19,18.11,2.57,0.21,9.24,0.5,15.06,18.63,0.86,17.4,11.41,26.16,7.14,0.0,0.0,2.18,0.0,51.8
All E Tech,,ALLETEC,INE0M2X01012,IT - Software,Computers - Software & Consulting,143.15,41.84,289.09,137.87,24.6,17.84,17.84,10.83,1.71,0.34,13.97,0.0,17.08,151.85,10.34,22.09,9.37,0.0,24.55,-0.48,-0.21,0.01,1.04,65.33
Alphalogic Tech.,542770.0,,INE08E401029,IT - Software,Computers - Software & Consulting,52.0,43.48,325.59,50.55,8.77,17.35,17.35,65.25,6.25,4.79,8.34,0.88,10.07,66.76,2.35,7.88,2.85,4.73,2.92,0.0,0.0,4.28,0.0,52.73
Amal,506597.0,,INE841D01013,Chemicals & Petrochemicals,Specialty Chemicals,545.0,43.5,673.8,239.64,35.66,14.88,14.88,30.11,5.6,0.6,16.23,0.0,20.39,43.03,2.25,19.56,18.17,12.12,4.29,0.0,0.0,0.0,0.18,52.53
Artificial Elect,526443.0,,INE072B01027,IT - Software,Software Products,110.7,45.34,306.3,150.1,49.2,32.78,32.78,8.33,2.5,,,0.9,30.13,202.55,1.59,112.62,22.68,13.05,11.8,0.0,0.0,2.22,0.0,70.08
Aurionpro Sol.,532668.0,AURIONPRO,INE132H01018,IT - Software,Computers - Software & Consulting,778.0,45.48,4299.36,1411.09,282.35,20.01,20.01,19.74,2.47,0.64,10.29,0.03,13.44,736.02,19.57,376.94,122.76,32.64,6.45,0.36,-0.48,0.22,0.5,53.3
Australian Prem,,APS,INE0P0001010,Electrical Equipment,Heavy Electrical Equipment,318.1,37.83,641.3,688.95,92.55,13.43,13.43,11.35,3.98,0.07,19.04,0.27,45.36,134.3,0.73,179.04,122.33,47.18,13.09,-0.1,0.0,0.52,0.03,51.36
Autoriders Intl.,512277.0,,INE340U01010,Transport Services,Logistics Solution Provider,343.0,25.24,119.4,100.59,28.1,27.94,27.94,13.2,2.03,1.22,9.15,0.57,16.72,5.58,1.14,19.08,5.34,0.0,10.76,0.0,0.0,2.18,0.05,66.73
