Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
A B Infrabuild,544281.0,ABINFRA,INE00YB01025,Construction,Civil Construction,10.07,44.93,643.24,256.21,38.07,14.86,14.86,33.24,3.81,0.7,6.34,0.52,13.84,119.77,3.33,104.21,44.66,110.54,5.09,0.0,-0.69,2.42,0.05,57.26
AB Cotspin,544522.0,ABCOTS,INE08PH01015,Textiles & Apparels,Other Textile Products,200.23,35.47,439.77,298.68,39.85,13.34,13.34,33.16,2.87,0.37,4.41,0.96,10.05,84.17,2.78,72.23,5.87,67.91,4.88,0.0,0.0,5.12,0.0,60.58
Adcounty Media.,544435.0,,INE0W1601012,Media,Web based media and service,84.0,40.37,189.01,84.77,24.5,28.9,28.9,9.43,1.78,0.25,24.37,0.03,27.74,57.94,3.43,44.63,5.36,0.0,14.58,-0.43,0.19,0.1,0.0,70.21
Aesthetik Engi.,,AESTHETIK,INE0TSF01011,Construction,Civil Construction,70.05,41.68,120.63,118.21,12.04,10.19,10.19,16.92,2.4,0.2,9.24,0.5,15.06,18.63,0.86,17.4,11.41,26.16,7.99,0.0,0.0,2.18,0.0,54.98
All E Tech,,ALLETEC,INE0M2X01012,IT - Software,Computers - Software & Consulting,134.95,41.03,272.51,137.87,24.6,17.84,17.84,10.19,1.62,0.32,13.97,0.0,17.08,151.85,10.34,22.09,9.37,0.0,27.57,-0.48,-0.21,0.01,1.13,62.92
Alphalogic Tech.,542770.0,,INE08E401029,IT - Software,Computers - Software & Consulting,39.5,30.78,247.32,50.55,8.77,17.35,17.35,49.56,4.77,3.64,8.34,0.88,10.07,66.76,2.35,7.88,2.85,4.73,3.63,0.0,0.0,4.28,0.0,59.69
Artificial Elect,526443.0,,INE072B01027,IT - Software,Software Products,87.7,33.4,242.67,150.1,49.2,32.78,32.78,6.62,2.01,,,0.9,30.13,202.55,1.59,112.62,22.68,13.05,13.98,0.07,0.0,2.22,0.0,55.03
Aurionpro Sol.,532668.0,AURIONPRO,INE132H01018,IT - Software,Computers - Software & Consulting,739.65,48.3,4087.43,1432.34,275.66,19.25,20.01,19.46,2.37,0.63,10.29,0.03,13.44,736.02,24.71,376.94,122.76,32.64,5.94,0.22,-0.27,0.23,0.55,50.92
Australian Prem,,APS,INE0P0001010,Electrical Equipment,Heavy Electrical Equipment,279.25,30.77,562.97,688.95,92.55,13.43,13.43,9.96,3.48,0.06,19.04,0.27,45.36,134.3,0.73,179.04,122.33,47.18,14.89,0.01,0.0,0.52,0.04,53.45
AVP Infracon,,AVPINFRA,INE0R9401019,Construction,Civil Construction,69.25,60.35,172.97,420.75,77.19,18.35,18.35,4.1,0.97,0.08,10.9,1.16,27.67,73.3,4.09,140.61,20.2,99.26,19.65,0.08,0.0,2.76,0.0,67.01
