Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adani Green,541450,ADANIGREEN,Power,957.55,155371.70,12268.00,9520.00,77.60,79.28,84.46,12.50,1.50,2.32,6.59,14.61,-10070.00,741.00,1540.00,395.00,101.00,3.40,0.46,-0.87,10.14,54.22
Addictive Learn,,LAWSIKHO,Other Consumer Services,148.00,235.46,74.86,17.47,23.34,23.34,24.12,3.04,0.13,11.53,0.00,13.45,-8.69,3.21,0.28,2.25,0.00,5.81,0.50,-0.87,0.00,67.00
Akums Drugs,544222,AKUMS,Pharmaceuticals & Biotechnology,487.05,7665.87,4118.16,464.64,11.28,11.28,23.75,2.52,0.48,8.64,0.03,17.19,1380.85,68.66,770.30,642.78,680.93,5.01,1.46,-1.53,0.25,58.58
All E Tech,,ALLETEC,IT - Software,305.85,617.64,140.90,30.64,21.75,21.89,20.82,4.28,0.43,17.76,0.00,22.42,138.38,10.73,17.40,4.96,0.00,8.24,0.64,0.18,0.01,51.68
Alphalogic Tech.,542770,,IT - Software,87.66,548.90,65.56,6.80,10.37,8.81,115.56,11.68,2.50,10.16,0.02,11.21,42.62,2.10,7.97,5.12,4.25,1.58,0.00,0.00,0.10,61.85
Apollo Finvest,512437,,Finance,519.80,193.98,30.26,12.72,42.04,42.04,26.87,2.88,-1.56,8.01,0.45,11.33,0.23,0.18,0.00,0.72,0.00,5.51,0.00,0.00,2.53,50.45
Arham Tech,,ARHAM,Consumer Durables,77.90,131.81,69.89,12.68,18.14,18.14,18.11,4.23,,12.33,0.83,26.43,24.06,0.20,15.53,8.42,42.24,7.47,0.00,0.00,2.21,57.43
Artificial Elect,526443,,IT - Software,89.83,152.40,26.10,3.00,11.49,11.49,53.85,4.82,0.31,10.06,0.00,17.78,5.81,0.73,24.73,22.60,0.00,2.50,0.00,0.00,0.00,79.61
Atam Valves,543236,ATAM,Industrial Manufacturing,90.34,103.56,60.50,9.96,16.46,16.46,16.44,2.84,0.24,12.14,0.33,18.66,34.10,0.07,22.00,2.80,27.59,8.14,0.00,-0.15,1.29,52.95
Autoline Industr,532797,AUTOIND,Auto Components,71.53,308.83,658.55,68.47,10.40,10.40,14.36,2.02,0.12,3.23,1.88,14.89,-165.13,0.19,126.71,88.73,67.22,9.68,-0.55,0.05,5.26,54.44
B & A Packaging,523186,,Industrial Products,232.60,115.37,130.88,14.28,10.91,10.91,11.74,1.40,4.64,10.02,0.02,12.55,53.43,1.77,22.24,11.44,34.81,13.38,0.00,0.00,0.14,56.39
Balaxi Pharma,,BALAXI,Pharmaceuticals & Biotechnology,47.65,263.06,297.68,31.29,10.51,11.04,13.93,1.14,-0.73,8.85,0.23,11.61,188.24,-3.64,110.80,16.18,78.48,9.31,0.00,-7.15,2.07,62.61
Beacon Trust.,,BEACON,Capital Markets,57.00,102.97,25.85,7.25,28.05,28.05,18.96,2.30,1.31,13.83,0.00,16.96,5.35,1.30,5.48,0.38,0.00,7.55,0.00,-0.70,0.02,56.82
BEW Engg,,BEWLTD,Industrial Manufacturing,159.95,209.11,134.36,20.40,15.18,15.18,17.20,1.52,0.59,6.31,0.42,11.64,100.97,0.92,40.40,11.26,117.31,7.60,0.00,0.00,2.86,57.49
Bharat Road,540700,BRNL,Construction,19.86,166.72,458.21,240.51,52.49,52.49,1.22,0.50,0.03,6.53,1.31,52.27,-127.79,21.80,0.94,3.35,0.00,47.54,0.00,0.01,2.31,63.22
Bodhi Tree,543767,BTML,Entertainment,7.74,139.71,89.10,9.01,10.11,10.11,28.63,4.26,1.94,6.41,0.66,16.27,25.29,0.66,23.35,24.94,24.01,5.81,3.29,-0.19,2.31,60.39
CapitalNumbers,544343,,IT - Software,119.40,291.66,99.73,29.72,29.80,29.80,11.30,1.86,0.62,21.77,0.00,23.00,145.64,5.96,6.42,1.01,0.00,16.78,,,0.00,56.42
Chemtech Indust.,537326,,Industrial Manufacturing,112.00,200.90,40.04,7.91,19.76,19.76,28.62,2.10,0.20,9.04,0.00,10.74,81.94,2.63,11.32,3.83,2.42,7.04,0.00,0.00,0.00,65.64
Cybertech Sys.,532173,CYBERTECH,IT - Software,145.29,452.30,236.20,29.15,12.34,13.44,12.65,1.83,0.78,12.20,0.03,15.01,208.52,22.95,20.71,23.73,0.00,12.77,0.00,-0.15,0.14,50.44
Dam Capital Advi,544316,DAMCAPITAL,Capital Markets,208.69,1475.15,250.18,146.53,58.57,58.57,14.21,5.59,0.21,33.74,0.01,48.67,155.38,-0.04,24.77,0.24,0.00,11.29,-0.85,-1.49,0.03,54.32
