Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adcounty Media.,544435,,Media,Web based media and service,110.00,26.99,247.51,72.73,19.67,27.05,26.49,15.72,2.60,0.17,35.51,0.01,47.28,75.90,2.20,44.68,7.37,0.00,10.16,3.90,0.95,0.04,60.99
Addictive Learn,,ADDICTIVE,Other Consumer Services,E-Learning,125.50,56.38,199.67,75.39,19.62,26.02,30.64,22.90,2.43,0.13,11.21,0.00,13.08,-2.28,2.68,0.48,2.12,0.00,6.13,0.32,-1.46,0.00,66.08
Adit.Birla Money,532974,BIRLAMONEY,Capital Markets,Stockbroking & Allied,146.19,34.24,826.11,424.71,206.41,48.60,50.53,14.58,3.09,0.35,3.24,6.58,37.21,385.08,10.81,34.66,20.78,0.00,11.64,0.00,0.04,8.53,51.50
All E Tech,,ALLETEC,IT - Software,Computers - Software & Consulting,219.05,42.98,442.35,138.34,30.32,21.92,21.99,14.57,2.85,0.31,18.15,0.00,22.39,136.31,12.39,19.01,8.19,0.00,13.39,0.00,-0.90,0.01,60.95
Alphalogic Tech.,542770,,IT - Software,Computers - Software & Consulting,60.76,36.03,380.43,63.57,7.83,12.32,9.09,77.48,7.66,1.63,10.42,0.10,11.49,45.54,1.79,15.13,8.85,2.29,2.42,0.00,0.00,0.53,57.11
Antelopus Selan,530075,ANTELOPUS,Oil,Oil Exploration & Production,427.50,49.41,1503.19,231.46,108.87,47.04,52.57,26.69,2.56,0.28,13.99,0.01,17.18,162.06,12.62,34.40,7.86,34.83,5.36,0.00,-2.21,0.05,51.37
Apollo Finvest,512437,,Finance,Non Banking Financial Company (NBFC),412.75,49.05,154.07,26.12,10.73,41.08,42.33,23.70,2.16,-1.40,8.09,0.30,11.44,-7.49,2.16,0.00,0.72,0.00,6.86,0.00,0.08,1.79,52.97
Artificial Elect,526443,,IT - Software,Software Products,135.35,36.82,229.63,61.20,15.64,25.56,11.49,17.93,5.48,0.10,10.06,0.00,17.78,40.55,1.44,49.72,48.37,4.95,7.47,-0.01,0.00,0.00,66.72
Atmastco Ltd,,ATMASTCO,Construction,Civil Construction,140.75,22.81,348.14,272.00,39.93,14.68,15.37,20.28,2.49,0.24,5.58,0.62,16.78,114.64,0.44,95.19,84.71,145.97,8.87,-0.36,0.00,2.38,53.21
AVP Infracon,,AVPINFRA,Construction,Civil Construction,125.50,39.86,313.49,369.67,74.84,20.25,20.28,7.21,1.97,0.07,12.64,1.14,30.20,79.37,4.14,85.02,20.02,81.79,16.51,0.10,-0.03,2.46,52.52
