Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adcounty Media.,544435,,Media,Web based media and service,102.85,24.00,231.42,72.73,19.67,27.05,26.49,14.70,2.43,0.16,35.51,0.01,47.28,75.90,2.20,44.68,7.37,0.00,11.00,3.90,0.95,0.04,63.53
Addictive Learn,,ADDICTIVE,Other Consumer Services,E-Learning,121.00,51.45,192.51,75.39,19.62,26.02,30.64,22.08,2.34,0.12,11.21,0.00,13.08,-2.28,2.68,0.48,2.12,0.00,6.37,0.32,-1.46,0.00,66.66
All E Tech,,ALLETEC,IT - Software,Computers - Software & Consulting,214.70,40.71,433.57,138.34,30.32,21.92,21.99,14.28,2.79,0.30,18.15,0.00,22.39,136.31,12.39,19.01,8.19,0.00,13.79,0.00,-0.90,0.01,60.15
Alphalogic Tech.,542770,,IT - Software,Computers - Software & Consulting,60.67,37.41,379.86,63.57,7.83,12.32,9.09,77.36,7.65,1.63,10.42,0.10,11.49,45.54,1.79,15.13,8.85,2.29,2.43,0.00,0.00,0.53,57.17
Antelopus Selan,530075,ANTELOPUS,Oil,Oil Exploration & Production,402.95,41.90,1416.87,231.46,108.87,47.04,52.57,25.16,2.41,0.26,13.99,0.01,17.18,162.06,12.62,34.40,7.86,34.83,5.71,0.00,-2.21,0.05,54.16
Apollo Finvest,512437,,Finance,Non Banking Financial Company (NBFC),399.00,42.86,148.93,26.12,10.73,41.08,42.33,22.91,2.09,-1.35,8.09,0.30,11.44,-7.49,2.16,0.00,0.72,0.00,7.07,0.00,0.08,1.79,54.54
Artificial Elect,526443,,IT - Software,Software Products,132.00,33.97,223.95,61.20,15.64,25.56,11.49,17.48,5.34,0.10,10.06,0.00,17.78,40.55,1.44,49.72,48.37,4.95,7.66,-0.01,0.00,0.00,65.06
Atmastco Ltd,,ATMASTCO,Construction,Civil Construction,130.50,17.31,322.79,272.00,39.93,14.68,15.37,18.80,2.31,0.23,5.58,0.62,16.78,114.64,0.44,95.19,84.71,145.97,9.45,-0.36,0.00,2.38,56.62
AVP Infracon,,AVPINFRA,Construction,Civil Construction,118.85,32.68,296.88,369.67,74.84,20.25,20.28,6.82,1.86,0.07,12.64,1.14,30.20,79.37,4.14,85.02,20.02,81.79,17.15,0.10,-0.03,2.46,55.03
BEW Engg,,BEWLTD,Industrial Manufacturing,Industrial Products,120.45,47.78,157.47,170.36,21.49,12.61,15.24,12.74,1.09,0.43,6.34,0.44,11.70,109.44,0.70,41.00,31.61,145.07,9.68,0.00,0.00,3.00,55.57
Bharat Road,540700,BRNL,Construction,Civil Construction,21.70,34.99,182.17,342.28,163.37,47.73,20.63,1.01,0.44,0.03,6.47,1.05,53.67,278.70,83.88,0.19,3.72,0.00,121.21,0.00,-0.01,2.34,59.73
Bodhi Tree,543767,BTML,Entertainment,Digital Entertainment,8.10,45.95,146.20,98.60,12.41,12.59,10.48,21.79,1.82,1.48,6.41,0.32,16.26,35.85,1.14,13.72,16.03,21.67,7.85,-0.01,0.06,1.96,54.39
CapitalNumbers,544343,,IT - Software,Computers - Software & Consulting,102.05,35.07,249.28,102.21,26.33,25.76,29.80,9.26,1.45,0.72,18.93,0.00,20.00,160.62,10.92,8.46,0.81,0.00,22.34,-0.87,-1.50,0.00,62.76
Cenlub Industrie,522251,,Industrial Manufacturing,Industrial Products,227.15,43.41,105.92,72.49,10.06,13.88,15.85,13.14,1.55,1.58,10.56,0.06,14.72,5.10,2.71,12.05,8.87,8.72,11.10,0.00,0.00,0.36,58.31
Chatterbox Tech,544546,,Media,Advertising & Media Agencies,71.25,29.00,100.77,68.14,13.52,19.84,20.02,10.28,,0.07,27.75,0.00,41.77,27.49,0.19,18.15,15.35,0.00,15.33,,,0.00,54.55
Chemkart India,544442,,Food Products,Other Food Products,130.55,36.06,157.95,193.38,26.80,13.86,16.12,8.29,1.30,0.13,34.75,0.01,58.97,112.18,1.38,56.19,10.28,22.81,23.76,,,0.05,50.17
Chemtech Indust.,537326,,Industrial Manufacturing,Industrial Products,79.50,27.66,142.60,35.27,6.43,18.23,19.83,18.96,1.43,0.13,9.04,0.00,10.74,74.60,5.22,4.40,2.78,3.10,14.09,0.05,0.00,0.00,64.95
Chetana Educa.,,CHETANA,Printing & Publication,Printing & Publication,54.55,42.91,111.28,102.93,19.42,18.87,22.72,8.66,1.26,,12.58,0.06,25.94,83.44,0.23,67.63,1.98,20.78,16.11,-1.40,0.94,0.26,57.71
Cohance Life,543064,COHANCE,Pharmaceuticals & Biotechnology,Pharmaceuticals,527.50,29.43,20180.42,2252.45,579.88,25.74,31.34,58.75,5.33,-3.63,8.86,0.12,12.67,1177.66,33.65,589.69,313.28,592.88,2.31,9.41,-0.72,0.95,60.28
Dam Capital Advi,544316,DAMCAPITAL,Capital Markets,Stockbroking & Allied,211.38,43.14,1494.16,278.28,165.75,59.56,58.51,13.32,4.82,0.20,33.97,0.01,49.22,210.57,0.06,94.72,45.72,0.00,12.27,0.05,-0.06,0.03,50.26
Danlaw Tech.,532329,,Industrial Manufacturing,Industrial Products,780.40,48.67,380.11,237.35,34.83,14.67,14.74,19.10,4.44,0.16,13.19,0.37,28.31,68.49,1.00,49.89,28.61,36.47,7.48,0.00,0.00,1.09,51.80
De Neers Tools,,DENEERS,Industrial Products,Iron & Steel Products,158.20,48.58,136.15,142.50,28.16,19.76,19.30,7.71,1.67,0.14,11.87,0.77,32.56,110.39,0.87,39.62,13.85,114.36,14.21,1.51,-0.77,2.23,57.79
DJ Mediaprint,543193,DJML,Transport Services,Logistics Solution Provider,69.32,50.95,238.31,91.57,18.14,19.81,21.84,31.69,3.22,1.07,8.13,0.23,13.49,50.19,0.22,29.34,2.43,27.56,4.71,-0.03,-0.16,1.36,61.99
Dynamic Services,,DYNAMIC,Commercial Services & Supplies,Diversified Commercial Services,127.15,64.53,174.78,347.25,49.12,14.15,13.61,7.64,0.89,0.08,7.60,0.76,12.47,108.40,2.21,111.92,15.46,48.32,16.78,0.00,-0.05,2.98,67.55
Easy Trip Plann.,543272,EASEMYTRIP,Leisure Services,"Tour, Travel Related Services",7.31,38.19,2658.54,522.18,64.87,12.42,24.74,49.17,3.07,109.27,10.70,0.04,16.21,410.27,-19.97,257.93,106.18,2.87,2.73,0.01,-2.09,0.51,59.95
Eco Recyc.,530643,,Other Utilities,Waste Management,445.35,36.77,859.38,43.35,25.83,59.58,70.66,41.92,8.49,0.30,23.12,0.07,84.05,43.87,3.71,12.82,2.05,10.66,3.33,-0.04,-0.02,0.24,55.38
Emerald Finance,538882,,Finance,Non Banking Financial Company (NBFC),78.80,52.04,272.18,25.78,18.89,73.27,70.34,22.83,3.00,0.43,10.60,0.17,13.76,106.31,0.09,4.20,0.00,0.00,6.69,0.00,-4.22,0.79,53.00
EMS,543983,EMSLIMITED,Other Utilities,Waste Management,416.80,35.96,2314.52,926.49,226.20,24.41,26.31,14.18,2.22,0.43,17.21,0.16,20.69,705.51,12.58,398.78,27.78,102.46,9.76,-0.05,-0.02,0.72,53.12
Espire Hospi,532016,,Leisure Services,Hotels & Resorts,288.35,55.72,430.29,132.43,21.88,16.52,18.80,143.43,10.98,0.39,6.59,3.26,35.33,51.26,0.60,2.82,13.28,0.31,2.72,0.00,0.00,8.47,53.49
Fluidomat,522017,,Industrial Manufacturing,Industrial Products,695.60,35.42,342.93,66.38,22.52,33.93,38.69,17.74,4.03,0.29,27.08,0.00,31.44,44.82,4.45,18.07,2.91,4.56,7.65,0.00,0.00,0.00,50.98
Forbes Precision,544186,,Industrial Manufacturing,Industrial Products,136.30,19.66,703.23,239.03,52.92,22.14,22.01,24.53,4.61,,12.65,0.13,18.84,48.07,3.78,29.79,30.51,37.76,5.88,-0.02,0.01,0.46,54.55
Frog Innovations,,FROG,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,159.00,42.72,247.31,219.39,35.57,16.21,16.21,14.36,1.55,0.84,12.08,0.08,16.07,69.32,2.84,44.16,21.01,35.77,13.39,0.12,-0.09,0.37,65.28
