Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Addictive Learn,,LAWSIKHO,Other Consumer Services,E-Learning,120.30,191.39,75.39,19.62,26.02,30.64,21.95,2.33,0.12,11.21,0.00,13.08,-2.28,2.68,0.48,2.12,0.00,6.40,0.32,-1.46,0.00,69.23
All E Tech,,ALLETEC,IT - Software,Computers - Software & Consulting,239.95,484.56,138.34,30.32,21.92,21.99,15.96,3.12,0.34,18.15,0.00,22.39,136.31,12.39,19.01,8.19,0.00,11.76,0.00,-0.90,0.01,62.09
Alphalogic Tech.,542770,,IT - Software,Computers - Software & Consulting,64.16,401.75,63.57,7.83,12.32,9.09,81.82,8.09,1.72,10.42,0.10,11.49,45.54,1.79,15.13,8.85,2.29,2.30,0.00,0.00,0.53,55.75
Antelopus Selan,530075,ANTELOPUS,Oil,Oil Exploration & Production,400.55,1410.12,231.46,108.87,47.04,52.57,25.04,2.40,0.26,13.99,0.01,17.18,162.06,12.62,34.40,7.86,34.83,5.74,0.00,-2.21,0.05,57.70
Apollo Finvest,512437,,Finance,Non Banking Financial Company (NBFC),418.80,156.29,26.12,10.73,41.08,42.33,24.05,2.19,-1.42,8.09,0.30,11.44,-7.49,2.16,0.00,0.72,0.00,6.78,0.00,0.08,1.79,53.93
Artificial Elect,526443,,IT - Software,Software Products,162.75,276.11,61.20,15.64,25.56,11.49,21.55,6.58,0.12,10.06,0.00,17.78,40.55,1.44,49.72,48.37,4.95,6.20,0.00,0.00,0.00,63.06
BEW Engg,,BEWLTD,Industrial Manufacturing,Industrial Products,113.00,147.72,170.36,21.49,12.61,15.24,11.95,1.02,0.41,6.34,0.44,11.70,109.44,0.70,41.00,31.61,145.07,10.14,0.00,0.00,3.00,61.69
Bharat Road,540700,BRNL,Construction,Civil Construction,24.35,203.43,342.28,163.37,47.73,20.63,1.13,0.49,0.03,6.47,1.05,53.67,278.70,83.88,0.19,3.72,0.00,106.43,0.00,-0.01,2.34,54.82
Bodhi Tree,543767,BTML,Entertainment,Digital Entertainment,8.44,150.77,98.60,12.41,12.59,10.48,22.47,1.90,1.52,6.41,0.32,16.26,35.85,1.14,13.72,16.03,21.67,7.64,-0.01,0.06,1.96,52.48
CapitalNumbers,544343,,IT - Software,Computers - Software & Consulting,111.95,273.46,102.21,26.33,25.76,29.80,10.16,1.59,0.79,18.93,0.00,20.00,160.62,10.92,8.46,0.81,0.00,19.40,-0.87,-1.50,0.00,59.14
